"Bharatiya Vidya Bhavan, Mondal Public School",2530023,Village: Madhupurpost: Diglipurnorth Andaman,744202,-,3192272344,-,-,haishyam_1080@rediffmail.com,-,2013,Mrs. Sagarika Mondal,Secondary School,Mondal Samaj Kalyan Society,-,Middle Andaman
Govt  Secondary School,2520032,Shibpur  Aerial Bay P.o Nth Andaman A & N Islands,744202,3192,272389,84351,-,gssshibpur@gmail.com,-,1954,M Rajeshwaran,Secondary School,Dept Of Education - A&n Islands,-,North Andaman
Government Sr Secondary School,2520075,C F O  Nallah Vil. Dharampur Po Betapur A & N Islands,744201,3192,270087,-,-,sscfo1967@gmail.com,-,-,Saroj Kumar Banerjee,Senior Secondary,-,-,North Andaman
Government Secondary School,2520087,"Madheepur, Diglipur, North Andaman",744206,3192,3192,272071,9679584608,gsssubashgram2@yahoo.co.in,-,1961,P.j. Eapper,Secondary School,N.v.s,-,Andaman
Government Secondary School Nabagram,2520250,"Nabagram Village, Post- Kalighat",744202,-,3192278020,-,-,gssnabagram@gmail.com,www.gssnabagram.com,-,Nihar Ranjan Paul,Secondary School,Nihar Ranjan Paul,-,North And Middle Andaman
Government Secondary School,2520074,Prathrapur Brijkunj Po Brichkunj P O A & N Islands,744206,3192,55254,55610,-,rnr@andaman.tn.nic.in,-,1961,Bhagwan Dass,Secondary School,Andaman And Nicober Adminstration,-,South Andaman
Government Secondary School,2520090,"Pinaki, Billground, N & M Andaman",744201,319,270798,9476006268,-,gsspinakinagar@rediffmail.com,-,1961,Suresh  Chandra  Mazumder,Secondary School,N.v.s,-,Andaman
Carmel Sec School,2530001,Phoenix Bay Haddo Post Port Blair A & N Islands,744102,3192,"230411, 30393",30393,-,reshac@gmail.com,-,1968,Sr Maria Reshma,Senior Secondary,Carmel Ashram Society,-,Andaman
Crescent Public School,2530013,"Wimberly Gunj Po, South Andaman, Ferrar Gunj Andaman",744206,3192,256129,-,03192-232594,cpsandaman@gmail.com,-,1999,E Saira Banu,Senior Secondary,Islamic Welfare Society,-,Andaman
Govt  Senior Secondary School,2520046,Kishori Nagar North Andaman A & N Islands,744202,3192,282618,3192282618,-,rnr@andaman.tn.nic.in,-,1958,Motilal Howladar,Senior Secondary,Dept. Of Education - A&n Islands,-,North Andaman
Govt Model Seni Secondary School,2520073,Kamta Nancowrie A & N Islands,744206,-,-,-,-,-,-,1961,G Sriniwas Rao,Senior Secondary,D.p.i.,-,Nancowry
Govt Girls Sr Sec School,2520002,Pt Blair A & N Islands 744104,744104,3192,232344,30408,-,sangeeta_230940@yahoo.co.in,-,1957,Sangeeta Chand,Senior Secondary,Government,-,Port Blair
Govt Boys Sr Sec School,2520001,Middle Point Pt Blair A & N Islands,744101,3192,232275,31444,-,gbsssprincipal@gmail.com,-,1995,Malati Singh,Senior Secondary,Government,-,South Andaman
Govt Decondary School,2520094,"Tamaloo, Car Nicobar, Distt Nicobar, A & N Island",744301,3193,265037,-,-,-,-,-,Safyaz Begum,Secondary School,-,-,Andaman
Govt  Sr Secondary School,2520031,Swarajgram Post   Diglipur North Andaman A & N Islands,744202,319,272927,-,-,sblall62@gmail.com,-,1960,Susama Biswas,Senior Secondary,Directorate Of Education A&n Admn,-,North Andaman
Govt Model Senior Secondary School,2520034,Ferrargunj  P.o.beachdera South Andaman A & N Islands,744101,319,266180,30281,-,vibhesethi@yahoo.com,-,1954,Vibha Sethi,Senior Secondary,D.p.i.,-,South Andaman
Govt Model Sr Sec School,2520004,P.o. Aberdeen Bazaar Pt Blair A & N Islands,744101,3192,232589,9434271748,-,sarathandamans@gmail.com,-,1995,Shara Chandran G,Senior Secondary,Government,-,Andaman
Govt Rabindra Bangla Vidyalaya,2520003,Pt Blair A & N Islands 744101,744101,3192,233410,36235,-,lokeshdoe@gmail.com,-,1995,Lokesh Kumar,Senior Secondary,Government,-,Port Blair
