Abc English Medium High School,130689,"8-1/3, Macherla Road, Piduguralla, 8-1/3, Macherla Road, Piduguralla",522413,-,9490708612,-,-,abcpgrl2015@gmail.com,https://abcemhighschool.com/,-,Vinjamuri Rama Devi,Secondary School,Sri Vigneswara Educational Academy,-,Guntur
Abhyas The Global School,130301,"4-155,jp Road Pedamiram Village, Kalla Mandal West Godavari Andhra Pradesh",534204,8816,223445,-,-,syjdora@gmail.com,http://www.abhyastheglobalschool.com,2011,Mrs.i.naga Mani,Secondary School,Akarshahlad Educational Society,-,West Godavari
Adarsh Public School,130147,Vinayak Nagar Pedagantyuda Andhra Pradesh,530044,891,2511251,2589109,-,mahamadhav69@gmail.com,-,1993,K S S Ch V Mahalakshmi,Secondary School,Lisiex Ednl. Institutions,-,Visakhapatnam
A K R G Techno School,130340,Nallajerla,534112,818,277993,-,8818277992,akrgschool@gmail.com,-,2011,Gutta Padmaja,Secondary School,"Alluri Krishna Rao Govindamma Educational Soceity, Nallajerla",-,West Godavari
Air Force School,180011,Hakimpet Secunderabad Andhra Pradesh,500014,40,7862282,7860686,-,-,-,1969,Mrs Pushpa Ramlal,Secondary School,-,-,Secunderabad
Accord School,130371,"Rc Road, Chiguruwada North, Tirupati Chittoor, Andhra Pradesh",517507,877,6457775,-,-,info@theaccordschool.com,http://www.theaccordschool.com,2013,M Liaqet Ali Khan,Senior Secondary,Prashanth Educational Society,-,Chittoor
Akshara International School,130310,"1/45, Thimmampeta(vill)garladinne(man),anantapur(dist)",515731,8551,286923,-,-,sree.aksharaschool@gmail.com,http://www.aksharainternationalschools.com,2011,Sailaja,Senior Secondary,Akshara International School,-,Ananatpur
Akrg High School,130511,"Akrg High School, Opposite Essar Petrol Bunk ,yarnagudem Road,timmaraju Palem ,nidadavole Mandal,a.p,534301",534301,-,9603645555,-,-,akrgschoolndd@gmail.com,-,2018,Mrs. G Padmaja,Secondary School,Alluri Krishnarao Govindamma Educational Society,-,West Godavari
Akshara School,130123,N F C L Township Kakinada Andhra Pradesh,533003,884,"2365053, 378696",365606,54561,dsuseela57@gmail.com,-,1998,D Suseela,Secondary School,Vishwa Parkash Edu & Chari Trust,-,East Godavari
Akshara Vaagdevi International School,130323,"Sy.no:703,bolton Road,opp Tivoli Gardens",500003,40,65120033,-,040-27897380,jpadma21@gmail.com,http://www.aksharainternational.in,2011,Padma Juluri,Secondary School,Rgr Siddhanthi Educational Society,-,Secunderabad
