Abotani Vidya Niketan,2230014,Pachim Colony Naharlagun Arunachal Pradesh,791110,943,6090938,2255371,2256168,kelothsuku@gmail.com,www.sairnsacademy.org,1994,Sukumaran K,Secondary School,Arunachal Shiksha Vikas Samiti,-,Papumpara
Anakum Academy,2230098,"Anakum Academypo- Roing,pin- 792110,ps- Roing,district: Lower Dibang Valley,state: Arunachal Pradesh",792110,-,03803223007,-,-,anakumacademy@yahoo.com,www.anakumacademy.com,2012,Mrs. Anjali Borah Medhi,Secondary School,Anakum Welfare Society,-,Lower Dibang Valley
Ane Moriam School,2230055,"Sangram, Kurung Kumey, Distt Lower Subansiri, Arunachal Pradesh",791120,91,9402828280,26522,-,anemoriamprincipal@gmail.com,-,1994,Roshan Kerketta,Secondary School,Educational & Welfare Trust,-,Lower Subansiri
Angun Asir Academy,2230095,"Tulap, P.o/p.s- Pasighat",791102,-,0368-2222794,-,0368-2222794,aaatulap2016@gmail.com,-,2016,Mr. Rajesh Gwala,Secondary School,Siang Frontier Development Society,-,East Siang
Army Public School,2280001,Tenga Valley West Kameng Distt Arunachal Pradesh,790115,3782,232434,2427222,0385-24272,bb_gurung33@yahoo.co.in,-,1985,Bir Bahadur Gurung,Secondary School,Awes,-,West Kemeng
Arunachal Pali Vidyapith,2220145,Chongkham Lohit Arunachal Pradesh,792104,3806,222073,-,-,apvprincipal78@gmail.com,www.apvschongkham.com,1995,Lokbahadur Chhetry,Secondary School,Kendriya Vidyalaya Sangathan,-,Lohit
Assam Rifles Secondary School,2280003,"C/o 7, Assam Rifles Jairampur Distt Changland Arunachal Pradesh",792121,3800,22242,2427222,-,ajitirom@gmail.com,-,1987,Sh S N Dwivedi,Secondary School,Assam Rifles Para Milt Fce,-,Changlang
Blue Pine Residential English School,2230081,"Hapoli P B No.7 Po, Ziro, Lower Subansiri Dt., Arunachal Pradesh.",791120,378,8224585,-,3788225651,urumeesepaulose66@gmail.com,-,1995,Urumeese M P,Secondary School,Apatani  Co-operative Housing  Society Ltd,-,Lower Subansiri
Assam Rifles Junior School,2230033,Jairampur Dt Changlang 29 Assam Rifles C/o 99 Apo,-,3804,22566,-,-,-,-,-,Sh H N Haloi,Secondary School,29 Assam Rifles C/o 99 Apo,-,Changlang
Boum Kakir Mission School,2220062,Boleng Via- Along Dt - East Siang Arunachal Pradesh,791001,-,-,-,-,tularamboleng16@rediffmail.com,-,1979,Tularam Sharma,Senior Secondary,Donyi Polu B K Mission Itanagar,-,East Siang
Boum Kakir Mission School,2230009,Midphu Po- Doimukh Dt- Papum Pare Arunachal Pradesh,791112,44,74265,26281870,0161-2459970,vsidhu99@yahoo.com,http://wwxyz.com,1984,A K Palit,Secondary School,Bou M Kakir Mission,-,Papumpara
Bumer Memorial School,2230103,"Keilya, Old Ziro",791120,-,8794218515,-,-,bumermemorials@gmail.com,https://www.bumermemorialschool.com/,2009,Mrs. Watijungla Ao,Secondary School,Bumer Memorial Society,-,Lower Subansiri
Bunnys Fantasy World School,2230088,J. N. State Museum Road,791111,-,03602292652,-,-,sanjeev_mmm@rediffmail.com,-,2004,Mr.s. K. Gupta,Senior Secondary,Mingkeng Siko,-,Itanagar
