Adarsh Vidyalaya,220007,"Batadrava, Village Saharia, P.o. Sonarigaon, Distt. Nagaon, Assam-782123",-,-,-,-,-,-,-,-,.,Secondary School,-,-,Nagaon
Adarsh Vidyalaya,220011,"Dokuchi, Village Palahatari, P.o. Nagarbera, P.s. Nagarbeg, Distt. Kamrup(rural), Assam-781127",-,-,-,-,-,-,-,-,.,Secondary School,-,-,Kamrup
Adarsh Vidyalaya,220012,"Lowairpoa, Village & P.o.chandkhira, Distt. Karimganj, Assam-788725",-,-,-,-,-,-,-,-,.,Secondary School,-,-,Karimganj
Adarsh Vidyalaya,220013,"Chenga Village Chenga Musalman Gaon, P.o. Chenga, P.s. Tarabari, Distt. Barpeta, Assam-781305",-,-,-,-,-,-,-,-,.,Senior Secondary,-,-,Barpeta
Adarsh Vidyalaya,220004,"Village Kadamtola Gopalpur, P.o. Dalgoma,p.s. Matia, Distt. Goalpara, Assam-783125",-,-,0496 - 2623804,-,-,qybhavan@yahoo.co.in,-,2007,.,Secondary School,"Bharatiya Vidya Bhavan,mumbai",-,Goalpara
Adarsh Vidyalaya,220005,"Mandia, Village 2 No. Bdalani,p.o. Mandia, P.s. Baghbar, Distt. Barpeta Assam-781308",-,-,0496 - 2623804,-,-,qybhavan@yahoo.co.in,-,2007,.,Secondary School,"Bharatiya Vidya Bhavan,mumbai",-,Barpeta
Adarsh Vidyalaya,220010,"Ganakkuchi, Barpeta, Village & P.o. Ganakkuchi, Distt. Barpeta, Assam-781314",-,-,-,-,-,-,-,-,.,Secondary School,-,-,Barpeta
Adarsh Vidyalaya,220015,"Moirabari, Village Moirabari Town Kisamat, P.o. + P.s.moirabari, Distt. Migaon Assam-782126",530027,891,2559519,2.77E+16,-,msmoirabari@gmail.com,-,2007,.,Secondary School,"Bharatiya Vidya Bhavan,mumbai",-,Morigaon
Abanti Kumar Mahanta Educational Institution,230117,Laxmi Bazar Road,788710,3843,267817,-,-,Principal@akmei.edu.in,-,2004,Suma Mohanta,Secondary School,Abanti Kumar Mohanta Educational And Rehabilitation Trust,-,Karimganj
Adarsh Vidyalaya,220003,"Village Aloicherra, P.o. Manipur Bagan, Distt. Hailakandi-788165",-,11,26870393,26870393,-,kp_vohra@yahoo.co.in,-,-,.,Secondary School,-,-,Hailakandi
Adarsh Vidyalaya,220009,"Rangapather , Village Rangapather,p.o. Suffry, Distt. Charaideo",804401,11,26870393,26870393,-,kp_vohra@yahoo.co.in,-,1994,.,Secondary School,Navodaya Vidyalaya Samiti,-,Sivasagar
Adarsh Vidyalaya,220014,"Pakabetbari , Village Phularguri, P.o. Kayakuchi,distt. Barpeta, Assam-781352",673323,-,0496 - 2623804,-,-,qybhavan@yahoo.co.in,-,2007,.,Secondary School,"Bharatiya Vidya Bhavan,mumbai",-,Barpeta
Adarsh Vidyalaya Dahalapara,220002,"Rupsi-pt. Village Dahalapara, P.o. Bhulukadaba, Distt. Barpeta-781317",-,11,26870393,26870393,-,kp_vohra@yahoo.co.in,-,-,.,Middle Class,-,-,Barpeta
Adarsh Vidyalaya Dalimbari,220006,"Village Dalimbari, P.o. Goshpara, Distt. West Karbi Anglong-782425",673323,-,0496 - 2623804,-,-,qybhavan@yahoo.co.in,-,2007,.,Secondary School,"Bharatiya Vidya Bhavan,mumbai",-,Karbi Anglong
"Adarsh Vidyalaya, Barakhetri",220008,"Village Kaldi, P.o. Bartala, Distt. Nalbari Assam-781138",-,-,-,-,-,-,-,-,.,Secondary School,-,-,Nalbari
"Adarsha Vidyalaya (Ms), Kachugaon",220150,"Ps. - Gossaigaon, Pin - 783360, , Sub - Division - Gossaigaon",783360,-,9957469559 ,-,-,avkachugaon.btad2018@gmail.com,http://www.modelschoolkachugaon.com,-,Arup Kumar Moshahari,Secondary School,Assam Madhyamik Siksha Abhijan Samiti,-,Kokrajhar
Air Fce School,280003,Jhat Dt- Jhat Assam,785005,11,320418,320744,-,kv_dwarka12@rediffmail.com,-,-,Mrs Veena Dutt,Senior Secondary,-,-,Jorhat
Adarsha Vidyalaya Juria,220152,"Juria, Nagaon",782124,-,8638750620,-,-,rashmi.konwar@gmail.com,https://www.avjuria.in/,-,Rashmi Konwar,Secondary School,Rmsa,-,Nagaon
"Adarsha Vidyalaya, Pub Mangaldai",220151,"Po- Dhula, Charkar Chowk",784146,-,9101115105,-,-,pubmangaldaiadarshavidyalaya@gmail.com,https://avpubmangaldai.in/,-,Kuldeep Kalita,Secondary School,Rmsa Assam,-,Darrang
Air Fce School Tezpur,280009,No. 11 Wing C/o 99 A P O,784104,8548,03712258622,543373,-,afschooltezpur@gmail.com,-,1971,Shveta S Rattani,Middle Class,Iaf  Educational And Cultural Society,-,Sonitpur
Air Force School Chabua,230259,Air Force Schoool Chabuaair Force Station Chabuachabua,786102,-,03732863791,-,3732863791,afscadm@yahoo.com,afschoolchabua.in,1983,Miss Pratity Borpujari,Middle Class,Indian Air Force Educational And Cultural Society New Delhi,-,Dibrugarh
