A V N English School,330095,50 Sardar Patal Path North S K Puri Patna Bihar,800013,612,265062,264136,-,-,-,1989,Mrs Meeta Bose,Secondary School,Anvmaya Human Resource Founcation,-,Patna
A A M Childrens Academy,330108,Kathiar Po Kathiar Distt Kathiar Bihar,854105,6452,245821,240593,-,principalaamca@gmail.com,stjosephnawada.com,1967,Satyajeet Bose,Senior Secondary,Adhiri Ajab Lal Manjhi Child Edu,-,Katihar
A.N.R. Public School,330587,"Hajipur, Jehanabad",804417,6114,222222,-,-,ANRPUBLICSCHOOL@GMAIL.COM,-,2011,Mukesh Kumar,Senior Secondary,A.n.r. Educational Trust,-,Jehanabad
A. Y. International School,330755,"At & P.o.-rebra, P.s.-khanpur,dist-samastipur",848117,-,8677042789,-,-,principal.ayisrebra@gmail.com,http://www.ayinternationalschool.com,2014,Mrs.afrin Khanam,Secondary School,Abu Yunus Educationl & Welfare Society,-,Samastipur
A.V.N School,330237,"Road No - 04, Rajeev Nagar, P.O.- Keshri Nagar, Patna - 24",800024,145,09234919621,1452693441,-,avnschool_rn@rediffmail.com,-,2003,R.B. Goswami,Senior Secondary,Parwati Educational & Welfare Trust,-,Patna
Aarya Mission School,330850,"Nh-57,manikpur,bardaha,araria-854311",854311,-,8521469185,-,8521469185,info@aaryamissionschool.com,http://www.aaryamissionschool.com,2007,Mr. Ashish Rai,Senior Secondary,Keshri Global Trust,-,Araria
Abr Foundation School,330298,"Shanti Nagar, Vill-nekra, P.o-agrar, Sasaram,dist Rohtas ,bihar",821113,6184,224111,656593,06184-224507,principalabrfoundationschool@yahoo.com,-,2004,Sunil Singh,Senior Secondary,Abr Educational Trust,-,Rohtas
Acharya Narender Deo Pub School,330090,At & Po Khalpura Via Gultainganj Distt Saran Chapra Bihar,841211,615,273493,26522,-,anilkumarsingh2163@gmail.com,-,1994,Anil Kumar Singh,Senior Secondary,Acharya Narendra Deo Mem Trust,-,Saran (Chapra)
Acharya Shri Sudarshan Krishna Niketan,330121,"Krishna Vihar, Jakariapur, New Bye Pass Road, Patna",800007,612,"2342027, 2623300",-,-,knpatna@yahoo.com,-,1987,Mrs. Anita Singh,Senior Secondary,Krishna Niketan,-,Patna
Acharya Shri Sudarshan Patna Central School,330015,Sudarshan Vihar New Byepass Road Patna Bihar,800020,612,9102997549,2380144,2380155,principal@aspcspatna.ac.in,www.aspcspatna.ac.in,1988,Shamsher Prasad Singh,Senior Secondary,Patna Central School,-,Patna
Acharya Sudarshan Vidyapeeth,330651,Sudarshan Dham,843332,6226,275402,-,-,asudarshandham@gmail.com,www.acharyasudarshanvidyapeeth.com,2016,Mr. Ashutosh Kumar Singh,Senior Secondary,Acharyasudarshan(a Trust Dedicated To Education),-,Sitamarhi
Acme Public School,330524,"At- Sonbarsa Alias Barkagaon Nayatola, Ps- Karja, Block- Marwan, Anchal- Kanti, District- Muzaffarpur",843109,-,06223237658,-,6223237658,acmepublicschool1@gmail.com,-,2010,Mr. Md Mushtaque,Senior Secondary,Mostakima And Muniruddin Educational & Charitable Trust,-,Muzaffarpur
Adarsh Gyanoday Vidyalay,330219,"Brahmani Nagar, Nadavan, Barh, Patna",803213,6132,244041,0565-2430298,2430170,agvbarh@yahoo.com,http://www.dpsfamily.org,1999,Kumari Kalyani,Senior Secondary,Christva Mahilalayam Edu Trust,-,Patna
Adarsh Vikas Vidyalaya,330172,"V & Po  Mahamadpur, Patna, Bihar",801105,612,9693155751,205783,-,priyambada.sharma@yahoo.com,-,1988,Priyambada,Senior Secondary,Chinmaya Mission,-,Patna
Adelaide Convent School,330184,Sampatchak (sohagi-rampur),800007,612,9939949691,-,-,acspatna123@gmail.com,http://www.adelaideconventschoolpatna.com,1993,Mrs. Veena Kumari,Secondary School,"Gautam Budha Harijan Adivasi Pichara Varg Kalyan Samiti, Bihar",-,Patna
Adwaita Mission High School,330344,"At.shivdham,p.o.maniyarpur Bounsi Banka Bihar",813104,771,9771459021,2263718,06424-291210,amhsshivdham365@gmail.com,-,2001,Rajiv Kumar Thakur,Senior Secondary,Mandar Vidyapith Educational Foundation Trust,-,Banka
Adwaita Mission High School,330073,Mandar Vidyapith Po Mandar Vidyapith Distt. Banka Bihar,813104,6324,"9801820820, 266558",2222699,-,mohandasanrk@gmail.com,-,1990,Mohandasan R K,Senior Secondary,Mandir Vidyapith,-,Banka
Akshar Vidya Griha,330608,"Vill+po- Dardha, Ps- Goh",824203,91,7260891176,-,-,aksharvidyagriha4@gmail.com,-,2011,Suresh Kumar Singh,Senior Secondary,Akshar Foundation Trust,-,Aurangabad
Al Momin International School,330129,At & Po Bishunpura Via Cherki Bazar Gaya Bihar,824237,6326,290003,-,-,mdali55786@gmail.com,-,1982,Sanjeev Kumar,Senior Secondary,Abdul Qawi Edu & Welfare Trust,-,Gaya
All Saints School,330828,"Nepura, Silao, Nalanda",803117,-,9102003419,-,-,allsaintschool@gmail.com,http://www.allsaintsnalanda.com,2013,Mrs. Kiran Kumari,Senior Secondary,Nalanda Association For Social Action,-,Nalanda
Alay Nabi High School,330193,"Village & P.o.khaja Chand Chhapra, Via-baghi, Distt. Vaishali",844112,6671,9523559555,-,0612-2300700,perwezrehan2@gmail.com,-,2001,Rehan Perwaiz Shahid,Secondary School,"The Managing Committee/society, Patna Muslim High School",-,Vaishali (Hajipur)
Allied International School,330636,"Reganichak, Belaganj, Gaya, Bihar- 804403",804403,-,7004998909,-,-,info.arpainternationalschool@gmail.com,http://www.alliedinternationalschool.com,2012,Mr. Sujit Kumar Sinha,Senior Secondary,Late Ramashankar Rai Educational Foundation Trust,-,Gaya
Alok Bharati Shikshan Sansthan,330849,"Jogapatti Road, Manuapul Gurwalia Biswas, Chanpatiya, West Champaran",845449,-,06254242552,-,6254242552,alokbharatibettiah@gmail.com,www.alokbhartibettiah.com,2018,Mr. Rajenthiran S V,Senior Secondary,Alok Bharati Educational And Welfare Trust,-,Champaran West
Aman Academy,330647,At & Po- Loam,847115,627,2267666,220565,06272-267666,saifullah0761@gmail.com,-,2010,Md Saifullah,Secondary School,"Aman Foundation, New  Delhi",-,Darbhanga
Amar Jyoti School,330527,"Dumohan, Po- Bhaluwa, Bodhgaya",824231,631,2201050,-,-,kavitalopes@gmail.com,-,2008,Kavita Lopes,Secondary School,Amar Jyoti Society,-,Gaya
Ambika Bhawani Public School,330366,"Gopinathpur, Dokra, Saraiya, Muzaffarpur",843126,621,7677071777,64111,6223255019,prkps@yahoo.co.in,-,2010,Kumud Ranjan,Senior Secondary,Janki Mahila Evam Bal Vikash Samiti Society,-,Muzaffarpur
Ambika Bhawani Public School,330318,"Bibi Ganj, Bhagwanpur, Muzaffarpur-842001",842001,621,7763813438,-,0621-2264017,abps07777@gmail.com,-,2008,Vandana Jyoti,Senior Secondary,Society,-,Muzaffarpur
Ambika Public School,330533,"Karma Road, Near Police Line, Aurangabad (bihar)",824101,91,08002082654,-,-,apsabad@gmail.com,-,-,Mr. Uday Narayan Kapoor,Senior Secondary,-,-,Aurangabad
Anand International School,330588,Bypass Krishna Niketan Road Near Badsahi Pane Jakariyapur Jhali Gopalpur Patna,800007,612,2350965,-,-,birendrakrais@gmail.com,-,2005,Birendra Kumar,Secondary School,Shree Anand Chandra Foundation,-,Patna
Anand Prep Public School,330659,"At-mansurpur,chamarua, P.s.- Karza, Muzaffarpur",843106,621,2210362,-,-,principal.appsmuz@gmail.com,www.appsmuz.co.in,2010,Mr. Satish  Kumar  Mishra,Senior Secondary,Anand Charitable Trust,-,Muzaffarpur
Anand Public School,330774,"Khankitta, Sabour, Bhagalpur -813210",813210,-,07808899651,-,-,apskhankitta.sabour@gmail.com,http://www.apsbhagalpur.com,2010,Mr.n.r. Verma,Secondary School,Nutan Educational And Welfare Trust,-,Bhagalpur
Anandram Dhandhania Sarswati Vidya Mandir,330198,"Banshi Jha Lane, Burhanath Road,bhagalpur, Bihar",812001,641,2302901,9219663332,0641-2302901,manojadsvm@gmail.com,-,1994,Manoj Kumar Mishra,Senior Secondary,"Shishu Shiksha Prabandh Samiti , Bihar",-,Bhagalpur
Angel High School,330474,"Shair Mohammad,bhigo, Darbhanga",846004,6272,250767,-,6272250767,angel.highschool@yahoo.in,-,2005,Shabiha Khanam,Senior Secondary,"Baber Khan Voluntary Society,bhigo,darbhanga",-,Darbhanga
Ankur Public School,330324,"Nirala Nagar,digha",800011,91,9431049079,23027,-,ankurpublicschoolnirala@gmail.com,-,1996,Archana Kumari,Secondary School,Pragatishil Samaj Welfare And Charitable Trust,-,Patna
Annex Global School,331075,"Hajipur-muzaffarpur Road, Hajipur, Vaishali-844102",844102,-,7717738500,-,-,helpmeags@gmail.com,www.annexian.in,-,Punam Kumari,Secondary School,Annex Education,-,Vaishali (Hajipur)
Annie Besant International School,330648,"Sampatchak, Parsa",804453,612,06122223824,-,6275258067,principalabis@gmail.com,http://www.abisparsa.in,2010,Mrs. Pushpa Lata Lal,Senior Secondary,Shyam Bihari Prasad Educational & Cultural Trust,-,Patna
Araria Public School,330145,Wasiabad Po Araria Distt Araria Bihar,854311,6453,9431205924,-,-,aps_principal@yahoo.com,www.apsararia.com,1989,Mrs. Farhin Afzal,Senior Secondary,Al-wasi Educational Trust,-,Araria
Army Public School,380005,"Gaya, (m B Army School) O T A, Paharpur, Gaya, Bihar",-,631,2210089,-,-,apsgaya@gmail.com,-,-,Pankaj Kumar Jain,Secondary School,-,-,Gaya
Army Public School,380001,Danapur Cantt Bihar Distt Bihar,801503,6115,221840,-,221840,asdanapur@rediffmail.com,-,1993,Mrs Dharmsheela Pandey,Senior Secondary,Army Welfare Education Society Br.,-,Patna
Arora International High School,330566,"Meer Nagar, Baikathpur, Near Panchrukhiya, Khusroopur, Patna",803202,612,2617013,-,-,arorainternationalhighschool@rediffmail.com,-,2012,Anu Arora,Secondary School,Arora Educational Trust,-,Patna
Arpa International School,330363,"Madhopur Chow,chainpur,chakia To Kesria Road,east Champaran,bihar",845412,6257,"2244236,7004998909",-,06257-279318,info.arpainternationalschool@gmail.com,-,2009,Pankaj Kumar,Senior Secondary,International Human Rights Protection Association Charitable Trust,-,Champaran East
Arya Bal Shanti Niketan,330229,"Malusiri Talle, Munger",811201,6344,222823,9431237286,2303341,MDGAUHAR@YAHOO.COM,-,1938,Sh. Amitabh Kumar,Secondary School,The Mang. Commtt. Society Patna Muslim High School,-,Munger
Arya Mission Global School,330786,"English Masaru More,(sabour To Mamalkha Road),sabour,bhagalpur-bihar-813210",813210,-,"09334165910,08409551883",-,-,aryamission@rediffmail.com,http://www.aryamission.com,2011,Mr.vijay Kumar Singh,Secondary School,Keshri Global Trust,-,Bhagalpur
