Aanchal International School,2630067,Sector 41-d,160036,172,2627628,-,-,m.sood264@gmail.com,-,1994,Manju Sood,Secondary School,Aanchal Educational Society,-,Chandigarh(ut)
Air Fce Regional School,2680001,12-wing Air Fce Station Chandigarh,160003,11,23101,9891581307,404052,ganeshha@batelco.com.bh,-,1963,Romela Jain,Secondary School,12 Wing Air Fce,-,Chandigarh(ut)
Air Fce School,2680002,Sect 31-d Chandigarh,160047,11,25693777,1125693777,25694947,apsdc@indiatimes.com,http://apsdelhicantt.g,1979,Mrs Kiran Datta,Secondary School,Air Fce School Management Comm.,-,Chandigarh(ut)
Ajit Karam Singh International Public School,2630027,Sector 41 B Chandigarh,160008,172,2626541,1762281453,284069,aksips41@gmail.com,-,2001,Ritu Bali,Senior Secondary,National Ednl.devlopment Regd Chad,-,Chandigarh(ut)
Ajit Karam Singh International Public School,2630063,Aksips-45sect 45 A,160047,172,01722624445,-,1722627878,aksips45@gmail.com,http://www.aksips.in,2004,Dr. Jasmine Kalra,Senior Secondary,National Educational Development Trust,-,Chandigarh(ut)
Ankur School,2630073,Panjab University Campus Sector-14 Chandigarh,160014,172,2545792,-,-,rupin56@gmail.com,http://ankurschool.in,1976,Rupinder Kaur,Senior Secondary,Student Aid Society,-,Chandigarh(ut)
Ashiana Public School,2630065,Sector-46 A Chandigarh,160047,172,01722633772,-,0172-5072463,ashianapublicschool@gmail.com,http://www.ashianapublicschool.com/,2004,Mrs. Monika Sharma,Secondary School,Ashiana Educational Society,-,Chandigarh(ut)
Bhavan's Vidyalaya,2630028,Sector 27 B Madhya Marg Chandigarh,160019,172,5002935,67176,-,vineetaarora158@gmail.com,-,1983,Vineeta Arora,Senior Secondary,Bharatiya Vidya Bhavan Chandigarh,-,Chandigarh(ut)
Carmel Convent School,2630023,Sector 9b Chandigarh,160009,172,2740891,1722740520,2740891,carmelconventschool09@gmail.com,-,1959,Mary Supreeta,Senior Secondary,The Educational Society Of Carmel,-,Chandigarh(ut)
Bal Niketan Model School,2630025,Sector-37a Chandigarh,160023,788,2355849,235549,-,mgm_school@rediffmail.com,-,1970,Mrs Rita,Senior Secondary,Bhopal Ram Birla Shikshan Sansthan,-,Chandigarh(ut)
Chandigarh Baptist School,2630047,Sector 45-d Chandigarh,160047,172,"01722602234, 602234",-,602626,chd_baptist@hotmail.com,www.chdbaptist.com,1986,Mrs. Sarojini N Masih,Senior Secondary,North West India Baptist Association,-,Chandigarh(ut)
Chitkara International School,2630070,"Udyog Path, Sector- 25 West",160014,91,7696578444,-,0172-4691801,cis@chitkara.edu.in,http://www.cis.chitkara.edu.in,2004,Niyati Chitkara,Senior Secondary,Chitkara Educational Trust,-,Chandigarh(ut)
D A V College,2630032,Sector 10-d Chandigarh,160011,172,24825,29899,-,davc_chd@rediffmail.com,-,1958,K S Arya,Senior Secondary,Dav College Managing Committee,-,Chandigarh(ut)
D A V Public School,2630031,Sector 8-c Chandigarh,160008,172,2548269,22458,3812342572,jaskiranharika@gmail.com,www.davpschandigarh.com,1977,Jaskiran Harika,Senior Secondary,D A V College Managing Committee Ne,-,Chandigarh(ut)
D.C. Montessi School,2630069,"Pocket-ii & Iii, Mmj, Manimajra",160101,172,2734464,-,0172-2734464,renu.verma@dcms.edu.in,http://www.dcmschd.ztc.in,2008,Renu Verma,Senior Secondary,D.c.model Educational Society,-,Chandigarh(ut)
Delhi Public School,2630054,Sector 40 C Chandigarh,795007,172,"2690991, 2690991",2690903,2632802,reemasudhir@gmail.com,www.dpschd.com,1993,Reema Dewan,Senior Secondary,Heritage Educational Society,-,Chandigarh(ut)
Dav Sr Sec School (Lahore),2630016,Sector-8 C Chandigarh,160008,172,2781345,25848,-,doctor_vibha@yahoo.co.in,-,1886,Vibha Ray,Senior Secondary,Dav College Managing Committee Nd,-,Chandigarh(ut)
Divya Public School,2630062,"Sector - 44 D, Chandigarh",160047,172,2620808,241465,-,rajesh1267@yahoo.com,-,1995,Rajesh Kamal,Secondary School,Lokmanya Shiksha Samiti,-,Chandigarh(ut)
Dav Model School,2630017,Sector-15a Chandigarh,160016,172,2543956,9888393438,-,principal.davms@gmail.com,-,1966,Anuja Sharma,Senior Secondary,Dav College Managing Committee,-,Chandigarh(ut)
"Gmhs, Raipur Kalan (New Makhanmajra)",2620251,"Village - Makhanmajra, Post Office - Dariya",160101,-,0172-2637736,-,-,hmgmsmkm@chd.nic.in,www.gmsmkm.in,-,Kanwal Parshad,Secondary School,Chandigarh Education Department,-,Chandigarh(ut)
Gmhs48d,2620253,"Sector 48d, Sector 48d Chandigarh",160047,-,0172 2674820,-,-,gmhs48d@gmail.com,www.gmhs48dchd.com,-,Darshan Singh,Secondary School,Education Department Chandigarh,-,Chandigarh(ut)
Government Model High School,2620084,"Vikas Nagar, Mauli Jagran, Chandigarh",160023,172,2730298,34018,-,-,http://www.jnvwashim.gov.in,1938,Sangeeta Yadav,Secondary School,"S D Sabha, Chandigarh",-,Chandigarh(ut)
Government Model High School,2620085,"Sector 38 (west), U.t. Chandigarh",160023,172,2688024,-,-,rajeshsharma6651@gmail.com,-,1938,Rajesh Sharma,Secondary School,"S D Sabha, Chandigarh",-,Chandigarh(ut)
Government Model High School Maloya-Ii Chandigarh,2620102,Government Model High School Maloya - Ii,160025,-,01722680009,-,-,gmhsmaloya2@gmail.com,http://www.gmhsIImaloya.in,2019,Mr. S.k.anand,Secondary School,Government,-,Chandigarh(ut)
Government Model Senior Secondary School,2620250,"Raipur Kalan, Raipur Kalan",160102,-,01722730007,-,-,gmsssrpk@gmail.com,www.gmsraipurkalanchd.com,-,Sunita Rani,Senior Secondary,Education Department Chandigarh,-,Chandigarh(ut)
Govt  High  School,2620067,Mauli  Colony P O Manimajra Chandigarh,160101,172,2751001,-,-,ghsmc@rediffmail.com,edu.gsssrk.com.in,1990,Manoj Kumar Sharma,Secondary School,D  P I,-,Chandigarh(ut)
Govt Girls Sr Sec School,2620002,Sector 8b Chandigarh,160018,172,2700274,33220,-,gmsss8-chd@nic.in,-,1954,Monica Maini,Senior Secondary,Ut Govt.,-,Chandigarh(ut)
Govt Girls Sr Sec School,2620012,Sector-20b Chandigarh,160021,172,2700720,272071,9679584608,ggsss20b@yahoo.com,-,1961,Manita Sehgal,Senior Secondary,Delhi Administration,-,Chandigarh(ut)
Govt Girls Sr Sec School,2620018,Sector-23a Chandigarh,160023,172,2700083,711452,-,gmsss23chd@gmail.com,-,1968,Mini Gupta,Senior Secondary,Ut Admnistration,-,Chandigarh(ut)
Govt High School,2620071,"Kaimbwala, Chandigarh",160101,172,2740556,-,-,gssskw-chd@nic.in,-,1990,Monica Maini  Ddo,Senior Secondary,Navodaya Vidyalaya Samiti,-,Chandigarh(ut)
Govt Girls Sr Sec School,2620008,Sector-18 C Chandigarh,160018,172,2700237,-,-,rbala715@gmail.com,-,1955,Raj Bala,Senior Secondary,Union Territory Chandigarh,-,Chandigarh(ut)
