Aadharshila,3330211,Village Bijabhat Bhatapara Raipur,493118,7726,220254,-,7726220912,aadharshilabyt@gmail.com,http://www.aadharshila.net,2014,Chhote Lal Shukla,Senior Secondary,Shree Aadharshila Shikshan Samiti,-,Raipur
Aadeshwar Academy,3330092,"Halba Kachora, Adawal, Jagdalpur, Distt Bastar, Chhattisgarh",494001,7782,264500,-,-,pradip_p111@yahoo.co.in,http://aadeshwaracademy.org,2006,Pradip Kumar Pandey,Senior Secondary,Jin Kushal Education Society,-,Bastar
Aadharshila Vidya Mandir,3330179,"Behind Govt. Engg. College, Ramtala Road, Koni",495009,775,2260085,-,07752-237268,principal.avmbsp@gmail.com,http://www.avmbsp.com,2011,Nitu Sharma,Senior Secondary,Sandipani Education Society,-,Bilaspur
Aaryan Public School,3330396,Opposite Urga Petrol Pump Urga,495677,-,7772030008,-,-,rsbeducationalsociety@gmail.com,-,2017,Mr. Mangal Murti Sharma,Middle Class,Rai Sahab Banwari Lal Educational Society,-,Korba
Aaryan Public School,3330402,"Korba, Champa Road , Urga , Korba",495677,-,7772030008,-,-,rsbeducationalsociety@gmail.com,www.apskorba.com,2017,Mrs. Neelam Singh,Secondary School,R.s.b.educational Society,-,Korba
Abhyuday School,3330199,"Sarodha Canal Road, Rajnandgaon Road, Kawardha Distt, Chhattisgarh",491559,9522,272239,-,07741-233232,principal@abhyuday.edu.in,http://www.abhyuday.edu.in,2012,Subhash Chandra Verma,Senior Secondary,Sudha Devi Trust,-,Kawardha
"Aastha Vidya Mandir English Medium, At. Education City",3320264,"Jawanga,p.o. Geedam, Distt. Dantewada , Chhattisgarh- 494 441",143001,7856,2244477,1832506162,-,santosh.pradhan197610@gmail.com,-,2000,Santosh Pradhan,Senior Secondary,Pioneer Institute Of Edu,-,Dantewada
Academic Brights Public School,3330261,-,496661,-,09575420094,-,-,academicbrightkharsia@gmail.com,-,2016,-,Senior Secondary,R.m.& Sumitra Education,-,Raigarh
Academic Heights Public School,3330270,"Tendudand, Vikaskhand- Manendragarh, Distt- Koriya, Chattisgarh",497442,-,07771243953,-,-,ahps5095@academicheights.in,www.manendragarh.academicheights.in,2013,Mr. P. Ravi Shankar,Senior Secondary,Sunsine Education Society,-,Koriya
Academic World School,3330168,"Vakrangee Foundation, Nh-30, Village-lolesara, Bemetara, Chhattisgarh",491335,7824,9179997333,-,07824-299294,academicworldschool@gmail.com,-,2010,Jashvir Chaudhary,Senior Secondary,Vakrangee Foundation,-,Durg
"Adani Vidya Mandir, Surguja",3330371,"Village : Salhi, Post : Dandgaon, Block : Udaipur, Surguja, Chhattisgarh - 497001",497001,-,9898645421,-,-,jatin.upadhyay@adanifoundation.com,http://www.adanividyamandir.org/,2013,Mr. Rajanikant Sharma,Secondary School,Adani Foundation,-,Surguja
