A R S D Sr Sec School,2778036,Ajmeri Gate Delhi,110006,11,232375556,25551203,-,arsd2127079@gmail.com,-,1949,Piyush Chandra,Senior Secondary,Atma Ram Trust,-,Central Delhi
A S N Sr Sec School,2730203,"Noida Road Mayur Vihar, Distt East Delhi, Delhi",110091,11,"22713040, 22715881",22429480,-,principal@asnschool.org,-,1975,Sonia Luthra,Senior Secondary,Sanatan Dharam Adarsh Shiksha Sanagatan,-,East Delhi
Aadharshila Vidyapeeth,2730494,Cd Block Pitam Pura Delhi,110088,11,27316362,27311222,-,avprincipal34@gmail.com,www.aadharshilavidyapeeth.org,1997,Byomakesh Mishra,Senior Secondary,Vaish Aggrawal Educational Society,-,North West Delhi
A S V J Sr Sec School,2778041,Daryaganj New Delhi,110002,11,23271636,26913890,-,asvj2127080@yahoo.co.in,-,1920,Gajay Singh,Senior Secondary,D.p.i,-,New Delhi
A-One International Public School,2730847,"B-block, Inder Enclave, Phase-ii, Delhi-110086",110086,-,9312658395,-,-,aoneinternationalpublicschool@gmail.com,-,2008,Mrs. Rekha Bhatt,Secondary School,Dayanand Trust,-,North West Delhi
Aakash International School,2730717,"G-2 Block, Jai Vihar,nangloi Road, Najafgarh Road,",110043,-,9958640830,-,-,aakashpublicschool@gmail.com,http://www.aakashinternationalschool.co.in,-,Mrs. Pratibha Gupta,Senior Secondary,-,-,West Delhi
Aaryan International School,2730641,"320-321, Om Vihar, Phase-i, Metro Pillar No. 706, Uttam Nagar",110059,-,011-64632062,-,-,nkmahajanca@yahoo.co.in,-,2005,Sarita,Senior Secondary,Choudhary Jagmohan Singh Memorial Educational & Welfare Society,-,West Delhi
Aakash Public School,2730733,"B-32,ishwar Colony, Arjun Park,",110043,-,011-25324555,-,1125324699,rajeshrameshwar.ca@gmail.com,-,2005,Mrs.neena Gupta,Senior Secondary,Gurudham Educational & Welfare Society,-,South West Delhi
Abhinav Global School,2730805,"Dwarka, Sector-13",110078,-,01128036901,-,1128036902,agsdwarka2014@gmail.com,http://www.agsdwarka.com,2015,Mrs. Vandana Kumari,Senior Secondary,Vijaya Shri Education & Social Welfare Society(regd),-,South West Delhi
Abhinav Public School,2730439,"Sector 3, Rohini Delhi",110085,11,"27512199, 27510264",0565-2430298,2430170,aps.1986@yahoo.co.in,http://www.dpsfamily.org,1990,Rajesh Sharma,Secondary School,Akhil Bhartiya Samaj Samiti,-,North West Delhi
Acharya Tulsi Govt.Sarvodaya Boys Sr,2754041,School Chattarpur Mehrauli New Delhi,110030,11,26804615,26894095,-,atsbv1923081@gmail.com,-,-,Kedar Singh Burfal,Senior Secondary,Delhi Admn Delhi,-,New Delhi
Abhinav Public School,2730442,"Cu-block Pitampura, Distt North West Delhi, Delhi",110088,11,"27344148, 27344148",-,-,aps_2003@yahoo.co.in,-,1924,Saroj,Senior Secondary,Mehta Institute Of Education,-,North West Delhi
Adarsh Gyan Sarover Balika Vidyalaya,2730790,"Adarsh Gyan Sarover Balika Vidyalaya, Gamri,5th Psuta Gamri",110053,-,9990727283,-,-,agsbv99@gmail.com,www.agsbv.in,1996,Mrs. Uma Chaturvedi,Secondary School,"Adarsh Gyan Sarover Shiksha Samiti, Delhi",-,North East Delhi
Adarsh Jain Dharmic Shiksha Sadan,2730229,Thana Road Najafgarh New Delhi,110043,11,28010740,25016207,-,vjain_mgs@rediffmail.com,-,1981,Manju,Senior Secondary,Acharya Shanti Sagar Digamber Jain   Board,-,New Delhi
Adarsh Public School,2730445,Shyam Enclave Deenpur Najafgarh New Delhi,110042,11,25011862,-,-,adarshpublicschool.deenpur@gmail.com,-,1995,Poonam Rani,Secondary School,Gramin Soc Wel & Edu Dev Soc,-,New Delhi
Adarsh Lakhpat Model Sec School,2730603,"E-25, Khajuri Khash, Dayal Pur Road,",110094,11,22963999,-,-,adarshlakhpat2001@gmail.com,-,1986,Chirag Chaudhary,Secondary School,Maharishi Dayanand Samriti Nyas,-,East Delhi
Adarsh Public School,2730119,"C-block Vikas Puri, Distt West Delhi, New Delhi",110018,11,"28543300, 28544400, 25533300",8373907592,-,adarshpublicschool@hotmail.com,-,1989,Mrs. Pooja Malhotra,Senior Secondary,B.r Memorial Society,-,West Delhi
Adarsh Sec School,2776017,D-block Vikas Puri New Delhi,110018,11,28537799,28537799,-,jha.ranjan@yahoo.com,-,1954,Sadhna Bhardwaj,Secondary School,Kalgidhar Khalsa School Society,-,New Delhi
Adarsh Shri Ram Vidya Mandir,2730839,"Chetan Vihar, Gopal Nagar, Near Rail Factory, Gopal Nagar Extn., Najafgarh, New Delhi-110043",110043,-,9971832804,-,-,asrvmps@gmail.com,www.asrvmps.com,2000,Mrs. Pinki Devi,Secondary School,Shiv Charan Memorial & Educational Society,-,South West Delhi
Adarsh Sr Sec School,2770010,G T Raod Libaspur Delhi,110042,11,27835110,27203697,-,adarshssschoollibaspur42@gmail.com,-,1971,Rampati,Senior Secondary,Managing Committee Of School,-,North West Delhi
Adarsh World School,2730634,"Sector-12, Phase-i,dwarka,",110075,11,45017924,3443729,-,PRINCIPALADARSHWORLDSCHOOL@GMAIL.COM,http://WWW.ADARSHWORLDSCHOOL.ORG,2008,Savita Sharma,Senior Secondary,Sri Sankara Education Society,-,South West Delhi
Adarsh Vidya Bhawan.,2730208,"Plot No.43   I P Extension Near Bathla Appartments Mandawali Fazalpur Patparganj, Distt East Delhi, Delhi",110092,11,"9811085857, 22415857",-,-,avb.pankaj@gmail.com,-,-,Mrs. Ritu Verma,Senior Secondary,-,-,East Delhi
Adriel High School,2730737,Pocket2 Sector24 Rohini,110085,11,27933377,-,-,principal.adrielhigh@gmail.com,http://www.adrielhighschool.in,2008,Poonam Leekha,Senior Secondary,Mair Rajput Educational Society,-,North East Delhi
Ahlcon International School,2730454,"Mayur Vihar Phase I Opp Una Enclave, Distt East Delhi, Delhi",110091,11,"01147770777, 22792406",-,22754068,ahlconint2012@gmail.com,http://www.ahlconinternational.com,-,Mr. Ashok Pandey,Senior Secondary,-,-,East Delhi
Ahlcon Public School,2730168,"Mayur Vihar Phase I, Distt East Delhi, Delhi",110091,11,46347777,9318311583,-,apsmayurvihar1@gmail.com,-,1988,Dr. Deepak Raj Singh Bisht,Senior Secondary,Shanti Devi Progressive Education Society,-,East Delhi
Air Fce Bal Bharati School,2780008,Lodi Road New Delhi,110003,11,24611777,24623671,011-24648530,sunitagpt5@gmail.com,airfcebalbharatischool.com,1955,Sunita Gupta,Senior Secondary,Iaf Educaitonal And Cultural Socy,-,New Delhi
Air Fce Golden Jubilee Institute,2780009,Subroto Park Delhi Cantt. New Delhi,110010,11,25692819,25691953,24694353,rampal.poonam@gmail.com,http://www.afgji.g,1970,Poonam S Rampal,Senior Secondary,Iaf Educational And Cultural Socy,-,South West Delhi
Air Fce Gyan Jyoti School,2780005,Air Fce Station Palam Delhi Cantt,110010,11,25672947,25694520,-,principal@gyanjyotiafs.g,-,1969,Alka Nema,Secondary School,Air Fce Childern Foundation Soc,-,South West Delhi
Air Fce School Panchwati,2780012,"C/o 13 Base Repair Depot, Amse, Palam, New Delhi- 110 010",734501,-,-,-,-,-,-,1994,-,Secondary School,Army Welfare Edu. Society,-,South Delhi
Air Fce Sr Sec School,2774031,Old Wellingdon Camp Race Course New Delhi),110003,11,23015488,23017179,-,kavitamenon6@gmail.com,-,1985,Kavitha Menon,Senior Secondary,Delhi Tamil Edu Assn (r),-,New Delhi
Air Fce Sr Sec School,2776014,Palam Delhi Cantt Delhi,110010,11,25672818,1125555693,-,airfceschool1720083@gmail.com,-,1948,Rajlakhsmi,Senior Secondary,Air Fce Palam,-,South West Delhi
Akali Baba Phoola Singh Khalsa,2778047,Sr Sec School Rajinder Nagar New Delhi,110060,11,25868382,25449269,-,ABPS_KHALSASSS@REDIFFMAIL.COM,-,1912,Sunita Jain,Senior Secondary,The Union Academy,-,New Delhi
Akash Model School,2730475,"Baljeet Vihar, Nithari Extn., Delhi-110086",110086,11,9811088324,-,9811088324,akashschoolrana@gmail.com,http://www.akashmodelschool.in,-,Mrs. Geeta Rani,Senior Secondary,-,-,North West Delhi
Alok Bharti Sec School,2772010,Khureji Khas Delhi,110051,11,9311711914,1122473560,-,alokbhartischool@yahoo.co.in,alokbhartischool@yahoo.co,1971,Sudhir Kumar,Secondary School,Alok Shiksha Prasar Sansthan Delhi,-,East Delhi
Alok Punj Sec School,2772012,Karawal Nagar Delhi,110094,11,22934565,28730309,-,npal1961@gmail.com,-,1975,Naresh Pal,Secondary School,Alok Punh Vidhgya Peeth,-,North East Delhi
Ambience Public School,2730095,A-1 Safdarjung Enclave (behind Kamal Cinema) New Delhi,110029,11,01147232000,-,011-26109739,info@ambiencepublicschool.com,http://www.ambiencepublicschool.com,-,Mrs. Himani Asija,Senior Secondary,-,-,South Delhi
Amar Shaheed Major Sehrawat Kanya Vidyalaya,2764028,Mahipalpur New Delhi,110037,11,26781101,-,-,alka.ranibagh@gmail.com,-,1970,Alka Nagpal,Senior Secondary,Directorate Of Education Delhi Admn,-,New Delhi
Amity International School,2730586,"Mayur Vihar, Phase-i, Delhi-110091",110091,11,22717261,-,-,principal@aismv.amity.edu,-,2003,Dr Priyanka Mehta,Senior Secondary,Child Education Society,-,East Delhi
Amity International School,2730612,"Pushp Vihar, South Delhi",110017,11,29561561,29561778,011-25862118,mrsameetamohan@gmail.com,http://www.dpsbahadurgarh.com,2007,Ameeta Mohan,Senior Secondary,Universal Educational Trust,-,South Delhi
Amity Intetnational School,2730257,"Road No-44 M-block Saket, Distt South Delhi, New Delhi",110017,11,"29561606, 26962583",26969625,0161-2224682,principal@aiss.amity.edu,-,1991,Divya Bhatia,Senior Secondary,Academic Quest,-,South Delhi
Amrita Public School,2730324,K-ii/474 Sangam Vihar New Delhi,110062,11,26047373,26083177,-,amritapublicschool@yahoo.co.in,-,1989,Taruna Trehan,Senior Secondary,Chillar Dhankar Educational Soc,-,New Delhi
Amrita Vidyalayam,2730496,Sector Vii Pushp Vihar Saket New Delhi,110017,11,29561363,26893622,26898047,amrita.vidyalayam@gmail.com,amrita.vidyalayam@gmail.c,1984,Pavitramrita Chaitanya,Senior Secondary,Mata Amritanand Math,-,South Delhi
Andhra Edn Society Sr Sec School,2776013,B3 Block Janakpuri New Delhi,110058,11,25595488,25531391,-,aesjp2006@yahoo.co.in,-,1975,E Anitha,Senior Secondary,Andhra Education Society,-,New Delhi
Andhra Edu Society Sr Sec School,2778055,Prasad Nagar New Delhi,110005,11,05723372,22456423,-,principalaesprasadnagar@gmail.com,-,1943,B Dhana Lakshmi,Senior Secondary,Dir. Of  Education,-,New Delhi
Andhra Education Society,2778034,"Dr. Durgabai Deshmukh Memorial Sr. Sec. School, Ddu Marg, Rouse Avenue, New Delhi-110 002",110002,11,23238497,22484183,-,kandukuridurga@yahoo.com,-,1954,K Durga,Senior Secondary,Andhra Education Society,-,New Delhi
Andhra Education Society Dr. K. Ramesh Babu Memial School,2774038,"Sec-7, Pushp Vihar, New Delhi",110017,11,29562959,-,-,suseela.manidhar@gmail.com,-,1985,M V Suseela Manidhar,Senior Secondary,N D M C,-,South Delhi
Angel Public School,2730539,"Wz-2 Phase- Ii A, Om Vihar",110059,180,9136363494,0180-2661893,2662507,neelamsharmasharma29@gmail.com,http://www.sdvm.org,1980,Neelam Sharma,Secondary School,-,-,West Delhi
Angels Public School,2730628,Vasundhra Enclave Delhi 110096,110096,11,43065315,550909,011-22380781,angelspublicschool1@gmail.com,-,2005,Ms. Shipra Lal,Senior Secondary,Shahdara Angels Educational Society (regd.),-,East Delhi
Anglo Arabic Model School,2730668,"Ajmeri Gate, Delhi.2",110006,11,23210863,23036879,23216755,aams96@gmail.com,-,1996,Farah Sajid,Secondary School,Delhi Education Society,-,Central Delhi
Anglo Arabic Sr Sec School,2778035,Ajmeri Gate Delhi,110006,-,2522714,26915553,01887-22242,ssdps_nn@yahoo.in,-,1949,Fazle Alam,Senior Secondary,Delhi Edn. Soceity,-,North Delhi
Apeejay School,2730029,Panchsheel Park Sheikh Sarai I New Delhi,110017,11,"26012218, 26237385",26213838,7774230999,prin.ss.del@aoeeay.edu,-,1976,A P Sharma,Senior Secondary,Apeejay Education Society,-,New Delhi
Apeejay School,2730181,Gurudwara Road  J-block Saket New Delhi,110017,11,"29555208, 26519209",26962654,-,prin.saket.del@apeejay.edu,-,1988,Anita Paul,Senior Secondary,Apeejay Edun Socity,-,New Delhi
Appejay School,2730259,"Sainik Vihar Road No 42 Pitam Pura, Distt North West Delhi, Delhi",110034,11,"27022140, 27024155",27012615,27023908,principalbedi@gmail.com,-,1990,Dilip Kumar Bedi,Senior Secondary,Delhi Public School Society,-,North West Delhi
Apex Public School,2730184,"Apex Avenue Sant Nagar (burari), Distt North Delhi, Delhi",110009,11,"27617750, 27259356",27226904,-,derekbrendish@gmail.com,http://www.prashantigurukulam.org,1985,Derek Richard Brendish,Senior Secondary,Jeanne Christian Ednl Society,-,North Delhi
Aristotale Public School,2730424,Qutab Garh Main Bus Stand Qutab Garh Delhi,110039,11,27741529,27751471,-,kdbhardwaj.school@gmail.com,-,1979,Radha Bhardwaj,Senior Secondary,Aristotle Public Sch Society,-,South Delhi
Army Public School,2780004,Sadar Bazar Road Delhi Cantt New Delhi,110010,11,25693777,25694520,25694947,principalapsdc@gmail.com,http://apsdelhicantt.g,1989,Neetu Kapo,Senior Secondary,A W E S Delhi,-,New Delhi
Army Public School,2780006,Shankar Vihar Delhi Cantt-10,110010,11,26153558,295300,1126153559,apssvprincipal@gmail.com,-,2007,Malini Narayanan,Senior Secondary,Air Fce Childern Foundation Soc,-,South West Delhi
Arun Modern Public School,2730438,"D-1 Main Road Brij Puri, Distt North East Delhi, Delhi",110094,11,22567874,25331488,6135570,shashisms@gmail.com,-,1987,Mrs Jyoti Rani,Senior Secondary,Arun Education Society,-,North East Delhi
Aruna Asaf Ali Govt.Sarvodaya Girls,2764075,Sr Sec School Tuglakabad Extension New Delhi,110019,11,29984563,26462428,-,aaaskv1925061@gmail.com,-,1990,Bhupinder Kaur,Senior Secondary,Dir. Of Education,-,New Delhi
Arunodaya Public School,2730374,1-a Industrial Area Karkardooma Delhi,110092,11,22371019,25853131,-,sangeetanagar4@gmail.com,-,1996,Sangeeta Nagar,Senior Secondary,Arunodaya Edn Society,-,East Delhi
Central Academy,2730019,Sector Xiii R K Puram New Delhi,110066,11,22447629,-,-,-,-,-,H.l. Verma,Senior Secondary,-,-,South Delhi
Central Academy International School,2730832,"Sector 10 Dwarka Opposite Metro Line, New Delhi 11007",110075,-,01140072828,-,-,ca_affiliation@rediffmail.com,http://www.centralacademyschools.org,2018,Mrs. Garima Pandey,Senior Secondary,Shree Varinder Ghai Education Society,-,South West Delhi
Ch Jaswant Lal Public School,2730329,13/77 Punjabi Bagh New Delhi,110026,-,25430914,-,-,nhps_np@yahoo.co.in,http://www.newhizonps.com,1997,Smt Kiran,Secondary School,Marwah Mitter Charitable Trust,-,New Delhi
Ch Malook Singh Govt Sarvodaya Bal,2752021,Vidyalaya Rajgarh Colony Delhi,110031,11,22007120,22473450,-,gsbvrajgarhcolony@gmail.com,-,1976,Sh. Abutaliv,Senior Secondary,Delhi Administration,-,East Delhi
Ch. Banwari Lal Govt. Sarvodaya,2750114,Co-edn School Wazir Pur  Village Delhi,110052,11,"27215661, 27123652",25522768,-,1411035.sv@gmail.com,-,1990,Suman Sharma,Senior Secondary,Dir. Of Education,-,North West Delhi
