A K Dav Public School,530382,Ismailabad Kurukshetra Haryana,132129,1744,252198,-,-,sarvjeetkaur59@yahoo.com,-,1986,Sarvjeet,Senior Secondary,Dav College Trust & Mgmt Society,-,Kurukshetra
A P Senior Secondary School,531498,"Sanjay Colony, Sector-23",121005,-,01292233746,-,1292233746,apschoolfbd@gmail.com,-,1987,Mrs.sujata,Senior Secondary,A.p High School Educational Society,-,Faridabad
A P G Public School,530375,Sampla Road Kharkhoda Dt Sonipat Haryana,124402,130,9255495032,-,080-26484355,apgpublucschool7@gmail.com,http://www.bgsnps.com,1994,Alka  Garg,Senior Secondary,Om Shiksha Evam Kalyan Samiti,-,Sonipat
A V International Public School,530476,Iti Chowk Rania Chowk Sirsa Haryana,125055,1666,227700,0353-2568557,-,avips_sirsa@yahoo.com,-,1994,Neetu Madaan,Senior Secondary,Sh Arorvansh Charitable Trust,-,Sirsa
A. V. Vidyamandir,531135,"Village Tatiana, Po Badsui (cheeka)",136034,9050,9050004702,-,-,avvidyamandir@gmail.com,www.avvidyamandir.com,2013,Mrs. Kusum Arora,Senior Secondary,Adarsh Vatika Vidyamandir Education Society,-,Kaithal
A.B.M Public School,530832,"Wazirpur-bhupani Road, Riwazpur (sector-89)",121002,129,2202500,-,0129-2202512,infoabmschool@gmail.com,http://www.abmschool.com,2006,Nabonita Ghosh,Senior Secondary,Amir Chand & Baskari Devi Memorial Educational & Cultural Society,-,Faridabad
A. Xavier's International School,531002,"Birdth - Theh Road, Salempur, Ward No.14 Cheeka",136035,1743,202088,-,1743202362,renu.bala59@yahoo.com,-,2002,Renu Bala,Senior Secondary,Renuka Educational Society,-,Kaithal
A.D. Senior Secondary School,530816,"B-210, Dabua Colony, Nut, Faridabad",121001,129,2481958,-,-,ad_school@rediffmail.com,-,1986,Subhash Chander,Senior Secondary,Ideal A.d Shikshaan Sansthan,-,Faridabad
A.V.N. Global School,531868,"Village Dobh, Rohtak, Haryana-124001",124001,-,8684057533,-,-,avnglobalschoolrohtak@gmail.com,www.avnglobalschool.com,2016,Mrs. Monika Khanna,Middle Class,Alps Education Society,-,Rohtak
"Aadharshila Public School, Jind",531111,"New Bypass, Safidon Road, Jind, Haryana",126102,1681,291423,-,-,apsharyana@gmail.com,http://www.aadharshila.org,2011,Anju,Senior Secondary,Aadharshila Education Society.,-,Jind
Aadhar International Public School,531295,Vill. Samaspur Majra,124109,1251,9254345645,-,-,seemagod@gmail.com,-,2012,Seema Hooda,Secondary School,Aadhar Educational Society,-,Jhajjar
Aakash International School,531209,"Sec-36, Nuna Majara, Jhajjar Road",124507,-,9466469533,-,-,dahiya.usha@yahoo.co.in,http://www.aisb.co.in/,2012,Usha Dahiya,Senior Secondary,Vikas Education And Religious Association,-,Jhajjar
Aadharshila Vidyapeeth,531580,V.p.o. Narnaul,123001,-,9416416643,-,-,aadahrshilavidyapeeth001@yahoo.com,-,2005,Mrs.sushma,Secondary School,Late.vimla Khera Memorial Samiti,-,Narnaul
Aastha International Public School,531477,V.p.o.dobhi,125001,-,9518593000,-,-,aipsdobhi@gmail.com,-,2013,Mr.suresh Kumar,Senior Secondary,"Aastha Gramin Education Society, Dobhi",-,Hissar
Aastha Public School,530715,Village And P.o. Basduda,123401,128,9467757201,4842792050,-,apsbasduda@gmail.com,-,2007,Vikas Yadav,Senior Secondary,Aastha-a  Hope For Rural India,-,Rewari
Abhed Shakti Sadan School,531648,Bhagat Mandi Distt Karnal,132001,-,9034403901,-,-,ABHARTI061977@GMAIL.COM,-,2015,Mrs. Pooja Arora,Secondary School,Sb Mission,-,Karnal
Aaron Public School,530358,"Behind Civil Court Employees Colony, Jind Haryana",126102,1681,"254091, 59015",220187,-,bijenkhatkar@yahoo.co.in,-,1973,Bijender Singh,Senior Secondary,Army Pub School Soc,-,Jind
Acme International School,531006,"Sector-12, Indri Road,",122123,124,2013775,-,-,principalacme@yahoo.com,-,2009,Manisha Sarin,Senior Secondary,"Elite Education Welfare Society, Village-udaka, Disst- Mewat, Haryana",-,Gurugram
"Adarsh Convent Senior Secondary School Kairu, Bhiwani",531903,Vpo Kairu,127029,-,01253283383,-,-,acssskairu@gmail.com,WWW.ADARSHCONVENTSCHOOLKAIRU.IN,2019,Mrs. Monika,Senior Secondary,Manshi Education Society Kairu,-,Bhiwani
Adarsh Public School Charkhi Dadri,531572,"Prem Nagar Ward No. 03, Gali No. 04",127306,-,01250 223184,-,01250 223184,apsdadri@gmail.com,http://apscharkhidadri.com,2013,Mr.naveen Kumar,Secondary School,Adarsh Public Education Society,-,Bhiwani
