A N M International School Tahliwal,630222,V.p.o. Tahliwal,174507,1887,01975-233758,-,01975-233758,anminternationalschool@gmail.com,http://www.anmis.in,2012,Miss Vijayta Rana,Senior Secondary,Anm Educational Society Tahliwal,-,Una
Aadharshila School,630138,"Uppar Punner Road (via Bhawarna), Teh- Palampur, Distt Kangra, Hp-176102",176102,1894,000000,921850601,-,kherrk@hotmail.com,-,2007,Sanjay Kher,Senior Secondary,Om Education Trust,-,Kangra
Aadhunik Public School,630055,Sidhbari Dharamshala Himachal Pradesh,176057,1892,"236298, 234550",01892-246390,-,aadhunikschool1995@gmail.com,www.aadhunikschool.in,1957,Mrs.anita Verma,Senior Secondary,Gav Public School Managing Committe,-,Kangra
Achievers Hub Public School,630210,"Mohal Jhikli Dar, Mauza Khaniara, Dharamshala",176057,1892,01892222263,-,-,ahpsdharamshala@gmail.com,http://www.ahpsdharamsala.com,2007,Mrs. Megha Tokes,Senior Secondary,Awsthi Education Society,-,Kangra
Aditya Birla Public School Baga Utcl Township,630172,"Village Sarainghat Dhar Tatoh, Po Dhar-tatoh, Tehsil Sadar, District Bilaspur, Himachal Pradesh",174001,1796,223391,-,01796-223344,callanand003@gmail.com,http://www.jaypeeschools-jvmbaga.org,2011,Anand Dubey,Senior Secondary,"Ultra Tech Community Welfare Foundation, Mumbai",-,Bilaspur
Akal Academy English Medium School,630029,Baru Sahib P O Machner (via Rajgarh) Distt Sirmour Himachal Pradesh,173107,179,276031,-,-,admin@akalacademy.ac.in,-,1984,Dr Neelam Kaur,Senior Secondary,Yashi Benevolent Trust,-,Sirmaur
Alpine Public School,630233,Village Sukkabag P.o Bhangwar,176029,-,01892269669,-,-,apssukhabagh@gmail.com,-,2009,Mrs.meena Sharma,Secondary School,Great Aryan Valley Education Society,-,Kangra
Alpine Public School,630084,Chowkiwala Nalagarh Distt Solan Himachal Pradesh,174107,179,"222997, 222537",1795222537,221668,alpine1nalagarh@gmail.com,http://www.alpinenalagarh,1995,Prem Lata Joshi,Senior Secondary,Alpine Public School Edu Society,-,Solan
Amravati Vidyalaya,630204,"Amravati Apartments Adj H.b.c. Ph-iii,baddi Distt Solan (h.p.)",173205,1795,657461,-,-,vinitajoshi63@gmail.com,-,2007,Vinita Joshi,Secondary School,Amravati Welfare Society,-,Solan
Anand School,630246,Anand Schoolopp Bank Squaresector 1,173220,-,01792-232038,-,-,anandschoolparwanoo@gmail.com,http://anandschool.com/,1979,Mrs.usha Kaushesh,Secondary School,Deep C Anand Educational Trust,-,Solan
