Air Fce School,780010,Udhampur 39 Wing Af C/o 56 Apo Jammu & Kashmir,184142,-,4328,-,-,-,-,1977,Ms Usha Koul,Secondary School,Air Fce School Mgt. Committee,-,Udhampur
Air Fce School,780006,Air Fce Station P O Satwari   Jammu Cantt Jammu Jammu & Kashmir,180003,6344,626929,626930,-,arschool@nde.vsnl.net.in,www.afsjammu.com,1971,Dr B R Gupta,Senior Secondary,Army Welfare Education Society,-,Jammu
Army Goodwill Public School,780020,Rajouri J & K,181202,-,-,-,-,-,-,2001,-,Senior Secondary,Awes,-,Rajouri
Army Goodwill Public School Pahalgam,730053,P/O Batakote Via Seer Kanily Gund Anantnag,192129,1392,01936-211900,01392-295300,01936-211900,king_ha14@yahoo.com,-,2008,Anurag Das,Senior Secondary,Army Goodwill Educational Society Pahalgam,-,Anantnag
Army Goodwill Public School Pahalgam,780021,P/o Batakote Via Seer Kanily Gund Anantnag,192129,1396,211900,295300,01936-211900,king_ha14@yahoo.com,-,2001,Ramesha M L,Senior Secondary,Army Welfare Edu Society,-,Anantnag
"Army Goodwill School, Wayne",780022,"Po-halmatpa, Kupwara, Jammu & Kashmir-193222",193222,1396,01955216326,-,1955216326,agswayne@yahoo.com,-,2002,Javid Ahmad Wani,Senior Secondary,-,-,Kupwara
Army Public School,730006,Sainik Colony Ratnuchak P.o. Jammu Jammu & Kashmir,180011,-,08257-271533,-,08257-271533,jgps_bellare@rediffmail.com,-,-,Mrs. Vijay Puri,Senior Secondary,Army Board,-,Jammu
Army Public School,780005,Sainik Colony Ratnuchak P.o. Jammu Jammu & Kashmir,180011,-,2203,8257271533,08257-271533,jgps_bellare@rediffmail.com,-,1981,Mrs. Vijay Puri,Senior Secondary,Kendriya Vidyalaya Sangathan,-,Jammu
Army Public School,780011,Kaluchak P O Gangyal Jammu Jammu & Kashmir,180010,1923,242383,1912482443,2654024,apskaluchak@gmail.com,www.apskaluchak.com,1978,Mrs. Hem Lata Vishen,Senior Secondary,Awes,-,Jammu
Army Public School,780016,B D Bari Tehsil Samba Distt Jammu Jammu & Kashmir,181133,-,19232112,9419248070,-,apsbdbari@gmail.com,www.apsbdbari.g,1993,Mrs . Neeta Rawal,Senior Secondary,Army Welfare Education Society (awes),-,Jammu
Army Public School,780013,Damana (muthi) Jammu J & K,181205,1923,242383,-,2654024,armyschooldamana1@rediffmail.com,http://www.dpssurat.net,1992,Dr Renu Gupta,Senior Secondary,Army Welfare Society,-,Jammu
Army Public School,780015,Samba Distt Jammu Jammu Kashmir,184121,1923,242383,-,2654024,apssamba@gmail.com,http://www.apssamba.co.in,1997,Mr. Arjun Singh,Senior Secondary,Army Welfare Education Society,-,Jammu
Army Public School,780019,Rakhmuthi Jammu Jammu & Kashmir,-,191,242863,-,2458339,rrlj@nde.vsnl.net.in,http://www.pcsjammu.g,1997,Mrs Satnam Kaur,Senior Secondary,Awes,-,Jammu
Army Public School,780012,Akhno Jammu & Kashmir,180010,1924,253224,1912455903,253224,asakhno1@rediffmail.com,-,1974,Mr K C S Mehta,Senior Secondary,Army Welfare Society,-,Jammu
Army Public School,780007,Opp War Memial Hall Satwari    Near Peer Baba Jammu Cantt Jammu & Kashmir,180003,6344,46245,626930,-,asjammucantt@rediffmail.com,-,1984,Mrs Archana Kakar,Senior Secondary,Hq 26 Infantry Division,-,Jammu
Army Public School,780008,Janglot Po Distt. Kathua Jammu & Kashmir,184101,1334,211339,9411178474,-,janglotarmyschool@rediffmail.com,-,1991,Sh B L Bamezai,Senior Secondary,Army Welfare Education Society,-,Kathua
Army Public School,780014,Maralia Miran Sahib Jammu & Kashmir,181101,191,3154,48,2458339,saagrika@nde.vsnl.net.in,http://www.pcsjammu.g,1991,Jasbir Kaur,Senior Secondary,Guru Nanak Public School Society,-,Jammu
Army Public School,780003,B B Cantt Srinagar Jammu & Kashmir,190004,194,2468224,-,-,apssrinagar@yahoo.com,-,1981,Mrs Upasna Gautam,Senior Secondary,J And K State,-,Srinagar
Army Public School,780017,Dhar Road Udhampur Jammu & Kashmir,182102,1992,244352,3270,-,armyschooldharroad@yahoo.in,-,1978,Dr. Jyoti Bedyal,Secondary School,Army Welfare Society,-,Udhampur
Army Public School,780009,Nagrota - Jammur Jammu & Kashmir,181221,1334,211339,-,-,apsnagrota@gmail.com,www.apsnagrota.in,1984,Mrs. Ruchi Bahl,Senior Secondary,Army Welfare Education Society,-,Jammu
Army Public School,780002,P.o. P T C Udhampur Jammu & Kashmir,182104,-,6146,-,-,aps_udhampur@rediffmail.com,-,1980,K T Karmachandaran,Senior Secondary,Awes Army Hq New Delhi,-,Udhampur
"Army Public School, Sunjuwan, Jammu",780023,C/o 36 Infantry Brigade (pin-908036) C/o 56 Apo,180010,1923,"1912463889,2209",3273535,-,col.ds.jasrotia@gmail.com,-,1972,Beenu Seth,Secondary School,Army Welfare Edn. Society.,-,Jammu
B S F Sr Sec School,780024,Palaura Camp Jammu Jammu & Kashmir,181124,-,43894,-,-,-,-,2001,Dr. S.s. Khokhar,Senior Secondary,Awes,-,Jammu
Banyan International School,730058,"Jeevan Nagar Road,babliana,p.o:-gadigarh,jammu(j&k)",181101,-,9086093551,-,0191-2432900,principal@banyaninternationalschool.edu.in,-,2008,Ramesh  T R,Senior Secondary,Shurya Educational Institute/society,-,Jammu
Bhargava Public School,730073,"Badheri, Supwal",184121,192,3219445,-,19232436169,vivekarora1122@gmail.com,http://www.bhargavapublicschool.org,2008,Vivek Arora,Senior Secondary,Rattna Devi Gopal Das Memorial Trust,-,Jammu
Bhartiya Vidya Mandir,730075,Ved Mandir Ambhalla Jammu,180005,191,2566474,-,-,rajmarhatta@gmail.com,-,2001,Rakesh Marhatta,Senior Secondary,Bhariya Shiksha Samiti (j&k),-,Jammu
Birla Open Minds International School,730050,"Nh-1a, Channi, Distt. Jammu, Jammu & Kashmir",180011,191,2464034,01765-256155,0191-2460010,jpworldschool@gmail.com,http://www.jpworldschool.org,2005,Jitinder Singh,Senior Secondary,Choudhary Charitable Trust,-,Jammu
British International School,730097,Sainik Colony Sector D,180011,-,01912468707,-,2468953,bisjmu123@gmail.com,http://www.bisjmu.com,2016,Mrs.gita Sharma,Secondary School,New Modern Education Society,-,Jammu
Carmel Convent School,730203,Kunjwani By-passgangyal P.o,180010,-,01912480717,-,-,contact@carmeljammu.com,www.carmeljammu.com,1995,Miss Sr. Maria Swati,Secondary School,Diocese Of Jammu -srinagar Education Society,-,Jammu
Christ High School Nowshera,730107,Ward No 6nowshera,185151,-,011960230018,-,-,sujithcmi@gmail.com,http://christnowshera.in/,1995,Mr. Sujith Mathew,Secondary School,Manava Seva Society,-,Rajouri
Cybernetics Secondary School,730033,Arjun Vihar Junjwani Jammu Jammu & Kashmir,171001,191,"2480099, 2482958",3273535,2654024,jhaschool_surat@yahoo.com,http://www.dpssurat.net,1994,Sh B L Kaul,Secondary School,N K Foundation Educational Trust,-,Jammu
D.S. Heritage Scholars School,730051,"Near Barwal Morh ( National Highway Nh-1a ) , Kathua , Jammu & Kashmir",184143,1922,205461,-,-,heritagiansmailbox_principal@rediffmail.com,http://www.heritagess.com,2007,Mr. Surajit Saha,Senior Secondary,Modern Educational Society,-,Kathua
Delhi Public School,730074,"Delina, Baramulla",193103,511,"01942300110,01952263555",9.48E+19,-,principaldpsbaramulla@gmail.com,http://www.dpsbaramulla.net,2009,Mr.shiva Kumar Jha,Senior Secondary,Itfaq Educational Trust,-,Baramulla
Delhi Public School,730025,Maharaja Hari Singh Marg Jammu Jammu & Kashmir,180001,191,"2570480, 570481",0751-4033202,-,ruchildin@gmail.com,-,1998,Ruchi Chabra,Senior Secondary,Delhi Pub School Society,-,Jammu
Delhi Public School,730045,"P.o.muradpur, Distt Rajouri, Jammu & Kashmir",185131,-,389340,-,-,-,-,1992,-,Senior Secondary,Balaji Venkateshwara Edu Society,-,Rajouri
Delhi Public School,730029,Athwajan Bye Pass Chowk Srinagar Jammu & Kashmir,190004,194,"2467550, 2467550",2477171,0194-24678,principal@dpssrinagar.com,-,1992,Kusam Warikoo,Senior Secondary,"Dps Soc, Delhi",-,Srinagar
"Delhi Public School ,Kathua",730060,Raj Bagh Educational Trust- Kathua,184143,1922,206133,-,-,nimmimahna@gmail.com,-,2010,Nirmal Mahna,Senior Secondary,"Delhi Public School Society,new Delhi",-,Kathua
Delhi Public School Budgam,730059,"Sheikhpura - 191111, Tehsil And District Budgam",191111,1955,"255009,8491066496",-,8491066496,mehfooz.aslam@dpsbudgam.com,http://www.dpsbudgam.com,2008,Ms.shobhna Sirohi,Senior Secondary,Society For Promotion Of Culture And Education Trust,-,Budgam
