A K Memorial Dps Parsabad,3430620,"Station Road, Parsabad, Jainagar, Koderma, Jharkhand",825318,-,9955476698,-,9955476698,dpsparsabad@gmail.com,http://www.akmdps.com,2015,Mr. Md Firoj Khan,Secondary School,Jamuna Devi Memorial Trust,-,Koderma
A R S Public School,3430192,B S L Lh Bokaro Steel City Jharkhand,800018,6542,09204780407,-,-,biswajitpatra4869@rediffmail.com,-,2005,Biswajit Patra,Senior Secondary,A R S Memorial Educational Society,-,Bokaro
Adarsh D A V Public School,3430627,"Block Road, Chedra, Bishnugarh, Hazaribag,jharkhand   Pin- 825312",825312,-,9935909127,-,7250783437,narayan83032@gmail.com,http://www.adarshdav.com,2016,Mr. Digvijay Narayan,Secondary School,Aaderssh Education,-,Hazaribagh
A'la Anglaise School,3430683,"Deoria Bargawan, Patratu",829106,-,9431394928,-,-,alaanglaise@gmail.com,www.alaanglaise.co.in,-,Bijayant Kumar,Senior Secondary,Coalfield Educational Trust,-,Ramgarh
Adarsh +2 Uchh Vidyalaya,3430249,"Vill. Madhwatand, P.o. Makatpur, P.s. Jainagar, Koderma.",825301,6534,222453,401232,06534-222065,punit_ydv@rediffmail.com,-,1993,Punit Yadav,Senior Secondary,Jan Gyanoday,-,Koderma
Adarsh Shramik Uchch Vidyalaya,3430084,Golukdih Open Cart Project At- Golukdih P.o.jharia Distt.dhanbad Jharkhand,828111,326,2290009,-,-,asuvidyalaya@ymail.com,-,1979,Shio Kumar Singh,Secondary School,"Adarsh Shramik Uchcha Vidyalaya Managing Committee,golukdih.",-,Dhanbad
Aditya Prakash Jalan Saraswati Vidya Mandir,3430630,"At- Kudlum,p.o.- Balalong, P.s.- Nagridist-ranchi(jharkhand)pin- 834004",834004,-,9430348973,-,-,apjsvmkudlum@gmail.com,www.vidyavikassamiti.org,2015,Mr. Jitendra Tiwari,Secondary School,"Vidya Vikas Samiti, Jharakhnd",-,Ranchi
Adarsh Vidya Mandir,3430089,Bye Pass Road Chas Bus Stand Bokaro Jharkhand,827013,6542,265171,6542265559,265559,cghosh1973@gmail.com,-,1970,Chinmoy Ghosh,Senior Secondary,Marwari Panchayat Chas Bokaro,-,Bokaro
Agrasen Dav Pub. School,3430128,P.o Bharech Nagar Via Ramgarh Cantt Distt  Hazaribagh Jharkhand,829146,6553,256801,06553-256103,256623,mkm62.dav@gmail.com,www.agrasendav.in,1993,Manoj Kumar Mishra,Senior Secondary,Dav College Trust & Managing Soc.,-,Hazaribagh
Agrasen Saraswati Vidya Mandir,3430690,"P.o- Chirkunda, P.s- Chirkunda",828202,-,9334148083,-,-,asvm06@gmail.com,www.asvmckd.com,-,Ashok Kumar Verma,Secondary School,Shree Shree Shiv Jeev Thakur,-,Dhanbad
Anandalaya Public School,3430220,"Jagdishpur, Modhupur, Deogarh, Jharkhand",815353,6438,284210,9915070521,0183-2700808,aniruddh.mishra69@gmail.com,-,2003,Aniruddh Mishra,Secondary School,St.xaviers Education Trust,-,Deoghar
Angels High School,3430276,"Barkagaon Road, Block- Katkamdag,shankarpur,hazaribag,pin.-825301",825301,654,262518,-,6546223053,angelshighschool2008@gmail.com,http://www.angelshighschool.in,2008,Swati  Agrawal,Senior Secondary,Braj Kishore Educational Trust,-,Hazaribagh
Aiwc Academy Of Execellence,3430223,"Dihing Road, Old Baridih,dhalbhum, Jamshedpur, East Singhbhum, Jharkhand",831017,657,2213349,9915070521,0183-2700808,jasbeergill@rediffmail.com,-,2003,Jasbeer Kaur Gill,Senior Secondary,St.xaviers Education Trust,-,East Singhbhum
Anthem Public School,3430614,"Kesura More, Saroni Road, Rola, Hazaribagpin- 825303",825303,-,9162445799,-,-,praveen128@yahoo.com,http://www.apshzb.com,2010,Mrs. Usha Bharti,Senior Secondary,Anthem Education Trust,-,Hazaribagh
Aparna Public School,3430622,"Aparna Public School, Gosaidih, Govindpur Road, P.o.: K. G. Ashram, Dhanbad - 828109, Jharkhand",828109,-,03262227057,8609187400,-,aparnapublicschool@gmail.com,http://www.apsaparna.com,2016,Mr. Anupam Nayek,Senior Secondary,Aparna Sachin Education Institute,-,Dhanbad
Appreciable Public School,3430432,"At-katia,parsabad,po-parsabad",825318,-,09973240886,-,-,munshiyadav8@gmail.com,-,2010,Mr.baijnath Prasad Barnwal,Secondary School,S B Memorial Educational Trust,-,Koderma
Army Public School,3480004,Rameshwaram Lane Baraitu Road Ranchi Jharkhand,834009,651,06512273354,2360613,2541961,asr8208@rediffmail.com,-,1983,Mr.abhay Kumar Singh,Senior Secondary,Army Welfare Educataion Society,-,Ranchi
Army Public School,3480003,Ramgarh Cantt. Distt.hazari Bagh Jharkhand,829122,6553,222107,222526,222107,apsramgarhcantt@gmail.com,-,1991,Mr Pankaj Kumar Jain,Senior Secondary,Army Welfare Education Society,-,Hazaribagh
Ascot International School,3430607,Bharat Mata Chowk Harmu Roadranchi,834001,-,6200895639,-,6200895639,ascotschool.ranchi@gmail.com,http://www.ascotschool.org,2014,Mr. B. Kumar,Senior Secondary,Impact India Foundation,-,Ranchi
Atomic Energy Central School,3480005,Narwapahar Post Narwapahar Via Sundernagar Singhbhum Distt Hq Jamshedpur Jharkhand,832107,657,2741609,6572741750,2741609,aecsnrw@yahoo.co.in,-,1991,Mr.  Dileep Singh,Secondary School,Atomic Energy Education Society,-,East Singhbhum
Ashram Residential School,3420003,"At- Kuchai, Post-kuchai, Distt-saraikela-kharsawan, Jharkhand-833 216",-,-,-,-,-,-,-,-,-,Secondary School,-,-,Seraikella Kharsawan
Ashram Residential School,3420004,"At-parvat Vihar, Post-jamtara, Dist. Jamtara, Dist. Jamtara, Jharkhand- 815 351",-,-,-,-,-,-,-,-,-,Secondary School,-,-,Jamtara
Atomic Energy Central School,3480002,P O Jaduguda Mines Singhbhum Distt Jharkhand,832102,891,235,310,6546263332,uciljd@ucil_jd.bih.nic.in,http://www.aecs1jaduguda.nic.in,1965,Haroon Rashid Khan,Senior Secondary,Atomic Energy Education Socy,-,East Singhbhum
Atomic Energy Central School,3480006,"Turamdih, Via Sundernagar, East Singhbhum Distt.",832107,657,6571518,6572741609,-,aecstmd@yahoo.co.in,-,1948,S.k. Sarangi,Secondary School,Airfce Palam,-,East Singhbhum
Atomic Energy Central School-2,3430261,"Po Jaduguda Mines District East Singhbhum, Mosabani, Jharkhand",832102,657,06572730951,01824-221624,-,aecsjad2@yahoo.co.in,www.aecsjad2.ac.in,1973,Mr. R Muthukumarasamy,Secondary School,"Atomic Energy Education Society, Mumbai",-,East Singhbhum
Atomic Energy Central School-2,3480010,"Po Jaduguda Mines District East Singhbhum, Mosabani, Jharkhand",832102,657,2730951,9818430125,-,cstb@sanchernet.in,-,1987,Mr Babu Ram,Secondary School,Directate Of Education,-,East Singhbhum
B R International School,3430677,"Karma, Kodermaa",825409,-,9113345573,-,-,rksjmt2021@gmail.com,http://www.brisjhumritelaiya.in,-,Rakhi Kumari Sharma,Senior Secondary,B R Educational Trust,-,Koderma
B S S Pranav Children World,3430046,Rivers Meet Road P O Sonary West Jamshedpur Jharkhand,831011,657,2301760,0657-2281801,2301760,sumitadey24@yahoo.com,-,1978,Mrs. Kakali Guja,Senior Secondary,Bharat Sevashram Sangh,-,East Singhbhum
