A M C School,830145,18th Km National Park Road Bangalore Karnataka,560083,80,"27828657, 26638994",28562544,-,sunitajhamb1@gmail.com,-,2004,Sunita Jhamb,Secondary School,Paramhansa Foundation,-,Bengaluru
515 Army Base Wkshop High School,880016,"515 Army Base Wkshop High School, Cambridge Road Cross, Halasuru",560008,-,08025307559,-,8025307559,515abwhighschool@gmail.com,http://www.515armyschool.g,1994,T. Arasan,Secondary School,Awes,-,Bengaluru
A.V. Shetty Memorial Primary School,830315,"Ardi Albady, Kundapura Taluk, Udupi District Karnataka",576212,8284,"08259-285269, 08259-285369",9.78E+19,-,avsmardi@gmail.com,-,2003,Mrs. Yashodha Rao,Secondary School,A.v. Shetty Memorial Education Trust,-,Udupi
Adarsha Central School Byadgi,830725,"Rattihalli Road, Vidya Nagara, Byadgi",581106,8375,228088,-,-,pramod.malekar@gmail.com,-,2014,Pramod  S  Malekar,Secondary School,Adarsha Education Society,-,Haveri
A.V.S. Global School,831153,"Ghante Kanive, Nh-206, Mc Halli(p), Tarikere",577228,-,9663435276,-,-,avsglobalschool201@gmail.com,www.avsglobalschool.org,2020,Dr. Rocky Mathayi Antony,Secondary School,Avs Education Trust,-,Chikkamagaluru
Achievers Academy,830619,"No:49,srirampura Village,bommasandra-jigani Link Road,anekal Taluk,bangalore 562105.",562105,-,08027839266,-,8027839266,ashwini1916@yahoo.com,http://achievers-academy.in,2011,Misskavitha.s.hiremath,Secondary School,Krishnaraju Educational Trust,-,Bengaluru
Act-Nutan Vidyalaya International School,831061,"S.no 7/1, Nv Ground, Brahmapur, Gulbarga",585103,-,08472-223248,-,-,principal_actis@nutanvidyalaya.org,http://www.nutanvidyalaya.org,2018,Mr. Naveen Kumar S,Secondary School,Nutan Vidyalaya Society,-,Gulbarga
Aecs Magnolia Maaruti Public School,830230,"909/36, Arekere, Bannerghatta Road,",560076,80,26485622,240486,8026484411,magnoliamaaruti@gmail.com,http://www.yahoo.com,2004,Seema Goel,Senior Secondary,Amrith Educational And Cultural Society,-,Bengaluru
Air Fce School,880006,Jalahalli East Bangale Karnataka,560013,80,8277755008,-,-,afsjal@rediffmail.com,afsjal.g,1953,Mrs. Vasugi Gopal,Senior Secondary,Iaf Educationa And Cultural Society,-,Bengaluru
Agragami Vidya Kendra,830199,"C/a Site No.15/1a A Sector 13th Main Road, 80 Feet Road, Yelahanka New Town, Distt Bangalore, Karnataka",560064,80,41686714,241465,8023622346,neenuthanki@yahoo.in,http://www.avsmati.org,1999,Neenu S Thanki,Senior Secondary,Jc Kala Educational And Cultural Trust,-,Bengaluru
Air Fce School,880005,Post J C Nagar Hebbal  Bangale Karnataka,560006,80,23411061,9008511773,-,afshebbal@gmail.com,www.afshebbal.co.in,-,Mrs Renu Singh,Senior Secondary,-,-,Bengaluru
Air Fce School,880008,Air Fce Station Bidar Karnataka,585401,8482,26281,28187,06433-223037,sddavps_jamtara@rediffmail.com,-,1975,Mrs E Richard,Secondary School,Air Fce Management,-,Bidar
Air Fce School,880010,A.f.s  Yelahanka Bangale Karnataka,560063,80,28478067,9343818181,28478067,afschoolyel_06386@gmail.com,airfceschoolyel.g,1975,Mrs. Madhura M Phatak,Secondary School,Air Fce Management,-,Bengaluru
Air Fce School,880009,Murugeshpalayam Camp Vimanpura Post Bangale Karnataka,560017,80,5272332,9986653140,06433-223037,afsaste@yahoo.co.in,-,1984,Mrs. Chumki Nath,Senior Secondary,Air Fce Management,-,Bengaluru
Air Force School,830042,A.f.s  Yelahanka Bangalore Karnataka,560063,-,08029725481,-,-,afschoolyel06386@gmail.com,www.airforceschoolyel.net,1971,Mrs. Sv Vijayalakshmi,Senior Secondary,Iafe&cs,-,Bengaluru
Airaa Academy,831113,"Airaa Academybanshankari 6th Stage, Hemmigepura Main Road, Kengeri Hobli, Vidyapeeta Post,",560060,-,6362399616,-,-,airaacbse@gmail.com,www.airaa.com,2018,Mrs. Geetha. K.n,Secondary School,Airaa Academy Educational Trust,-,Bengaluru
Aishwarya International Public School,830521,"B.m.road, Near T.b.circle, H.k.v.nagar, Maddur, Mandya-dist.",571428,8232,213499,2415899,-,vindbops@gmail.com,-,2010,Machimanda S Vindya,Secondary School,Aishwarya Educational And Charitable Trust,-,Mandya
