A E S Public School,930948,"Bsnl Road,erumapetty,thrissur District,kerala State",680584,4885,265617,9928355026,-,vssumasathyan@gmail.com,http://www.aespublicschool.org,2003,Suma Vs,Secondary School,Abswar Educational Society,-,Thrissur
A J Central Senior Secondary School,930273,Kazhakootam Thiruvanthapuram Kerala,695582,471,2418441,337880,2437812,principalleo@gmail.com,http://www.kunilschool.co,1997,Jayanthi S,Senior Secondary,Abdul Razzaa Mem Trust,-,Thiruvananthapuram
A J I English School,930305,"Parakatta P O Uppala Kasaragod Distt,  Kerala",671322,4998,243434,0824-2213144,2437812,principal@ajisses.in,www.ajisses.in,1994,Veena Kumari,Senior Secondary,A J I Sangham Trust,-,Kasaragod
A.E.T. English Medium School,930867,Amayur P.o. Pattambi Palakkad Kerala,679310,466,2311662,2569300,-,sajithaet@gmail.com,-,1998,Sajith Kumar  A,Secondary School,Az'har Education Trust,-,Palakkad
A.G. Public School,930998,"Swamimukku,     Pulipparra P.o. Kadakkal 691536",691536,474,04742425440,-,-,agpublicschool@gmail.com,www.agpublicschool.com,2003,Mrs. Marykutty Jose,Secondary School,General Council Of The Assemblies Of God Of India,-,Kollam
Abdul Salam Rafi Residential School,930171,"Netayam, Kanchani, Thiruvananthapuram Kerala",695013,471,2362890,2803171,-,arrpublicprincipal@yahoo.co.in,-,1996,Satheesh Babu S,Senior Secondary,Muslim Association Edn Trust,-,Thiruvananthapuram
Adam Public School,930404,Angamaly Alwaye Ernakulam Kerala,683572,484,2454522,2453522,-,seenajkalarikkal@gmail.com,-,1995,Seena J Kalarikkal,Secondary School,St Gregorious Edu & Cul Chari Trust,-,Ernakulam
Adarsha Vidya Bhavan,930117,"North Paravur Ernakulam Distt, Kerala",683513,484,2445033,-,-,preethicr242@gmail.com,-,1993,Preethi C R,Senior Secondary,Adarsh Vidya Bhavan Trust,-,Ernakulam
Ace Public School,930838,Cherani P.omanjeri,676123,483,2100805,531690,-,bindusunil2013@gmail.com,-,2006,Bindu P,Senior Secondary,Ace Charitable Trust,-,Malappuram
A P R M Central School,930089,Kizhukkumbagam Chithara Po Kollam Dist Kerala,691559,474,"2429482, 429382",4742429282,4742429382,aprmcentralschoolchithara@gmail.com,http://www.aprmedu.org,1984,Surumy Y,Senior Secondary,A.p.r.m. Ednl. Cultural Trust,-,Kollam
Adi Sankara Vidya Peedam,930964,Nallepilly (po) Palakkad- 678553,678553,4923,283583,-,04923 - 283383,principalasvp@gmail.com,http://www.narayanalayam.org,2004,Madhubala,Secondary School,Sanmaya Charitable Trust,-,Palakkad
Adwaita Mission Public School,931279,Puthukode(p O)ramanattukara(via)malappuram,673633,483,04832833800,-,-,adwaithaputhukode@gmail.com,www.adwaitaputhukode.in,2005,Mrs. Kavitha M O,Secondary School,Adwaita Mission Educational And Charitable Trust,-,Malappuram
Adiyodi Vakeel Smaraka Tagore Vidyapeetam,931208,"Nangarathe Peetika,temple Gate (p O)thalassery Kannur",670102,490,2359111,-,-,valsalanpvtml@gmail.com,-,1992,Valsalan P V,Secondary School,"Adiyodi Vakeel Smaraka Educational Trust,thalassery",-,Kannur
Aes Central School,930475,Alloor Po Kanmanam Thekkumuri Malappuram Kerala,676551,494,2579936,-,-,royalelamala@gmail.om,-,1989,Ak Roy,Senior Secondary,Alloor Educational Society,-,Malappuram
Ahalia Public School,930850,"Kozhipara P.o,p.b No- 123,palakkad.",678557,91,9496004570,-,0492-3235900,principal.aps@ahalia.edu.in,http://www.afeh.org,2007,Jaya Narayanan,Senior Secondary,Ahalia International Foundation,-,Palakkad
Ais English Medium School,930515,Arakkuparamba Po Perintalmanna Malappuram Distt Kerala,679322,4933,251500,252135,-,robinsonshibi@gmail.com,-,1996,Robinson  C  J,Secondary School,Anvarul Islam Sangham,-,Malappuram
