Govt High School,3220008,"Katmat Island, Ut Of Lakshadweep",682556,4897,274579,274322,-,-,-,2009,K.Amanulla,Secondary School,Vidyalaya Management Committee,-,Lakshadweep
Govt Sec School,3220010,Chetlat Ut Of Lakshadweep,682558,4899,276256,276257,-,princi.chetlat@gmail.com,-,2009,P.K. Syed Ashraj,Secondary School,Vidyalaya Management Committee,-,Lakshadweep
Govt Sec. School,3220003,"P.o. Agatli, Iceland Ut Of Lakshadweep",68553,489,4242253,9894242256,-,cmiagt2009@gmail.com,-,2009,Mohammed Iqubal C,Secondary School,Vidyalaya Management Committee,-,Lakshadweep
Govt Sec. School,3220004,Minicoy Post Minicoy Ut Lakshdweep,682559,489,2222251,-,-,principalgsssm@gmail.com,-,2009,Gk Mohammed,Secondary School,Vidyalaya Management Committee,-,Lakshadweep
Govt Sec. School,3220005,"Amini Island, Po Amini Uto Lakshadweep",682552,4891,273255,273256,-,princlamini@gmail.com,-,2009,Mo. Iqubal.C,Secondary School,Vidyalaya Management Committee,-,Lakshadweep
Govt Senior Secondary School,3220002,Kavaratti Lakshadweep(u.t) - 682 555 Via Hpo Kochi Kerala,682555,489,6262874,62664,-,principalgssskvt@gmail.com,-,1974,Cp Subaidabi,Senior Secondary,Union Territory Of Kakshadweep,-,Lakshadweep
Govt Sr Sec School,3220001,Minicoy Lakshadweep - 682 559,682559,4892,22251,22261,2602632750,bapssilvassa@hotmail.com,-,2004,V Narayanan Nambooduri,Senior Secondary,-,-,Lakshadweep
Govt. High School,3220006,"Androth Island, Ut Of Lakshadweep",682551,489,3232323,232359,-,georgeainiadan@gmail.com,-,2009,A O George,Secondary School,Vidyalaya Management Committee,-,Lakshadweep
Govt. Sec School,3220009,Kiltan Island Ut Of Lakshadweep,682558,4898,272239,272590,-,gsssklt@gmail.com,-,2009,P.S. Attakoya,Secondary School,Vidyalaya Management Committee,-,Lakshadweep
Jawahar Navodaya Vidyalaya,3240001,Minicoy P.o Lakshadweep 682559,682559,489,2222211,23107,-,jnvlakshadweep15@gmail.com,-,1987,C V Prameela,Senior Secondary,Navodaya Vidyalaya Samiti,-,Lakshadweep
Govt. Sec. School,3220007,Kalpeni Island Ut Of Lakshadweep,68553,489,5252225,252227,-,chandrasekharpranavam@gmail.com,-,2009,Chandrasekharan P P,Secondary School,Vidyalaya Management Committee,-,Lakshadweep
Kendriya Vidyalaya,3200001,Kavaratti U.t. Of Lakshadweep  Lakshadweep,682555,489,6263580,-,-,kvkavaratti@gmail.com,-,1987,Om Prakash,Senior Secondary,Kendriya Vidyalaya Sangathan,-,Lakshadweep
