7i World School Shivpuri Link Road Gwalior,1031001,Shivpuri Link Road,474009,-,07514030777,-,-,admin@7iworldschool.com,www.7iworldschool.com,2017,Mrs. Alka Bhargava,Senior Secondary,Mahatauliya Educational Society,-,Gwalior
Aadharshila Academy,1030304,Sanwar Road Ujjain Madhya Pradesh,456001,734,6555565,27674227,-,aadharshilaacademy@yahoo.com,-,2004,Abhilasha Chaturvedi,Senior Secondary,Nav Aadarshila Education Society,-,Ujjain
Aaditya Vidya Vihar Higher Secondary School,1030604,"Khandwa Road, Khargone",451001,7282,234789,-,-,ashokdixit@live.com,-,2003,Pramila Patel,Senior Secondary,Aaditya Educational And Cultural Society,-,Khargone
Aaradhya International School,1030823,Khasara No 1888/3 Patwari Halka No.44 Village Munjakhedi,456664,-,07342701122,-,7342701122,aaradhyainternational2014@gmail.com,http://www.aaradhyainternationalschool.com,2013,Kiran Peter,Senior Secondary,Aardhya Shikshan Evam Shodh Samiti Munjakhedi,-,Ujjain
Aakar Public School,1030876,"Piproli, Shivpuri Link Road",475001,-,07516055557,-,-,aakarpublicschool@gmail.com,http://www.apsgwl.in,2013,Mrs. Jaya Nag,Senior Secondary,Society For Quality Reliability And Communication Technology,-,Gwalior
Abhyaas International School,1031209,"Jassakhedi Road,barnagar",456771,-,7509264932,-,-,abhyaasinternational@gmail.com,https://www.abhyaasinternational.com/,2017,Mr. Arun Jain,Secondary School,"Brahmi Shikshan Sansthan, Barnagar",-,Ujjain
Abhyuday Vidyasthali,1031047,Gawadi Fatakhandwa Roadvillage Magriya,451001,-,07282235900,-,-,abhyudayvidyasthali@gmail.com,abhyudayvidyasthali.edu.in,2017,Mr. G. Phaneendra Balaji,Senior Secondary,"Shri Navgrah Vidyasthali Siksha Samiti, Khargone",-,Khargone
Academic Heights Public School,1030939,476001,476001,7532,9644405864,-,-,ahpskarua@gmail.com,http://www.morena.academicheights.in/,2015,Mr. B Balachandrudu,Senior Secondary,Shipra Manav Kalyan Evam Vikas Shiksha Samiti,-,Morena
Academic Heights Public School,1031242,"Thoobon Ji Piprai Road,tiraha,ashoknagar",473331,-,07543220866,-,-,ahps5170@academicheights.in,www.academicheights.in,2017,Mrs. Pallavi Marar,Secondary School,Gyan Jyoti Welfare Society Ashoknagar Samiti,-,Ashoknagar
Academic Heights Public School,1030967,"Chandi Dai Road, Vill.-karhi Pawai, Panchayat-karhi Kothar",485001,7672,07672-293525,-,-,principal.ahpssatna@gmail.com,http://www.satna.academicheights.in,2011,Mrs. T. Shobha Reddy,Senior Secondary,"Shri Rama Krishna Charitable Trust, Satna",-,Satna
"Academic Heights Public School, Katni",1031150,"Near R.s Timber Yard Madhav Nagar Station Road, Amir Ganj",483501,-,07622407206,-,-,mg22303@gmail.com,www.academicheights.in,2016,Mrs. Rajdulari,Secondary School,Youth Plannary Development Education Society Samiti,-,Katni
"Academic Heights Public School, Timarni",1031058,"Academic Heights Public School,village - Nimacha, Timarni (m.p.)",461228,-,9591785974,-,-,academicheightschol@gmail.com,-,2016,Mr. S.majumdar,Senior Secondary,Seth Laxminarayan Ganeshdas Balwate Sewa Sansthan,-,Harda
Acharya Shriram Vidyalaya,1030875,"Ward No-1,pipri ,nowgong",471201,91,9425416142,-,-,asv.nwg@live.com,-,2013,Rizwan Hussain,Senior Secondary,Sanskriti Seva Samiti,-,Chhatarpur
Acharya Vidyasagar Public School,1031012,"G- Pothyai, Gaushala Campus, New Pichhore Road, Khaniyadhana",473990,-,07909472032,-,-,avpskhaniyadhana@gmail.com,www.avpsschool.com,2016,Mr.  Santosh Agarwal,Senior Secondary,"Shri Digamber Jain Shraman Sanskriti Sansthan Sanganer, Jaipur (raj.)",-,Shivpuri
Adarsh Academy,1030311,"A B Road Village Guljhari Tehsil Dhamnod, Dist. Dhar, Madhya Pradesh-454552",454552,7291,224510,-,-,sandhya01061965@gmail.com,www.adarshdhamnod.com,2004,Sandhya Saxena,Senior Secondary,Janki Devi Patidar Shikshan Samiti,-,Dhar
Aditiya Birla Senior Secondary School,1030129,"Near Petrol Pump Birlagram Nagda, Dist Ujjain, Madhya Pradesh",456331,7366,255173,7366255214,244114,yogesh.paliwal@adityabirla.com,-,1986,Yogesh Paliwal,Senior Secondary,Grasim Jan Kalyan Trust,-,Ujjain
Aditya Birla Public School,1030524,"Aditya Vihar, P.o. Bharatpur, Distt.sidhi(mp)",486776,7802,276641,21753,07802-276715,ap.tyagi@jalindia.co.in,-,2009,A P Tyagi,Senior Secondary,Trust-jaiprakash Sewa Sansthan,-,Sidhi
Aditya Convent School,1030330,"231, Bajpai Colony, Gopal Vihar, Distt Jabalpur, Madhya Pradesh",482002,761,2342323,-,-,divyamit.bajpai@gmail.com,-,2000,Divya Bajpai,Senior Secondary,Bharat Sevasram Sangha,-,Jabalpur
Aditya Public School,1030489,Rewas Dewra Road Mansaur (m.p),458001,7422,244884,-,-,adityapublicschoolmandsaur1@gmail.com,-,2007,Kusum Saklecha,Senior Secondary,Merdian Education Samiti,-,Mandsaur
Advanced Academy,1030183,Iskcon Vihar Nipania Road Indore Madhya Pradesh,452018,731,"7415666676, 2309168",-,-,advancedindore@gmail.com,http://advancedacademyindore.com,-,Mrs. Renu Muley,Senior Secondary,-,-,Indore
Aditya World School,1031234,Nainagir Gwalior Bypass,474011,-,07514079799,-,-,principal@adityaworldschool.com,www.adityaworldschool.com,2010,Mrs. Mitali Roy,Secondary School,Aditya Education Society,-,Gwalior
Advanced Kids Academy,1030660,Mainakhedi Zirapur Tehsil Zirapur Machalpur Road,465691,7370,7440663659,-,07370-275113,advancedkidsacademy@gmail.com,http://www.advancedkidsacademy.edu.in/,-,Mr. Jijeesh Joseph,Senior Secondary,-,-,Rajgarh
Agarwal Public School,1030084,Bicholi Mardana Road Indore Madhya Pradesh,452020,731,"4212666, 592779",930333329,592449,info@apsindore.com,-,1995,Vandana Ojha,Senior Secondary,Agarwal Charitable Trust,-,Indore
Agarwal International Public School,1030931,"Plot No. 92, Kasba Ahmedpur, Tehsil Vidisha, District Vidisha 464001(m.p.)",464001,7592,07592243700,-,-,agarwalips@rediffmail.com,http://www.agarwalinternationalvidisha.co.in,2014,Mr. Sandeep Limaye,Senior Secondary,Maa Jeen Mata Education And Welfare Society,-,Vidisha
Agrawal Academy,1030407,Vidisha Sanchi Road,464661,496,8349545340,2593126,07482(266929),ajayshanker.sharma@yahoo.com,http://www.agarwalacademy.com,2008,Ajay Shanker Sharma,Senior Secondary,"Agarwal Education And Development Society, Vidisha",-,Panna
Agrawal Junior College,1030278,"Ujjain Bye Pass Chouraha, Distt Dewas, Madhya Pradesh",453331,9712,01745274272,4482766,-,pratap_public_school@hotmail.com,http://www.pratappublicschool.com,2004,Mrs.sunita Ahlawat,Senior Secondary,R. S. Ch. Pratap Singh Charitable Trust Society,-,Dewas
Agrawal Public School,1031174,"Niwali Road, Village Palsood, Tehsil - Rajpur, Dist. Badwani Pin Code 451447 (m.p.)",451447,-,9993539859,-,-,aps1662018@gmail.com,www.apspalsood.com,2018,Mr. Paritosh Roy,Secondary School,Maa Menimata Shikshan Samiti Palsud,-,Badwani
Aim Win Academy,1031055,"Sec-e Sudama Nagar, Hukmakhedi, Near Naani Maa Dharamshala, Cat Road, Indore",452013,-,07314932740,-,-,aimwinacademy.indore@gmail.com,http://www.aimwinacademy.com,2001,Miss Archana Tiwari,Senior Secondary,Lakshyajeet Educational Academy,-,Indore
Ahlcon Heights International School,1030988,"Patkui-bararu Road,bararu,sagar(m.p.)",470001,7582,07582289301,-,-,ahlconsagar@gmail.com,http://www.ahlconsagar.com,2015,Mrs. Tripti,Senior Secondary,Smt. Kamlesh Rathore Shiksha Avm Samaj Utthaan Sewa Samiti,-,Sagar
Ajay Satya Prakash Public School,1030757,"Mouza Kewlari R.i. Circle Maharajpur Tehsil Panagar ,  District Jabalpur",483220,761,2350211,-,-,davidsmita@gmail.com,-,2011,Smita N David,Senior Secondary,Ajay Satya Prakash Educational Society,-,Jabalpur
Akshat International School,1030577,"Lalpur, Nagziri, Dewas Road, Ujjain",456010,734,2525909,242396,-,akshatinternationalujjain@gmail.com,-,2011,Pooja Sharma,Senior Secondary,Akshat Rishab Shikshan Avem Shod Samiti,-,Ujjain
Ajmera Mukesh Nemichand Bhai English Medium School,1030082,Scheme No.54 A B Road Indore Madhya Pradesh,452010,731,2557275,490899,552325,dr.shyamali.chatterjee@gmail.com,-,1992,Shyamali,Senior Secondary,Shri Gujarati Samaj Indore,-,Indore
Akshay Academy,1030964,"36, Kumhar Khadi, Kila Maidan Road",452015,-,07312424222,-,-,akshayacademyind@rediffmail.com,http://www.akshayacademyindore.com,2008,Mr. G.k. Prajapati,Senior Secondary,Akshay Academy,-,Indore
Allegiance Academy,1030548,"7 Surdas Complex, Opp. Gayatri Colony, Kukshi Distt Dhar",454331,7297,244601,-,-,katareyogendra02@gmail.com,-,2008,Yogendra Katare,Senior Secondary,Sarv Sukhay Sansthan Samiti,-,Dhar
All Saints School,1030192,Gandhi Nagar Bhopal Madhya Pradesh,462036,755,07552528644,-,290789,kzbia@yahoo.co.in,http://www.allsaintscbse.in,-,Mr. P N Dubey,Senior Secondary,-,-,Bhopal
Alok International School,1031045,"Behind Air Strip, Dewas Road, Ujjain",456664,-,07344050823,-,-,aisujjain01@gmail.com,http://www.aisujjain.in,2017,Dr. Preeti Gupta,Senior Secondary,Prasar Shikshan Evam Seva Sansthan,-,Ujjain
Alpine Academy,1030828,"Sch. No.97, Part-4, Slice-3, Igyan Nagar, Annapurna Road, Indore",452012,731,4074211,-,-,basantibisht05@gamil.com,-,2014,Basanti Devi Bisht,Senior Secondary,Alpine Public School Shiksha Samiti,-,Indore
Alpha International School,1030960,"Garoth Road, Near Choudhary Pump, Shamgarh",458883,91,7773835000,-,-,alphainternationalshamgarh@gmail.com,http://www.alphainternationalshamgarh.com,2016,Mr. Shyamdas Bandyopadhyay,Senior Secondary,"Shrimati Gayatridevi Balaram Chaudhary Social Welfare Society, Shamgarh",-,Mandsaur
Amar Public School,1030087,"Thatipur, Gwalior, Madhya Pradesh -474 011.",474011,751,4041208,2.34E+16,2345725,50042@cbseshiksha.in,http:/www.pdpschool.com,1981,Rakendra Singh Chauhan,Senior Secondary,Shri Chauhan Sainik Shiksha Prasar,-,Gwalior
Ami Shishu Mandir,1031189,Jal Viharphool Baghmotimahal Road,474001,-,07512456320,-,2376440,amishishumandir@gmail.com,www.amishishumandir.com,1945,Mrs. Karuna Khare,Senior Secondary,Shishu Mandir Gwalior,-,Gwalior
Amity International School,1031073,"Maharajpura, Airport Road Gwalior",474020,-,07512496702,-,-,principal@aisgwa.amity.edu,https://www.amity.edu/ais/gwalior/,2016,Mrs. Manju Singh,Senior Secondary,Ritnand Baldev Education Foundation,-,Gwalior
Ammar Baugh-E-Nounihal Higher Secondary School,1030173,"50 Chattri Baugh, Distt Indore Madhya Pradesh",452002,731,"2343602, 2479291",2789843,0341-2514399,husain2159@gmail.com,-,1973,Husain Saher,Senior Secondary,Wajihiyah Schools Soceity,-,Indore
Anand Vidya Bharti,1030039,Ramlala Marg Biaora (rajgarh) Madhya Pradesh,465674,20,32250,32010,2532511193,newmake@vsnl.com,http://www.ksisnashik.com,1990,M A Khan,Secondary School,Kendriya Vidyalaya Sangathan,-,Rajgarh
