A.B.M. English High School,1131031,Hingoli,431513,-,02456223333,-,-,abmenghsh@gmail.com,www.abmenglishschool.com,2013,Mr. Joseph Kj,Secondary School,Kai.narayanrao Raote Shikshan Prasarak Mandal,-,Hingoli
A.R.C. Public School,1130998,"A.r.c. Public School, Nara Road, Karanja Ghadage, Dist-wardha",442203,-,07156245111,-,7156245111,arcschool.karanja@gmail.com,http://www.arcp.co.in,2018,Mr. Sharad S Ranotkar,Secondary School,"Rashtriya Yuva Uday Sanstha,nagpur",-,Wardha
A.S.Ms Empros International School,1130983,"Tal. Maval, Dist. Pune",410506,-,9011004835,-,-,principal@asmedu.org,www.asmgroup.edu.in,2016,Mr. Shaikh Ishtiyaque Ahmed,Secondary School,Audyogik Shikshan Mandal,-,Pune
"A.S.Ms Empros International School, Chinchwad",1130984,Chinchwad Pune,411019,-,9011004836,-,-,sangharsha_mestry@rediffmail.com,www.asmedu.org,2016,Dr. Sangharsha Atul Mestry,Secondary School,Audyogik Shikshan Mandal Chinchwad Pune,-,Pune
"Aarya Public School, Madha",1130811,"Near Sunanda Spinning Mill, Solapur Road, Madha",413209,-,7038052555,-,2183234555,parveenmeher@gmail.com,-,2016,Mr. Nitin Waghmode,Secondary School,"Vitthal Pratishthan, Nimgaon (te.), Madha, Solapur",-,Solapur
Aarya Public School,1130648,"At Gangamainagar, Post Pimpalner, Taluka Madha",413210,-,9765412034,8888233755,-,aryaps4455@gmail.com,-,2004,Ravindra R Lokhande,Secondary School,Shri Vitthal Shikshan Prasarak Mandal Nimgaon (te),-,Solapur
Aaryans School,1130218,"S.no.12/15,bhilarewadi, Taluka-haveli, Dist. Pune",411046,20,24699109,1242379991,-,paaryans@gmail.com,http://www.aaryanschool.com,2005,Sonal Band,Secondary School,Ellora Medicals And Educational Foundation,-,Pune
"Abhinav Education Societys Vasundhara Academy, Akole",1130637,"Dhamangaon Awari Road, Akole",422601,2424,02424221283,-,2424223458,vasundhara.academy2016@gmail.com,http://www.vasundharaacademy.org,2014,Mr. Laxmikant Jgannath Aher,Senior Secondary,Abhinav Shikshan Sanstha,-,Ahmednagar
"Ab International Primary, Secondary,And Higher Secondary English School",1130912,"Gut No. 107, Sawanhi-chikaltana Bypass, (near Pisadevi), Pokhari, Aurangabad",431008,-,02402482955,-,-,abschool.pokhari@gmail.com,-,2018,Mrs. Mini Antony Marrotickal,Senior Secondary,Aabhal Bahuuddeshiya Sanstha,-,Aurangabad
Abhishek International School,1131099,"Plot No.2 Sector No.6, Moshi Pradhikaran, Moshi Tal.haveli Dist.pune",412105,-,8446713030,-,2065113030,abhishekinternational.cbse@gmail.com,http://abhishekinternational.org,2016,Mrs. Vidhyut Parmeshwar Sahare,Secondary School,Abhishek Vidyalayam,-,Pune
