Alpha Bci Memorial Academy,1230042,Thangmeiband Hijam Dewan Leikai,795004,385,2415391,2436125,-,romilashija2016@gmail.com,http://www.albim.academy.com,1989,Romila Shija,Senior Secondary,Alpha Bci M. Academy,-,Imphal
Areca School,1230039,"Near 2nd M.r., North Aoc",795107,385,2422857,-,0385-2422857,Hemmeiru21@gmail.com,-,2006,Khanghemmeiru Gangmei,Secondary School,Areca Foundation,-,Imphal
Assam Riffles Public School,1280003,Mantripukhri Imphal Manipur,795001,5442,282156,9410202987,-,ananthijebasingh@vsnl.net,-,1995,Dr. Alka Jain,Senior Secondary,Assam Riffles School & Wel Societ,-,Imphal
Assam Rifle School,1280005,"22, Assam Rifles, C/o 99 Apo, Senapati,  Maram, Manipur-795105",795105,3871,265216,1352102590,-,duketsering@yahoo.co.uk,http://www.tcvselakui.org,2004,-,Secondary School,Tibetan Children's Village,-,Senapati
Assam Rifles Jr High School,1280008,"P.s.- Kakching, Distt. Thoubal, Manipur",795103,3848,261018,-,-,armskprincipal2015@gmail.com,www.arpskakching.co.in,2006,Mr. Arun Kumar Gupta,Secondary School,Arwes,-,Thoubal
Assam Rifles High School,1280002,Somsai Ukhrul Distt Manipur,795001,3870,222388,-,-,-,-,1995,Mrs P Kumari,Secondary School,Assam Rifles Educational Society,-,Ukhrul
Assam Rifles Public School,1280007,"Keithelmanbi, Bpo New Keithal, Mambi, Po Langjing, Imphal, West Manipur",795113,7109,282592,4312434552,-,savcbse@gmail.com,-,-,O P Pathak,Senior Secondary,Assam Rifles,-,Imphal
Assam Rifles Public School (High School) Pallel,1280004,"Care Of Hq 26 Sec. Assam Rifles, Pallei Distt. Chandel, Manipur- 795 135",795135,3848,265656,9612350637,-,arjhspallel@gmail.com,-,1995,S Manihar Meitei,Secondary School,Directate General Of Assam Rifles,-,Chandel
Asuf?? Christian School,1230100,Punanamei Villagepo Mao Gate,795150,-,03871231262,-,-,acsmao2019@gmail.com,acimaoedu.in,2019,Miss Komuni Khekho,Senior Secondary,Asuf?? Christian Institute,-,Senapati
Bhaktivedants Insitute Mission Higher Secondary School,1230016,Airport Road Sangaiprou Imphal Manipur,795140,385,2455244,0751-4033202,08274-254879,ratnawangkheimayum@gmail.com,http://www.mtzioncbsekarong.in,1986,R K Ratna Devi,Senior Secondary,Bhaktivedanta Institute Mission Soc,-,Imphal
