Army Public School,2380001,Vairengte C/o Cijw School C/o 99 Apo Aizwal Mizam,825325,1482,KOCP 20,-,-,stmary1983@gmail.com,-,1984,Mrs R K Khara,Secondary School,Army Welfare Edu Society,-,Aizawl
Eklavya Model Residential School,2320102,"Ngopa, Saitual District",796290,-,9862268223,-,-,ngopaemrs@gmail.com,https://emrsngopa.com/,-,Zodinsanga,Secondary School,Mizoram Emrs Society,-,Champhai
Eklavya Model Residential School,2320100,"Chawnhu, Lawngtlai",796891,-,8414831756,-,-,emrslawngtlai@gmail.com,https://tribal.nic.in/EMRS.aspx,-,Bellory Malsawmthangi,Secondary School,Mizoram Emrs Society,-,Lunglei
Eklavya Model Residential School,2320003,"Lunglei, Pukpui, Kawmzawl, Lunglei Dist. Mizoram- 796 701",843334,-,-,-,-,-,-,1994,-,Secondary School,Kendriya Vidyalaya Sangathan,-,Lunglei
Eklavya Model Residential School,2320002,"Serchhip, Kawlri, Serchhip, District- Mizam-796 181",-,-,-,-,-,-,-,-,-,Secondary School,-,-,Serchhip
Eklavya Model Residential School-Tipa,2320101,"Along The Brtf Road To Zyhno, Tipa",796911,-,8414065618,-,-,emrstuipang1@gmail.com,https://www.emrstipa.org/,-,Lizzy Lalrintluangi,Secondary School,Mizoram State Emrs Society,-,Saiha
Jawahar Navodaya Vidyalaya,2340006,Thingdawl Dist. Kalasib Mizoram,796075,3837,268754,-,-,dharmendrak.bhu@gmail.com,-,1961,Dharmendra Kumar,Senior Secondary,Navodaya Vidyalaya Samiti,-,Kolasib
"Eklavya Model Residential School,Chawngte",2320103,"Kamalanagar-vi, Chawngte",796730,-,8974800188,-,-,eklavyachawngte@gmail.com,https://emrschawngte.com/,-,F Lalhrezuala,Secondary School,Directorate Of Social Welfare And Tribal Affairs,-,Lawngtlai
Jawahar Navodaya Vidyalaya,2340009,"Pukpui, Distt. Lunglei, Mizoram",796691,372,2569051,9436771194,-,jcsanga0404@gmail.com,-,1985,J C Lalsangzuala,Secondary School,Nvs,-,Lunglei
Jawahar Navodaya Vidyalaya,2340008,"Sihthlangpui, Distt. Lawngtlai, Mizoram",796891,383,5292673,-,-,nareshkrish08@gmail.com,-,1985,Naresh Kumar,Senior Secondary,Navodaya Vidyalaya Samiti,-,Lunglei
Jawahar Navodaya Vidyalaya,2340004,"P.o.& Distt. Saiha, Mizoram",796901,3835,222795,-,-,-,-,1992,R N Prasad,Secondary School,Navodaya Vidyalaya Samiti,-,Saiha
Jawahar Navodaya Vidyalaya,2340010,"Thingsulthliah, District, Aizawl,p.o. Thingsulthliah, Mizoram-796161",-,-,-,-,-,-,-,-,-,Secondary School,-,-,Aizawl
Jawahar Navodaya Vidyalaya,2340005,P.o Khawzawal Distt Champhai Mizoram,796310,3831,261449,264450,-,ekabaleeswaran@gmail.com,-,1992,E Kabaleeswaran,Secondary School,Navodaya Vidyalaya Samiti,-,Champhai
Jawahar Navodaya Vidyalaya,2340007,"P.o. & District Mamit, Mizoram",796441,389,2565714,53045,-,hirab81@gmail.com,-,1987,Heera Bahadur,Secondary School,Navodaya Vidyalaya Samiti,-,Mamit
Jawahar Navodaya Vidyalaya,2340002,Thenzawl Dt- Aizawl Mizoram,796181,3838,29256,-,-,bairwaramkesh@gmail.com,-,1987,Ramkesh Bairwa,Senior Secondary,Navodaya Vidyalaya Samiti,-,Aizawl
Kendriya Vidyalaya,2300004,"Mizam University Campus, Tanhril, Aizawl, Mizam",796004,389,2331559,8257036642,-,smartsir@rediffmail.com,-,1977,Mohammad Rashid,Senior Secondary,Kendriya Vidyalaya Sangathan,-,Aizawl
Kendriya Vidyalaya,2300001,Project Pushpak P.0 Zemabawk Aizawl Mizoram,796017,389,"2351128, K EX213",0389-2351128,389235103,mukesh_naharia@yahoo.com,http://www.Kvaizawl.org,1983,Mukesh Kumar,Senior Secondary,Kendriya Vidyalaya Sangathan,-,Aizawl
Kendriya Vidyalaya,2300002,"Lunglei Ramthar Veng, P O & Distt Lunglei Mizoram",796701,372,2323590,-,-,akt.2410@gmail.com,-,1986,Arun Kumar Tumsare,Secondary School,Kendriya Vidyalaya Sangathan,-,Lunglei
Kendriya Vidyalaya,2300003,"Chanem Building, Champhai, Mizoram",796321,3831,234310,8575319335,-,satyavrat.du@gmail.com,-,2008,Satyavrat Kumar,Secondary School,Kendriya Vidyalaya Sangathan,-,Champhai
Mizoram Institute Of Comprehensive,2320001,"Education (mice) Post Box 147, Rm Complex Tuikual North, Aizawl, Mizoram",796001,389,2325244,3892320713,2325244,frankcolney@gmail.com,http://www.miceschool.in,1988,Lungngailova Colney,Senior Secondary,Education Deptt. Govt. Of Mizoram,-,Aizawl
Sainik School Chhingchhip,2380002,Sainik School Chhingchhip,796161,-,9382264109,-,-,sainikschoolchhingchhip@gmail.com,sschhingchhip.mizoram.gov.in,2017,Mr. Lt.col. Ups Rathore,Senior Secondary,Sainik School Society (mod),-,Serchhip
