Army Public School,1480001,Rangapahar Military Station Dimapur Nagaland,791123,3862,"245231, 245232",25100428,5404140,uchpneps@hotmail.com,-,1977,Mrs Sasmita Sai Pathy,Senior Secondary,Army Welfare Edu Society,-,Dimapur
Assam Rifles High School,1480009,Po Naginima Distt Mon Nagaland,-,3869,272272,-,-,newarhsnaginima@gmail.com,-,-,Anita Negi,Secondary School,Assam Rifles Welfare Edn Society,-,Mon
Assam Rifles Middle School,1430010,Phek Nagaland,211008,532,2697029,9447453034,228422,allsaints_public_school@yahoo.com,-,1994,Sh G C Prakash,Secondary School,Assam Rifles,-,Phek
"Assam Rifles Public School (High),",1480004,"Medziphema, 9 Assam Rifles, C/o 99 Apo Distt. Dimapur, Nagaland-797106",797106,386,2247001,9862256297,0364-2585415,arsmedziphema@gmail.com,-,1972,Umesh Prasad Upadhayay,Secondary School,Assam Rifles,-,Dimapur
Assam Rifles Public School,1480003,"Wokha, Nagaland-797111",797112,712,03642585166,9862256297,0364-2585415,armyschoolhappyschool@gmail.com,-,1972,Sh M N Yeshodharau,Secondary School,Assam Rifles,-,Dimapur
Assam Rifles School,1430005,C/o 99 Apo Kohima Nagaland,797001,370,2299152,9612164253,-,ruchikasharma1@yahoo.co.in,-,1960,Ruchika Sharma,Secondary School,Assam Rifles School,-,Kohima
Assam Rifles School,1480005,"Mokokchung, Nagaland",797106,369,2225162,9.20E+11,-,arhs32510@gmail.com,-,1972,Mr. N D Roy,Secondary School,Assam Rifles School & Welfare Soc,-,Mokokchung
Assam Rifles School,1480008,Tuensang 4 Assam Rifles C/o 99 Apo,798612,-,-,-,-,www.bharatmataschool@gmail.com,-,1970,-,Secondary School,Board Of Governs Sainik Schools,-,Tuensang
Assam Rifles School,1480010,"Jalukie,p.b.no.24, Distt.peren, Nagaland-797110",-,-,03839220046,9436420005,-,principalarms18@gmail.co,-,-,Thangapalam L,Secondary School,Assam Rifles Welfare Society,-,Peren
"Assam Rifles School, Zunheboto",1480006,"32 Assam Rifles, C/o, 99 Apo- 932032, Zunheboto, Nagaland",798620,3867,8794048339,-,-,assamriflesschoolzbto@gmail.com,www.assamriflesschoolzunheboto.com,1982,Mr. Nabendu Deb Roy,Secondary School,Assam Rifles Welfare Education Society,-,Zunheboto
Charis High Academy,1430017,"Ward-3,chumukedima,near Uco Bank",797103,3862,240344,-,-,sarojkumarnayak@yahoo.in,-,2014,Saroj Kumar Nayak,Secondary School,Charis Educational Society,-,Dimapur
Assam Rifles Training Centre High,1480007,School Artc&s  3rd Mile Dimapur Nagaland,795115,3862,243147,9.20E+11,-,artcschool@gmail.com,-,1972,Aokumla Longchar,Secondary School,Assam Rifles School & Welfare Soc,-,Dimapur
Delhi Public School,1430008,2 1/2 Mile Darogapathar Dimapur Nagaland,797115,3862,235930,-,-,ennbeekay@rediffmail.com,-,1991,Bhaskar Kumar Nanda,Senior Secondary,Delhi Public School Soc,-,Dimapur
Dmi St. Joseph Global School,1430018,"414, Virgin Town, Ikishe Model Village,",797112,-,9444390736,-,-,dft.adm2012@gmail.com,www.dmisjgs.org,2015,Mr. T Backiyaraj,Senior Secondary,Dmi Foundation,-,Dimapur
G Rio School,1430016,"Pob 702, High School Area, Kohima",797001,370,2806075,-,-,temw@rediffmail.com,-,2005,Temsu Waten,Senior Secondary,G Rio Foundation,-,Kohima
Hope Academy,1430019,"Seitheke Basa Village, Dimapur",797115,-,03862248036,-,-,hopeacademydimapur@gmail.com,http://www.hopeacademydimapur.com,2007,Mrs. Sashizungla Ao,Senior Secondary,White Hope Education Society,-,Dimapur
Hollotoli School,1430012,"N.h. 39, Padampukhiri, Purana Bazar",797116,3862,234175,2545951,3862234171,suparna1720@gmail.com,-,2006,Suparna Roy Choudhury,Senior Secondary,Holo Education Society,-,Dimapur
Jawahar Navodaya Vidyalaya,1440008,"Nihokhu, Dimapur, Nagaland",797103,3862,284711,-,-,thestudyschool@gmail.com,-,1984,M Nandagopal,Senior Secondary,Nvs,-,Dimapur
Jawahar Navodaya Vidyalaya,1440001,Yakukie P B No 172 Kohima Nagaland,797001,370,2801512,9856157149,-,kapfokewe@gmail.com,-,1987,Kewelhilo Kapfo,Senior Secondary,Navodaya Vidyalaya Samiti,-,Kohima
Jawahar Navodaya Vidyalaya,1440010,"Kiphire, Nagaland",798611,3862,284711,-,-,thestudyschool@gmail.com,-,1984,Mr Balwant Jodh,Secondary School,Nvs,-,Kiphire
Jawahar Navodaya Vidyalaya,1440005,"Longnak, Po. Mangkolemba, Bpo Longnak(near Petrol Pump), Mokokchung District, Nagaland- 798 604",798617,369,2228339,7685200080,768525631,jnvmkch@gmail.com,-,1988,Tikendra Gogoi,Senior Secondary,Nvs,-,Mokokchung
Jawahar Navodaya Vidyalaya,1440006,"Wakching P.o, Distt Mon Nagaland",798621,386,221381,28710,-,amarsonsankhil66@gmail.com,-,1992,Amarson Sankhil,Senior Secondary,Navodaya Vidyalaya Samiti,-,Mon
Jawahar Navodaya Vidyalaya,1440009,Lumami Zunhedoto P O Mokakchung Box No.12 Nagaland University Lumani,798601,369,2218268,-,-,kanchhiprasadbhaskar@ymail.com,-,1993,P K Bhaskar,Senior Secondary,Navodaya Vidyalaya Samiti,-,Mokokchung
Jawahar Navodaya Vidyalaya,1440011,"Tangha Village, Distt & P.o. Longleng, Nagaland",798625,369,2542268,-,-,jnvlongleng@gmail.com,-,1986,Preetam Singh,Senior Secondary,Dir. Of  Education,-,Longleng
Jawahar Navodaya Vidyalaya,1440007,"Jalukie-b, Peren, Nagaland",797110,3862,9436265845,28710,-,suryasandhya@yahoo.co.in,-,1992,Suresh P M,Senior Secondary,Navodaya Vidyalaya Samiti,-,Peren
Jawahar Navodaya Vidyalaya,1440004,Phek Zuketsa Vil- Futsero Dt - Phek Nagaland,797107,386,22297,9856157149,-,golmei1972@gmail.com,-,1995,Ellore Golmei,Secondary School,Navodaya Vidyalaya Samiti,-,Phek
Jawahar Navodaya Vidyalaya,1440002,Po- Chukitong  Dt- Wokha Nagaland,798631,3860,9856279277,-,-,ndhirensingh12@gmail.com,-,1991,Naorem Dhiren Singh,Secondary School,Navodaya Vidyalaya Samiti,-,Wokha
Jawahar Navodaya Vidyalaya,1440003,B P O Chare Via- Mokokchung Dt - Tuensang Nagaland,798601,369,2270206,9856157149,-,nirdoshborkar@gmail.com,-,1994,N N Borkar,Secondary School,Navodaya Vidyalaya Samiti,-,Tuensang
Kendriya Vidyalaya,1400005,Rangapahar Cantt.   Hq 3 Corps 939 (fpo) C/o 99 Apo Dimapur Nagaland,795113,3862,249146,03862-249458,-,yrprasad200@gmail.com,http://kvrangapahar.org,1992,Y Rama Prasad,Senior Secondary,Kendriya Vidyalaya Sangathan,-,Dimapur
