Abs Oxford International School,1530238,At/po-niali,754004,671,2803122,-,-,abhiramsahoo79@gmail.com,http://www.absoxford.com,2011,Abhiram Sahoo,Secondary School,Abhiram Educational And Charitable Trust,-,Cuttack
Academic International School,1530376,"Po- Ganijang , Via- Barapada",756114,-,9937429695,-,-,aisganijang123.2015@gmail.com,http://www.aisganijang.com,-,Mr  Basanta Kumar Samal,Secondary School,Nc Pati Educational Trust,-,Bhadrak
Adani Public School Dhamra,1530273,"C/o. Dpcl Dav Public Schooldhamra Port,dosinga",756171,91,07925557721,881724688,-,bhadrayu.vachhrajani@adanifoundation.com,-,2012,-,Secondary School,Adani Foundation,-,Bhadrak
Adarsha International School,1530292,"Panchamahala Po Rantalei, Angul , Odisha- 759122",759122,-,06764233789,-,6764233789,adarshaint.school@gmail.com,www.adarshaintschool.com,2016,Mr. Santosh Kumar Gaudu,Senior Secondary,Adarsha Educational Trust,-,Angul
Aditya Birla Public School Uail Campus,1530186,"Doraguda Po-kucheipadar,  Rayagada",765001,6865,287064,-,-,laxmi.dash@adityabirla.com,-,2011,Laxminarayan Dash,Senior Secondary,Utkal Alumina Jana Seva Trust,-,Rayagada
Aditya Residential School,1530164,"At:bhalubahal, Po:sason, Dis:sambalpur",768200,663,9937859888,-,-,adityasambalpurprincipal@gmail.com,-,2006,Krishna Mahajanam,Secondary School,Aditya Educational Society,-,Sambalpur
Ag Mission School,1530305,Gopabandhu Nagar Chandpur Nayagarh Odisha,752024,-,9583586540,-,-,agmissionschoolchandpur@gmail.com,www.agmissionschool.com,2004,Mr. M. Martin,Secondary School,Managing Committee Of Ag Mission School,-,Nayagarh
Amrita Vidyalayam,1530232,"Plot No 508,",752054,674,2460130,437216,-,mona.patnaik@gmail.com,http://www.odisa.amritavidyalayam.org,2013,Mousumi Patnaik,Secondary School,Mata Amritanandamayi Math,-,Khurda
Anand Niketan,1530079,Lamtaput Post Koraput Distt Orissa,764081,686,8272395,06854-251998,251915,ratnakar009@gmail.com,www.modernenglishschool.i,2001,Ratnakar Remalli,Secondary School,Anand Education Society,-,Koraput
Ananda Samvrddhi Vidya Piitha,1530288,"At-kumudapali,p.o/distt-jharsuguda-768201",768201,-,09938016085,-,-,hemanandgupta@hotmail.com,-,2010,Mr. Tarani Sen Durga,Secondary School,Ands Foundation,-,Jharsuguda
Aparna World School,1530230,"Espl Road, Near Boxi Chowk,",768203,664,9238180100,-,6645274411,info@aparna.edu.in,http://www.aparna.edu.in,2015,Mrs. Smitha V Nair,Senior Secondary,Aparna Foundation,-,Jharsuguda
Apeejay School Bhubaneswar,1530307,"Near Durga Mandap,ghatikia",751003,-,7077006609,-,-,sasmitatripathy@apeejaygroup.com,www.apeejayschool.in,2017,Dr. Sasmita Tripathy,Secondary School,Apeejay Education Trust,-,Khordha
Aastha Public School,1530303,"At-patnagarh Road,po-belpara,distt-bolangirpincode-767026",767026,-,07326967555,-,-,apsbelpada@gmail.com,apsbelpada.org,2006,Mr. Bilwa Sarkar,Secondary School,Aastha Charitable Trust,-,Balangir
