Aathmalayaa Middle School,2930008,"Aathmalayaa Nagar, School Road, Keezhzkasakudi, Karaikal - 609609.",609609,4368,04368292002,-,-,principal@aathmalayaa.in,http://www.aathmalayaa.in,-,Mrs. Layavarjitha S,Senior Secondary,-,-,Karaikal
Achariya Bala Siksha Mandir,2930005,"Achariya Commune, Fishing Harbour Road, Thengaithittu,pondicherry",605004,413,3293344,22261,-,absmtt@achariya.org,http://www.achariya.in,2002,Dr R Anita Santhakumar,Senior Secondary,Achariya Educational Public Trust,-,Puducherry
Achariya Siksha Mandir,2930007,Achariyapuramuruvaiyaru,605110,413,04132660881,-,4132660881,asmhead@achariya.org,http://www.achariya.in/,2002,Mr.mohamed Farook U.,Senior Secondary,Achariya Educational Public Trust Ust,-,Puducherry
Adarsh Concept School,2930025,"Gst  Nagar, Naickan Kulathu Street, Kottucherrykaraikal",609609,-,265221(04368),-,-,adarshconcept@gmail.com,-,2012,Mrs. P. Narmadha,Secondary School,Gst Kanagam Educational Trust,-,Karaikal
Aditya Bidyashram,2930002,"Poriaiyur, Villianur, Distt Pondicherry, Pondicherry-605110",605110,413,"2660780, `",2602563152,2562624,principal_cbse@adityacbse.com,-,1983,Nadesan Kangueyan,Senior Secondary,Shanti Janak Sachdeva Ednl.soc.,-,Puducherry
Aj Higher Secondary School,2930014,"Tn Palayam, Ariyankuppam Commune",605007,413,04132912010,-,4132911110,ajschool2015@gmail.com,http://www.ajschool.in,2012,Mr.mohamed Rafi.m,Senior Secondary,Aj Educational Trust,-,Puducherry
Amalorpavam Lourds Academy,2930030,"Thiruvalluar Nagar,villianur Road, Kombakkam,puducherry - 605004.",605004,-,04132960666,-,-,alaoffice@amalorpavamacademy.com,http://amalorpavamacademy.com,2015,Mrs. Nancy P,Senior Secondary,Amalorpavam Educational Welfare Society,-,Puducherry
Avinshree International School,2930100,"R.s.no: 104/1, Fci Godown Road, Thiruvandarkoil.",605102,-,04132641499,-,-,avinshree2020@gmail.com,www.avinshreeschool.com,2019,Mrs. Alameloumangai,Secondary School,Avvaiyar Social & Educational Trust,-,Puducherry
"Amrita Vidyalayam, Pondicherry",2930015,"Jj Nagar, Moolakulam Villupuram Main Road,",605010,-,04132292976,-,0422-2686274,avpondi2015@gmail.com,http://amritavidyalayam.in/,2015,Mrs. Harini Anup,Senior Secondary,Mata Amritanandamayi Math,-,Puducherry
Balaji Siksha Mandir,2930032,"Mettu Street, Nettapakkam,puducherry",605106,-,0413-2981055,-,9655525549,bsmnttp@gmail.com,https://balajisikshamandir.com/,2017,Mrs. Sulochana S,Secondary School,Balaji Educational Trust,-,Puducherry
Bhavani Vidyashram Cbse School,2930020,"Mathikrishnapuram , Bahour Commune,pudhucherry.",607402,-,04132611359,-,-,bhavanicbse2014@yahoo.com,WWW.BHAVANIVIDHYASHRAMSCHOOL.COM,2013,Mrs. J Angelin Devakumari,Secondary School,Bhavani Jayaraman Educational And Cultural Trust,-,Puducherry
Billabong High International School,2930012,"Third Cross, J.j. Nagar, Moolakulam, Oulgaret Municipality",605010,413,04132295444,-,4132293492,billabongprincipal@gmail.com,http://www.billabongpondy.com,2014,Mrs. Kalpana K,Senior Secondary,Sam Paul Educational Trust,-,Puducherry
Brainy Blooms Lecole Internationale,2930017,"Thirukkanur To Mannadipet Road, Thirukkanur,",605501,413,04132680068,-,-,brainyblooms2015@gmail.com,http://www.brainyblooms.com,2015,Mrs. Santhi.j,Senior Secondary,Sri Aravinth Educational Trust,-,Puducherry
Alpha International School,2930026,"Kanniakoil To Bahour Main Road, Bahour, Puducherry",607402,-,04132611556,-,-,alphagroupscorp@gmail.com,www.alphacbse.com,2015,Dr. Bashingam,Secondary School,Alpha Charitable Trust,-,Puducherry
Bright Academy,2930031,"Agalankannu Road, Sellur Village,thirunallar, Karaikal - 609607.",609607,-,04368268386,-,-,brightacademycbse2015@gmail.com,www.brightacademycbse.com,2015,Mrs. G Sivasundari,Senior Secondary,P.s.arunachala Trust,-,Karaikal
Cauvery Public School,2930003,"Nagore Main Road, Neravy, Karaikal",609602,4368,221616,0385-2427222,0385-24272,biology85@gmail.com,-,1985,B Sivakumar,Senior Secondary,Assam Rifles,-,Karaikal
Christ International School,2930028,"Ramanathapuram Revenue Vilage,thondamanatham(po), Villianur Commune,",605502,-,0413-2660704,-,7639110055,christcbseaffiliation@gmail.com,-,2018,Mrs. Selvi,Senior Secondary,Sam Paul Educational Trust,-,Puducherry
