"A I International School, Uppal Jagir, Nurmahal Nakodar Road, Nurmahal, Dist. Jalandhar.",1631160,Uppal Jagir,144039,91,9876313622,-,1826244704,principal@aiisschool.com,-,2008,Neena Kapoor,Secondary School,"Anand Isher International Trust, Nurmahal",-,Jalandhar
A P J Public School,1630244,Ward No 4 Mandi Kharar Distt Ropar Punjab,140301,160,9878961498,245918,08192-263487,apjkhr@yahoo.com,-,1994,Jasvir Chander,Senior Secondary,Amar Prakash Ji Edu Society,-,Rupnagar
A S Modern School,1630020,Khanna Ludhiana Distt Punjab,141401,364,"20067, 22066",9436998029,-,asmodern@yahoo.com,www.asmodernkhanna.com,1971,D R Jalota,Senior Secondary,The Anglo Sans High Sch Management Society,-,Ludhiana
A S Modern School,1680020,Khanna Ludhiana Distt Punjab,141401,1628,9436998029,231567,-,asmodern1@gmail.com,www.asmodernkhanna.com,1971,Shaminder Verma,Senior Secondary,The Anglo Sans High Sch Management Society,-,Ludhiana
A V Public School,1630314,Fazilka Distt Ferozpur Punjab,152123,1638,"264431, 261875",-,-,sangeetatinnaavps@gmail.com,-,2001,Sangeeta Tinna,Senior Secondary,A V Public School Edu Society,-,Firozpur
A.A.R. Jain Model Senior Secondary School,1630877,"Dera Bassi Sas Nagar,pahari Gate, Near Anaj Mandi, Dera Bassi.",140507,1762,281408,-,-,ishasai9@gmail.com,-,1996,Isha Sharma,Senior Secondary,A.a.r. Jain Educational Society,-,Patiala
A&ms Gems Cambridge International School,1630925,"Opposite Canada Palace, Near A&m Institutes, Jalandhar -dalhousie Bye Pass ,pathankot",145001,186,01866918164,-,-,gcis.pathankot@gmail.com,http://www.gcispathankot.com,2012,Mr.rishi Dogra,Senior Secondary,A&m Educational Society,-,Pathankot
Aadesh International School,1630643,V&po Lakhinder(miani),144304,1886,245220,-,-,rajeshwarkimothi@gmail.com,-,2010,Rajeshwar Prasad,Senior Secondary,Guru Gobind Singh Educational Society,-,Hoshiarpur
Aadhar Public School,1630896,V.p.o Badrukhan,148001,167,220357,-,-,bhupalchann72@gmail.com,-,2011,Bhupal Singh Chann,Secondary School,Swami Ram Tirath Welfare Society,-,Sangrur
Aakarshan Public School,1631185,National Highway Narot Jaimal Singh Tehsil & District Pathankot (punjab),145026,-,01862269018,-,1862269018,aakarshanpublic@yahoo.in,http://www.aakarshanpublicschool.org,2014,Mrs. Paras Sharma,Senior Secondary,Aakarshan Educational Society,-,Gurdaspur
Ac Global School,1630752,"Hulka Road, Banur, Sas Nagar",140601,91,9872462647,-,-,acglobalschool@gmail.com,http://acews.in/,2010,Mr. Martin Antony P,Secondary School,A C Educational Welfare Society,-,Sas Nagar
Academic Heights Public School,1631286,"V.p.o-chagran, Chandigarh Road",146001,-,9501931688,-,-,amitreetika2009@gmail.com,http://www.ahpshoshiarpur.com,2014,Mrs. Parveen Paul,Secondary School,Mehta Educational Society,-,Hoshiarpur
Academic Heights Public School Khokhar,1631111,"Vill Khokhar, Po Gobindgarh",148030,1676,01676278378,-,-,ahpskhokhar@gmail.com,http://www.ahpslehragaga.com,2014,Mrs. Ritu Thakur,Senior Secondary,Shri Bala Ji Educational Welfare & Charitable Society,-,Sangrur
A P S Public School,1630366,V& Po Lubanianwali Teh & Distt Muktsar Punjab,152026,91,9780879911,9838581626,546023005,aaypeess@yahoo.com,-,2002,Awtar Kaur,Senior Secondary,Aay Pee Ess Educational Soceity,-,Muktsar
