A V S Public School,1730497,"Shri Parshwnath Teerth Kshetra, Bijoliya, Distt Bhilwara",311602,1489,8432258451,-,-,shri.nannu26@gmail.com,-,2008,Nalini Kulshrestha,Senior Secondary,"Shri Pa. Digamber Jain Sahatiya Shod Sansthan, Bijoliya",-,Bhilwara
A.D.Daga Public School,1730672,"Near Anubhav Smarak, Circuit House Road, Tagore Nagar, Pali - Marwar",306401,2932,02932-284008,-,-,addpsas7@gmail.com,http://www.addagapublicschool.com,-,Dr. Neeta Singh Soni,Secondary School,-,-,Pali
A.S.M. Public School,1730453,C.c. Head Padampurdistt. Sri Ganganagar,335041,1505,281428,-,01505-222927,bspannuasm@gmail.com,-,2001,Beant Singh Pannu,Senior Secondary,A.s. Memorial Shikshan Samiti,-,Sri Ganganagar
Academic Heights Public School,1730961,Near Fire Brigade Station Dukosi Road Dukosi Nagaur Pin-341001,341001,-,01582242444,-,-,rachnagodara27@gmail.com,https://www.nagaur.academcheights.in,2011,Mrs. Sarita Sharma,Secondary School,M.p. Memorial Education Society,-,Nagaur
Abhilasha International School Sandwa,1730982,Vpo. - Sandwa (bidasar) Churu,331517,-,01560272350,-,-,aissandwa@gmail.com,www.absssandwa.in,2013,Mrs. Ujjwala Bissa,Secondary School,"Abhilasha Shikshan Sansthan, Sandwa",-,Churu
Acharya Nanesh Academy,1730575,"Nanesh Nagar, Danta",312202,1476,287257,9928355026,01476-287206,principal.ana@gmail.com,http://www.asnsm.com,2008,Prakash Kumar Vaishnav,Senior Secondary,Acharya Shri Nanesh Takniki Shiksha Samiti,-,Chittorgarh
A's Saint Steward Morris School,1730371,"B Sector, Pathik Nagar,bhilwara  (raj)",311001,91,9783323555,1482264580,-,stewardmorris@gmail.com,-,2000,Shashi Prabha Sharma,Senior Secondary,A's Shanti Educational Society,-,Bhilwara
Adarsh Gyan Mandir Senior Secondary School,1730965,"1-block,sector-d, Shrinathpuram",324010,-,07442429207,-,7442429207,adarshgyanmandir.d1@gmail.com,http://www.adarshgyanmandir.com,1988,Mrs. Nisha Gautam,Senior Secondary,Adarsh Gyan Mandir Vidyalaya Samiti Kota,-,Kota
Adarsh Indian Public Secondary School,1730581,"C/o Adarsh Indian Public Secondary School, Deoli, Tonk, Rajasthan-304804",304804,1434,01434219900,-,1434232646,mohitagrawal40@gmail.com,http://www.aipsdeoli.org,-,Mrs. Monia Jain,Senior Secondary,-,-,Tonk
A N Public Secondary School,1730345,"Radha Swami Bagh , Chomu, Distt Jaipur, Rajasthan",303702,1423,205205,-,-,amrishsharma.edu@gmail.com,-,1997,Amrish Kumar Sharma,Senior Secondary,A N Public Shiksha Samity,-,Jaipur
"Adarsh International School,Taranagar",1730831,"Rajgarh Road, Taranagar",331304,-,9414570211,-,9414570211,adarshschool0001@gmail.com,http://www.aistaranagar.com,2011,Mrs. Parmila,Senior Secondary,Adarsh Mahila Shikshan Sansthan Taranagar,-,Churu
Adarsh Navodaya Shikshan Sansthan Sr. Sec. School,1731003,"Morra Road, Ganesh Nada",341510,-,01590211231,-,-,anssmerta@gmail.com,http://www.adarshnavodayagroup.org,2004,Mr. Gajendra Singh Deval,Senior Secondary,Adarsh Navodaya Shikshan Sansthan,-,Nagaur
Adarsh Vidya Mandir,1730119,"Shankar Vidya Peeth, Mount Abu, Rajasthan",307501,2974,"235370, 235142",-,-,dheerajshipra@gmail.com,-,1989,Dheeraj Kumar Sharma,Senior Secondary,School Managing Committee,-,Sirohi
Aakanksha International School-The Gurukul,1730392,"Mundwa Road, Distt Nagaur, Rajasthan",341001,1582,9414484177,-,01582-240229,AISTHEGURUKUL2007@REDIFFMAIL.COM,http://www.thegurukulnagaur.online,-,Mr. Yogesh Chandra Sharma,Senior Secondary,-,-,Nagaur
Adinath Public School,1730397,"11, Gandhi Nagar ,       Scheme No-8",301001,144,2335708,01392-295300,-,adinath.family@rediffmail.com,-,2005,Nitish Mishra,Senior Secondary,"Shri Adinath Jain Shikshan Sansthan, Alwar",-,Alwar
Aditi Global Academy,1730913,Athwas,332401,-,01571-288541,-,-,aditiglobal16@gmail.com,http://www.aditiglobalacademy.com/,2016,Mrs. Anita Choudhary,Secondary School,Marudhara Shikshan Sansthan,-,Sikar
Aditya Birla Public School,1730140,Khariya Khangar Teh Bhopalgarh Distt. Jodhpur Rajasthan,342606,2920,262356,2920264324,292026425,smita.sahi@adityabirla.com,http://www.birlawhite.com,1979,Smita Sahi,Senior Secondary,Birla White  Edn.society,-,Jodhpur
Aditya Birla Public School Nathdwara,1730145,Binanigram Pindwada Tehsil Sirohi Distt Rajasthan,307031,2971,02971235189,-,111704,taniruddha29@gmail.com,http://www.pbps.co.in,-,Mr. Aniruddha Tiwari,Senior Secondary,"Ultra Tech Community Welfare Foundation, Andheri East, Mumbai",-,Sirohi
"Adrash Vidya Mandir Mandawa, Jhunjhunu",1730508,Vill/post- Mandawa,333704,159,223552,-,-,mukeshsamota03@gmail.com,-,2006,Mukesh Kumar Swami,Senior Secondary,Adrash Vidya Mandir Samiti,-,Jhunjhunu
Adarsh Vidyalaya,1731099,Ranakpur Road Sadri,306702,-,8800511816,-,-,principalav@gmail.com,www.skmsadri.org,2013,Mrs. Hemlata,Secondary School,Shree Khetlaji Mandal Sadri,-,Pali
Aegis International School,1730620,"Dorasar, Jhunjhunu, Rajasthan",333021,1594,01594266041,-,1594266042,aegisinternationalschool@gmail.com,http://www.aegisinternationalschool.org,2011,Mrs. Nitu Sharma,Senior Secondary,Aegis Academic Development Welfare Society,-,Jhunjhunu
Air Fce School,1780006,A F S  Old Pali Road Jodhpur Rajasthan,342001,291,2670104,9314284310,2670104,afschooljodhpur@yahoo.com,-,1983,Nidhi W Kashyap,Senior Secondary,Chairman School Management Committe,-,Jodhpur
Air Fce Children School,1780008,Jaisalmer Air Fce Station Rajasthan,345001,2992,02992256027,-,2370670,afs_jaisalmer@rediffmail.com,www.afschooljaisalmer.com,1980,Mrs. Maya Rathe,Senior Secondary,Iaf Educational & Cultural Society,-,Jaisalmer
Air Force School,1780005,A F S Well Road Bikaner Rajasthan,334001,-,3651,2344,-,-,-,1974,Mrs S Kaushik,Senior Secondary,Air Force Station Well Road Bikaner,-,Bikaner
"Ajeet Public Secondary School,Tijara",1730800,"Ajit Public School,teh-tijara,dis-alwar(raj.),pin Code-301411",301411,1469,01469-262257,-,-,ajitpublicschool@gmail.com,http://www.ajeetpublicschool.co.in,2009,Mrs. Payal Jain,Senior Secondary,"A P Jain Bal Evam Mahila Kalyan Vikas Samiti, Tijara",-,Alwar
Air Fce School,1780009,Kanak Ghati Amer Road Jaipur Rajasthan,302002,141,2671927,47060,-,bhatiseema@hotmail.com,www.vmpsonline.com,1988,Seema Bhati,Senior Secondary,Bayyana Narendrar,-,Jaipur
Akal Academy,1730688,"Vpo Kamrani, Tibbi Road Kamrani, Tehsil Tibbi, Distt. Hanumangarh, Rajasthan-335513",335513,1539,211515,-,-,aakamrani@akalacademy.ac.in,-,2009,Sukhjit Kaur,Secondary School,"The Kalgidhar Trust, Baru Sahib (hp)",-,Hanumangarh
Akal Academy,1730714,"31bb Padampur, Vpo 4jj, Tehsil Padampur, Distt. Sri Gaganagar, Rajasthan-335024",335041,1505,01505210174,-,-,khemsg@yahoo.co.in,-,2008,Mrs.sukhwinder Kaur,Senior Secondary,"The Kalgidhar Trust, Baru Sahib",-,Sri Ganganagar
Akal Academy Sri Ganganagar,1730936,"Ganganagar, Village 10-z, P.o Ganganagar, Tehsil & District Ganganagar (rajasthan) - 335001",335001,-,9875987312,-,-,KHEMSG@YAHOO.CO.IN,-,2012,Mrs. Navjot Kaur,Secondary School,"The Kalgidhar Trust, Baru Sahib",-,Sri Ganganagar
Akashdeep Public School,1730167,"Sector-11, Agarwal Farm, Mansarovar,",302020,141,9414322500,-,1412398624,archisharma484@gmail.com,akashdeepschool.in,2001,Ms.archana Sharma,Senior Secondary,Janta Shiksha Samiti,-,Jaipur
Aklank Day Boarding Cum Residential School,1730586,"N H -12, Mandana, Kota",325003,744,000000,-,-,pnmjn@rediffmail.com,http://www.aklankeducation.com,2009,Poonam Jain,Senior Secondary,Aklank Vidyalaya Association,-,Kota
Akshay Public School,1730940,"Ujjwal Vihar, Borekhera, Baran Road",324001,-,07442329715,-,7442329715,akshayschoolkota@gmail.com,http://www.apskotaedu.co.in,2018,Mrs. Pooja Mehta,Senior Secondary,Arihant Educational And Welfare Trust Kota,-,Kota
Aklank Pub School,1730141,Basant Vihar Kota Rajasthan,324009,744,2400866,-,-,jainpankaj971@gmail.com,-,1978,Pankaj Jain,Senior Secondary,Aklank Vidyalaya Association,-,Kota
All Best Childrens School,1730978,Opp. Shekhawati Nagar Road No 14 Macheda Sikar Road Vki Jaipur,302013,-,9829628481,-,-,abcschooljaipur@gmail.com,http://www.abcschooljaipur.com,2012,Mrs. Alka Sharma,Senior Secondary,All Best Education Society,-,Jaipur
All Saint Senior Higher Secondary School,1730848,"Chandervardai Nagar, Ajmer",305001,-,9461205394,-,-,poonamminzmailbox@rediffmail.com,http://www.allsaintsschoolcngr.org/,2013,Mrs. Poonam Minz,Senior Secondary,All Saints Educational Society,-,Ajmer
All Saints International School,1730361,"Vill. Hasanpur, Near Gailpur,tehsil Tijara",-,149,9694466612,6756223045,-,RK_RAJEEV@YAHOO.COM,-,2005,Renu Uberoi,Senior Secondary,Nirmal Kumar Khanna Memial Educational  Society,-,Alwar
All Saints' Church Sr. Sec. School,1731096,"Mirza Ismail Road, Jaipur",302001,-,01412373932,-,-,ascs.cbse@gmail.com,www.allsaintschurchschool.in,-,Vinita John,Senior Secondary,All Saints Church Shiksha Samiti,-,Jaipur
