Army Public School,1880001,Libing Post Tadong Gangtok Sikkim,324001,3592,270604,22895,-,nishajha3012@gmail.com,-,1999,Nisha Jha,Senior Secondary,Army Welfare Edu Soceity,-,East District
Assam Rifles School,1830004,Pegong North Sikkim,737111,1332,03593,282,-,npsnpr2007@yahoo.co.in,-,1966,Jotshana Mishra,Secondary School,Assam Rifles,-,North District
Bahai Sr. Sec. School,1820100,Saramsa East Sikkim,737135,3592,09434188348,251990,-,sharmkailash@gmail.com,-,1984,Kailash     Sharma,Secondary School,Govt Of Sikkim,-,East District
Central Martam Sec. School,1820220,Central Martam Sec. Schoolnear Gvk Martamp/o Bermiok Bazar,737113,-,9832505060,-,-,cmjss1976@gmail.com,-,1972,Mr. K R Gurung,Secondary School,Community School Run By Community,-,West District
C.S. Rai Secondary School,1820223,"C.s. Rai Govt. Secondary School, Arithang, Gangtok, East Sikkim-737101",-,-,-,-,-,-,-,-,-,Secondary School,-,-,East District
Daffodil's Home Sec. School,1820147,"Development Area,",737101,359,"207656, 227656",253889,-,sdhylma@yahoo.co.in,khanisirbongwestsikkim.in,1985,Sandhya Lama Gurung,Secondary School,Navodaya Vidyalaya Samiti,-,East District
East Point Senior Secondary School,1830012,"Gohitar, P.o. Singtam, East Sikkim",757135,3592,233680,-,-,subba.nishant@gmail.com,-,1986,Nishant Subba,Senior Secondary,East Point Society,-,East District
Eklavya Model Residential School,1820172,"Gangyap, West Sikkim, Sikkim",737138,3595,252398,9197758723,-,khanisirbong.ss@gmail.com,-,1985,Siddarth Yonzone,Senior Secondary,Govt Of Sikkim,-,West District
Eklavya Model Residential School,1820173,"North Dist.swayam, North Sikkim, Sikkim-737116",737138,3592,234232,9609870288,-,khanisirbong.ss@gmail.com,-,1985,Meena Rani Mukhia,Senior Secondary,Govt Of Sikkim,-,North District
Government Girls' Secondary School Mangan,1820350,"Mangan, North Sikkim",737116,-,039329832325961,-,-,mangangirls250@gmail.com,https://www.wix.com/mysite,-,Bandana Rai,Secondary School,Education Department Government Of Sikkim,-,North District
Government Sec. School,1820208,"South Regu, Via- Rongli, East Sikkim- 737131",-,-,-,-,-,-,-,-,-,Secondary School,-,-,East District
Government Junior Secondary School,1820151,Manul North Sikkim,-,3592,9733511248,-,-,pintsotashi20@gmail.com,-,-,Pintso Tashi Lepcha,Secondary School,-,-,North District
Dav Public School,1830003,Rangit H E Project Rangit Nagar South Sikkim,737111,3595,"259225, 50845",282,-,davrangit@gmail.com,-,1995,Sukant Kumar Nayak,Senior Secondary,Bahi School Managing Committee,-,South District
Government Secondary School,1820160,"Lingcheg, P.o. Singtam Bazar, East Sikkim",737122,3592,235278,9434487783,-,keemtirai@yahoo.in,-,1984,Keemti Subba,Secondary School,Dpi,-,East District
Bahai's School,1830001,Tadong Gangtok Sikkim,737102,3592,232066,2239,-,pradhanroopa@gmail.com,khanisirbongwestsikkim.in,1975,Rupa Devi Sharma,Senior Secondary,Bahi School Managing Committee,-,East District
Government Secondary School,1820166,"P.o. Rolep, Via Rongli, East Sikkim",737131,-,09862013085,9733087699,-,rolepsecschool1975@gmail.com,-,1970,Jag Maya Chettri,Senior Secondary,Navodaya Vidyalaya Samiti,-,East District
Government Secondary School,1820191,"Maghjhi, East Sikkim",737136,-,09933013673,-,-,majhitarss@gmail.com,-,-,Binod Kumar Gajmer,Secondary School,-,-,East District
Government Secondary School,1820214,"Barapathing, East Sikkim",-,-,-,-,-,-,-,-,-,Secondary School,-,-,East District
Government Secondary School,1820186,"Chuba, Po Perbing, South Sikkim",737126,-,000000,-,-,chubaschool@gmail.com,-,-,Sambadup Bassiv Bhutia,Secondary School,-,-,South District
Government Secondary School,1820126,"P.o. Pabyuik, Naitam East Sikkim-737 102",737101,91,9434191520,284167,-,phurbabhutia@yahoo.co.in,khanisirbongwestsikkim.in,1984,Phurba Dorjee Shenga,Senior Secondary,Govt Of Sikkim,-,East District
Government Secondary School,1820150,"Kabray, P.o. Namthang Bazaar, South Sikkim",737132,3595,264682,9436563084,-,prakashsharma.ms@gmail.com,-,1970,Prakash Sharma,Secondary School,Navodaya Vidyalaya Samiti,-,South District
Government Secondary School,1820154,"Tingley, P.o. Berbing, Namchi, South Sikkim",737121,91,9434144180,9436563084,-,TINGLEYSCHOOL@GMAIL.COM,-,1970,Sonam Sherpa,Secondary School,Navodaya Vidyalaya Samiti,-,South District
Government Secondary School,1820155,"Kamrang, P.o. Namchi, Distt. South Sikkim",737126,3593,263575,9436563084,-,kamalkumarisapkota@gmail.com,-,1970,Kamal  Prasad Sapkota,Secondary School,Navodaya Vidyalaya Samiti,-,South District
Government Secondary School,1820190,"Hathidhungh, West Sikkim",737126,-,000,-,-,hlrai1962@gmail.com,-,1985,Harka Lal Rai,Secondary School,Govt Of Sikkim,-,West District
Government Secondary School,1820165,"Melli Aching P.o., Via Gyalshing, West Sikkim",737113,-,09647857686,9474531971,-,tashi70wangdibhutia@gmail.com,-,1955,Tashi Wangdi Bhutia,Secondary School,Dept.of Education -sikkim,-,West District
Government Secondary School,1820164,"P.o. Pelling, West Sikkim",737113,359,258278,9474531971,-,nkpelling@gmail.com,-,1955,N K Karki,Secondary School,Dept.of Education -sikkim,-,West District
Government Secondary School,1820161,"Mukurung, P.o. Dentam Bazar, West Sikkim",737122,3595,255282,9733441914,-,mukrung.ss55@yahoo.in,-,1984,Ganga Ram Khulal,Secondary School,Dpi,-,West District
Government Secondary School,1820159,"Tikpur, P.o. Sambaria, West Sikkim",737122,-,0000000000,-,-,tikpursecschool1972@gmail.com,-,1984,Lok Nath Rai,Secondary School,Dpi,-,West District
Government Secondary School,1820183,"Lungchok, West Sikkim",737113,-,7407172392,-,-,-,-,-,Durga Prasad Sharma,Secondary School,-,-,West District
Government Secondary School,1820162,"Middle Geyzing P.o., West Sikkim",737126,3595,2596688,-,-,knpskm2016@gmail.com,-,-,Kush Narayan Pradhan,Secondary School,-,-,West District
Government Secondary School Bering,1820219,P O Pakyong Ps Pakyongeast Sikkim,737106,-,03592111111,-,-,beringyp@gmail.com,www.gssbering.com,1952,Mr. Yadav Pokhrel,Senior Secondary,Government Of Sikkim,-,East District
Government Secondary School,1820158,"Pakkigaon, P.o. Malbasey, West Sikkim",737135,-,-,-,-,p.rajdhungel@gmail.com,-,1984,Pushpa Raj Dhungel,Secondary School,Dpi,-,West District
Government Secondary School Chanatar Rangpo,1820221,Government Secondary School Chanatar Rangpo East Sikkim,737132,-,7908140761,-,-,gsschanatareast@gmail.com,www.chanatarss.com,1945,Mr. Suren Kumar Tamang,Secondary School,Hrdd Govt. Of Sikkim,-,East District
Government Secondary School Raley,1820216,Raley East Sikkim,737107,-,8768757725,-,-,govtssraleyeast19@gmail.com,http://www.xyz.com,1937,Mr. Anup Rasaily,Secondary School,Human Resource Development Department Government Of Sikkim,-,East District
"Government Secondary School Rumbuk, West Sikkim",1820218,"P.o/p.s Sombaria, West Sikkim Pin Code-737121",737121,-,9609804175,-,-,santalepcha27@gmail.com,-,1970,Mr. Santa Kumar Lepcha,Secondary School,School Mangeing Committee,-,West District
"Government Secondary School, Rabitar",1820215,"Rabitar, South Sikkim737126",737126,-,9733199325,-,-,rabitargovtsecschool@gmail.com,-,1974,Mr. Thupden Lepcha,Secondary School,State Government,-,South District
