A A Public School,1931043,"17/8, Andiappan Gramani Street, Royapuram, Chennai",600013,-,04448595902,-,-,aapublicschool@gmail.com,-,2017,Mrs. S.gnana Jothi,Secondary School,Aladi Aruna Foundation,-,Chennai City
A J C English School,1930134,Lal Bahadur Shastri Road Kumbakonam Tamil Nadu,612001,435,2420730,2428647,2428647,anandhiphysics@gmail.com,-,1985,Anandhavalli K,Senior Secondary,"A J C Societyu, Kumbakonam",-,Thanjavur
A.K.T. Memorial Vidya Saaket School,1930235,"Neelamangalam Village Kallakurichi - Post, Villupuram Distt., Tamilnadu",606202,4151,226655,-,-,principal.aktcbse@gmail.com,-,2001,S Usha Kumari,Secondary School,A.k.t Noble Cause Volunteers Trust,-,Viluppuram
A++ National School,1930194,"Arivoli Nagar, Thirunalveli Road Thiruchendur, Distt Thoothukudi Tamil Nadu",628215,4639,223344,-,-,-,-,2002,Mrs T Gomathi Singh,Secondary School,Mission Arivloli Trust,-,Thoothukudi
A.R.J.  Public School,1930354,"Thirumankottai Main Road, Edayarnatham, Mannargudi -614001",614001,4367,223333,-,9.14E+11,arjps@arj.edu.in,http://www.arj.edu.in,2010,Kavitha S,Senior Secondary,Annai Ammani Ammal Educational And Charitable  Trust,-,Thiruvallur
Aaa International School,1930784,"828, A, S.n. Puram Road, Thiruthangal, Sivakasi",626130,456,8870222200,8870222200,-,principalaaaittl@gmail.com,http://www.aaainternationalschool.com/,2013,Ms. Jain Sonal,Senior Secondary,Panjurajan Amaravathy Educational Trust,-,Virudhunagar
Abacus International Montessori School,1930238,"S.f.no 516 Mudali Palayam Pirivu, Perunthozhuvu Road, Kangayam Road",641606,421,3212321,-,0421-2374502,principal@aimstirupur.com,http://www.aims_tirupur.edu.in,2003,Josephine Maria Prema,Senior Secondary,Global Educational Management Foundation And Charitable Trust,-,Coimbatore
A M Public School,1930516,Nadupattikadayampatti(tk)salem District,636351,4290,04290243578,-,4290243555,ampublicschool12@gmail.com,http://www.ampublicschool.in,2012,Mrs. Thamayanthi S,Senior Secondary,Amr Charitable Foundation  Trust,-,Salem
Abcs Kenbridge School,1930573,"Trichy Rameswaram Main Road,naranamangalam Post,near Devipattinam, Ramanathapuram Dist",623537,4567,259364,-,-,kenbridgeprincipal@gmail.com,-,2011,Ravichandran S,Senior Secondary,Vimalanandha Educational Charitable Trust,-,Ramanathapuram
Abs Vidhya Mandhir,1930290,"Thalakancherry Road, Iveli Agaram, Thiruvallur",602001,-,9380606725,-,4428527124,absvm.rathi@gmail.com,www.absvidhyamandhir.com,2010,Dr.r.gayathri,Senior Secondary,Abs Educational Trust,-,Thiruvallur
Achariya School,1930428,"3/185-1,muthumariamman Kovil Road",628721,4632,248689,-,-,sudalaimuthu1981@gmail.com,-,2007,Sudalaimuthu,Senior Secondary,Achariya Charitable &educational Trust,-,Thoothukudi
Achariya Siksha Mandir,1931317,"# 329, 20th Street, Astalakshmi Nagar, Alapakkam, Chennai- 600116",600116,-,04448552235,-,-,asmprincipal.ch@achariya.org,http://www.achariya.in,2020,Miss Thanga Usha,Secondary School,A,-,Chennai City
Acharya Mahashraman Terapanth Jain Public School,1931160,"57 & 58/1, Thattankulam Road, Madhavaram, Chennai, Tamilnadu",600060,-,7200845678,-,-,admin@amtjainpublicschool.com,http://www.amtjainpublicschool.com,2019,Mrs. V. Jaya Prasad,Secondary School,Jain Terapanth Welfare Trust,-,Chennai
Achyuta Academy School,1930450,"Thadicombu Road,kurumbapatti Village, Dindigul Distt., Tamilnadu",624001,91,9047057017,-,-,karthikaikumar.aps@gmail.com,-,2012,Karthikaikumar S,Senior Secondary,Palani Hills Educational And Charitable Trust,-,Dindigul
Adarsh Vidya Kendra,1930136,Poineer Compound Vetturnimadam Nagercoil Kanyakumari Distt. Tamil Nadu,629003,4652,232354,-,-,avkcbse@gmail.com,http://www.avk.edu.in,1985,Mr. Binumon V R,Senior Secondary,Adarsh Educational Trust,-,Kanyakumari
Adharsh Vidhyalaya Public School,1930910,"Adharsh Vidhyalaya Public Schooladharsh Nagar, Ksn Puram (po) - 641662,palladam (tk), Tiruppur (dt), Tamilnadu, India.",641662,-,04255277666,-,4255278222,avps.palladam@gmail.com,http://www.adharshvidhyalaya.com,2016,Mrs. Sindhu K,Secondary School,Adharsh Educational And Charitable Trust,-,Coimbatore
Adhiyaman Public School,1930887,"Malligai Nagar,uthangarai - 635207",635207,-,04341223189,-,-,adhiyamanpublicschool@gmail.com,http://adhiyamanpublicschool.com,2017,Mrs. Leena Jose,Senior Secondary,Srinivasa Educational Trust,-,Krishnagiri
Adhyapana School,1930311,"Visthara,beyond Fatima College,madurai-dindugal Main Road,madurai- 625 402.",625402,452,2970207,-,4524374693,avisveswar@gmail.com,-,2009,Aruna M Visvessvar,Senior Secondary,Adhyapana Trust,-,Madurai
Adithya Global School,1931258,"346/1 Sathy Road,kurumbapalayam,ss Kulam,coimbator",641107,-,9842266906,-,-,adithyaglobalschool@gmail.com,adithyaglobalschool.com,2020,Mrs. Vijaya Prabha M,Secondary School,Adithya Education Trust,-,Coimbatore
Adithya International School,1930633,"S.f No 222, Lakshmi Nagaridigarai Postidigarai",641022,422,09842211901,-,0422-2513866,indiranim.phil@gmail.com,http://www.aiscbe.edu.in,2014,Mrs. A.r.indirani,Senior Secondary,Adithya Mission,-,Coimbatore
Aditya Vidyashram Gurugram Campus E Techno School,1930995,"Poonamalle-avadi Main Road, Veeraghavapuram, Thiruverkadu",600077,-,9159523999,-,-,Aditya_CHN_Avadi@adityacbse.com,http://chennai.adityacbse.com/,2017,Mrs. Manimalai,Senior Secondary,Sri Vidyanarayana Educational Trust,-,Chennai
Adharsh Vidhyalaya Public School,1930371,"Paruvachi (po), Bhavani (tk), Erode (dt) - 638 312, Tamilnadu, India",638312,4256,256555,-,04256 256706,avps312@gmail.com,http://www.adharshvidhyalaya.com,2010,Settu V,Senior Secondary,Adharsh Educational And Charitable Trust,-
Advaita International School,1931398,"Subash School Road, , Andipalayam",641687,-,04214250500,-,-,shirazkirmani@gmail.com,http://advaitaschool.in/,-,Rajalakshmi Pa,Secondary School,Sri Advaita Educational Trust,-,Tiruppur
Advaith International Academy,1930740,"Virupasandram, (inupasandram - Nallur Road), Nallur Panchayat, Hosur Taluk, Hosur.",635103,4344,8610559741,-,-,advaithprincipal@gmail.com,http://www.advaithacademy.ac.in,2014,Bhavani M,Senior Secondary,Aswath Narayana Educational & Charitable Trust,-,Dharmapuri
Adwaith Thought Academy,1931285,"Sowripalayam Road, Coimbatore-641028.",641028,-,04222317916,-,-,adwaithgnsschool@gmail.com,www.adwaithgns.in,1982,Mrs. Suseela.v,Senior Secondary,Shri. G.n. Sam Trust,-,Coimbatore
Agarwal Vidyalaya And Junior College,1930961,"No.54, Evk Sampath Road, Vepery, Chennai",600007,-,04426618665,-,-,avjrcollege@gmail.com,http://www.agarwalvidyalaya.com,2018,Mrs. R.sumathi,Senior Secondary,Agarwal Relief Educational Trust,-,Chennai City
Agastya Academy,1930280,"Arachalur - Chennimalai Main Road,sunaiparai, Veerapampalayam (po),dist.periyar, Tamil Nadu-638 101",638101,424,2357879,8570202399,-,chemistchimbu@gmail.com,-,2009,S Chidhambaram,Senior Secondary,Amarjyothi Educational And Charitable Trust,-
