Academic Heights Public School,3630321,"Sy No 78, Venakataramana Colony, Gokul Plots, Hafeezpet, Serilingampally Mandal",500072,-,9000103540,-,-,academicheightskphb@gmail.com,http://www.academicheightskphb.com,2018,Mrs. K Madhavi Krishna,Secondary School,Ims Educational Society,-,Rangareddy
Academic Heights Public School,3630375,"Plot No,1&2, Opp.venkateshwara Colony,injapur, Abdullapurmet Mdl, Ranga Reddy Dist",501510,-,9121019898,-,-,principalinj@academicheightshyd.com,-,2019,Mrs. Yerra Jhansi Latha,Secondary School,Ksr Educational Society Injapur,-,Rangareddy
Academic Heights Public School,3630234,"18-4-42/a, Aliabad Sahmshergunj",500053,40,04064546403,-,-,ahpscharminar@yahoo.com,http://ahpscharminar.com/,2015,Mrs. Najmaunisa Begum,Senior Secondary,Athena Educational Society,-,Hyderabad
Academic Heights School,3630180,Bachpan Campus Jagadeevpur Road Hanmapur  Bhongir,508116,8685,243693,-,-,ahps.principal@gmail.com,-,2012,Teegala Jayalaxmi,Secondary School,Pragnak12 Educational Society,-,Nalgonda
Akshara The School,3630381,"Bharath Nagar, Kushaiguda, Kapra Mandal, Medchal-malkajgiri Dist",500062,-,9502655515,-,-,principal@akshara.edu.in,AKSHARA.EDU.IN,2016,Mrs. Divya Devi,Secondary School,Akshara Educational Society,-,Rangareddy
Air Fce School,3680005,Begumpet Air Fce  Station Begumpet P.o Hyderabad Andhra Pradesh,500011,40,7753551,6507607,-,-,-,1977,Mrs. B Magdalene Roy,Senior Secondary,Iaf Educational Cultural Society N.d,-,Hyderabad
Almas High School,3630247,"6-69,chincholi Road, Allahpur",501411,-,08411-202525,-,-,almas202525@gmail.com,http://almasilm.com/,2012,Mrs.tabassum Sultana,Secondary School,Almas Educational And Charitable Trust,-,Rangareddy
Academic Heights Public School,3630210,"Survey No:51, Venkat Reddy Colony, Bolligudem Road, Boduppal",500039,40,7093903311,-,-,ahpsboduppalprincipal@gmail.com,-,2014,Sinita Yempati,Secondary School,Koushik Reddy Educational Society,-,Rangareddy
Arka School,3630356,"Arka School, Sy.no.89 & 90, Almasguda, Balapur(m),ranga Reddy District.",500058,-,04029888881,9492441441,-,arkainternationalschool@gmail.com,www.arkainternationalschool.com,2019,Mr. Allam Ratna Reddy,Secondary School,New Gayatri Educational Society,-,Rangareddy
Army Public  School,3680008,"Golconda, Artillery Centre, Hyderabad, Andhra Pradesh",500031,40,23522885,-,-,-,-,1982,Vidya Muralidharan,Senior Secondary,Army Welfare Education Society,-,Hyderabad
Atomic Energy Central School,3680001,E C I L Campus  Near Tifr E.C.I.L. Post Hyderabad Andhra Pradesh,500062,40,"7120268, 7120131",7134301,-,rkdas@nfc.ernet.in,-,1973,S G Bajwa,Senior Secondary,Atomic Energy Education Society Bombay,-,Hyderabad
Al - Falah School,3630295,"# 8-1-423/127, Behind Seven Tombsdiamond Hills Colony,tolichowkihyderabad - 500008",500008,-,7207075772,-,7207025772,frontofficealfalah@gmail.com,http://www.alfalahschool.co.in,2013,Mrs. U K Juveria,Secondary School,Yawar Educational & Charitable Society,-,Hyderabad
Abhaya School,3630083,"Gundla Pochampally Village, Near Apparel Textile Park, Medchal Mandal Dist, Rangareddy,",500014,1734,08008222356,1741224366,-,abhaya_school@yahoo.co.in,http://www.abhayaschool.in,2008,L.shailaja,Senior Secondary,Abhaya Educational Society,-,Rangareddy
Anna Memorial  High School,3630367,Choutuppal(v & M) Yadadri - Bhongir  District,508252,-,08694272808,-,-,fatherchinna@rediffmail.com,www.annamemorialschool.com,2002,Mrs. Sunitha G,Secondary School,St. Pauls Charitable Trust,-,Nalgonda
Atomic Energy Central School,3680007,Dae Colony Ecil Po Hyderabad Andhra Pradesh,500062,40,7123363,7125759,-,-,-,1981,M Sitamahalakshmi,Secondary School,Atomic Energy Educational Society,-,Hyderabad
Atomic Energy Central School,3680003,Heavy Water Plant Colony Aswapuram Khammam Distt. Andhra Pradesh,507116,8746,24351,24376,24340493,aecs_manuguru@rediffmail.com,-,1984,Shobha Dove,Senior Secondary,"Atomic Energy Education Society, Bo",-,Khammam
Alphores High School,3630162,"Hno : 3-205/1/2, Jagtial Road, Kothapally (H), Karimnagar",505451,-,9247021444,-,8782239644,alphoresc@gmail.com,http://www.alphores.com,2015,Mrs.m. Aruna Kumari,Senior Secondary,Alphores Educational Society,-,Karimnagar
Academic Heights Public School,3630288,"Academic Heights Public School, Kistareddypet Village,ameenpur Mandal, Sangareddy Dist",502032,-,9618380022,-,-,academicheightsbeeramguda@gmail.com,-,2017,Mrs. J.lakshmi Raghavendra,Secondary School,Deeksha Beeramguda Educational Society,-,Medak
Atomic Energy Central School,3630275,E C I L Campus  Near Tifr E.c.i.l. Post Hyderabad Andhra Pradesh,500062,40,"7120268, 7120131",7134301,-,rkdas@nfc.ernet.in,-,1973,S G Bajwa,Senior Secondary,Atomic Energy Education Society Bombay,-,Hyderabad
Atomic Energy Central School,3630276,Heavy Water Plant Colony Aswapuram Khammam Distt. Andhra Pradesh,507116,8746,24351,24376,24340493,aecs_manuguru@rediffmail.com,-,1984,Shobha Dove,Senior Secondary,"Atomic Energy Education Society, Bo",-,Khammam
Atomic Energy Central School,3630280,Dae Colony Ecil Po Hyderabad Andhra Pradesh,500062,40,7123363,7125759,-,-,-,1981,M Sitamahalakshmi,Secondary School,Atomic Energy Educational Society,-,Hyderabad
Aurobindo Public School,3630034,Ravindra Nagar Nalgonda Andhra Pradesh,508001,8682,223020,9866219793,-,aurobindonlg@yahoo.com,-,1983,Mr. M Marreddy,Secondary School,Maharishi Shiksha Sansthan,-,Nalgonda
Aryabhatta High School,3630323,"Sy. No. 26/1, Mallapur Village, Bheemsari Grampanchayat,adilabad (rural) Mandal, Adilabad District - 504001 (t.s.)",504001,-,8985656900,-,-,aryabhattahsmallapur@gmail.com,aryabhattainternationalschool.com,2018,Mrs. Cheruku Sandhya Reddy,Secondary School,Adil Educational Society,-,Adilabad
Avn Vida School,3630300,"Sy No.74(p)journalists Colony,gopanpally Serilingampally (m)rangareddy District",500032,-,04029880398,-,4029880398,avnvidaacademics@gmail.com,http://avnvidainternationalschool.com/,2017,Dr. Kiran Singh,Secondary School,Sri Surya Educational Society,-,Rangareddy
Azaan International School,3630106,"9-4-136, Seven Tombs Road, Tolichowki Golkonda, Hyderabad",500008,-,"04064509370,04024413483",-,4024412197,azaan.cbse@gmail.com,http://azaanschool.com,2010,Mrs.perween Sultana Shikoh,Senior Secondary,Anwar Charitable Trust,-,Hyderabad
Azra Public School,3630024,10-2-510/1  Asif Nagar Mehdipatnam Main Road Hyderabad Andhra Pradesh,500028,40,"3530453 3530262, 3530262",3010127,-,azra.school@gmail.com,http://www.azrapublicscho,1984,Mrs. Mumtaz Jahan,Secondary School,A.p. Modern Educational & Social Services Society,-,Hyderabad
Balaji High School,3630221,Laknepally,506133,9187,8978954224,-,-,rpbts@yahoo.com,http://www.btswgl.in,2010,P Rajendra Prasad,Secondary School,Maheshwara Educational Society,-,Warangal
Bhadrachalam Public School & Jr. College,3630006,Sarapaka Khammam Dist. Andhra Pradesh,507128,8746,"217066, 42340",243312,242460,prabhakar123_in@yahoo.co.in,http://www.itcptel.com,1979,Mr. G.prabhakar Reddy,Senior Secondary,B P L Society,-,Khammam
Bharatiya Vidya Bhavan's Public School,3630007,Jubilee Hills Road No.71 Hyderabad Andhra Pradesh,500033,40,"3544934, 3600122",3548849,-,bvbpsjh@rediffmail.com,-,1979,C Ramadevi,Senior Secondary,B V Bhavan,-,Hyderabad
Bharat Public School,3630047,Subhash Chandra Bose Nagar Ramavaram Kothagudam Andhra Pradesh,507118,8744,0874423102,-,-,msubbarao_2000@yahoo.com,-,-,Mr. M.subba Rao,Secondary School,Gurazada Educational Society,-,Khammam
Bharatiya Vidya Bhavan's Vidyashram,3630030,Nird Campus Rajendranagar Hyderabad Andhra Pradesh,500030,40,"4016404, 4015001",3814856,-,apbso4@rediffmail.com,-,1996,V S N Raju,Secondary School,Bvb's Vidyashram,-,Hyderabad
Bharatiya Vidya Bhavans Atmakuri Rama Rao School,3630078,"Road No.45 (end), Jubilee Hills, Hyderabad",500033,-,040-64556630,-,23607772,bvbarrshyd@gmail.com,http://www.bvbarrs.edu.in,2009,Dr.r. Arulmozhi Rani,Senior Secondary,Bharatiya Vidya Bhavan,-,Rangareddy
"Bhartiya Vidya Bhawan, Bhavans Sri Ramakrishna Vidyalaya",3630003,"Sainikpuri Post, Malkajgiri Mandal,medchal District,secunderabadpin 500094telangana",500094,40,04027112561,-,4027113981,principalbsrkv@gmail.com,www.bsrkv.edu.in,1974,Mrs. B Jyothi Aparna,Senior Secondary,Bharatiya Vidya Bhavan,-,Rangareddy
Bharatiya Vidya Bhavans Public Schoo,3630009,"Bhel Township, R C Puram, Hyderabad",500032,40,"040-23024910, 3021902",06767-248116,040-23023922,ramahap@yahoo.co.in,http://www.bhavansbhelhyd.com,1981,Mr.ms/m.uma,Secondary School,Jindal Education & Welfare Soc,-,Medak
Bhashyam Blooms School,3630343,"J.j.colony, Kapra, Kapra Mandal, Medchal Malkajigiri",500062,-,8886633796,-,-,tulsinanda@bhashyam.in,http://www.bloomsecil.in,2018,Mrs. M Savitha,Senior Secondary,Bhashyam Educational Society,-,Rangareddy
Bhashyam Blooms School,3630362,"Mithilanagar Colony, Pragathinagar, Gajularamaram Village, Bachupally Mandal",500090,-,9121326111,-,-,sangeeta.p@bhashyam.in,http://www.bloomspragathinagar.in,2019,Mrs. P Sangeeta,Secondary School,Bhashyam Educational Society,-,Rangareddy
Bhashyam Blooms School,3630361,"Apr Nagar, Near Gmr Function Hall, Patancheru Town",502319,-,9121326555,-,-,mahalakshmi.k@bhashyam.in,https://www.bloomsbeeramguda.in,2019,Mrs. P Anupama,Secondary School,Bhashyam Educational Society,-,Medak
Bhashyam Blooms School,3630428,"Lecturers Colony , Hayathnagar, Rangareddy District",501505,-,7337446464,-,-,vijayalakshmi.ganta@bhashyam.in,https://bloomshayathnagar.in/,-,Vijaya Lakshmi,Secondary School,Bhashyam Educational Society,-,Rangareddy
Bhashyam Blooms School,3630273,"Sy.no. 1/aa & I/ee, 1/part, Ward No. 12, Block No. 1, Fathullaguda (v), Uppal (m), L.b.nagar, Rangareddy Dist.",500068,-,040-29704920,-,-,archana.t@bhashyam.in,http://www.bloomsnagole.in,2017,Mrs. R Komali,Secondary School,Bhashyam Educational Society,-,Hyderabad
Bhashyam Blooms The School,3630274,"Bhashyam Blooms The School, Mohabath Nagar, Thummaluru (v), Maheshwaram (m), Rangareddy (d)",501359,-,9603855532,-,-,nageshbabu.m@bhashyam.in,http://www.bhashyamblooms.com,2017,Mr. M Nagesh Babu,Secondary School,Bhashyam Educational Society,-,Rangareddy
Bhashyam Brooks Ups,3630141,"Balakrishna Nagar, Kukatpally",500072,-,04064630044,-,-,brooks@bhashyam.in,-,2011,Mrs.r Komali,Secondary School,Bhashyam Educational Society,-,Rangareddy
Bhavisyaa School,3630355,"Sr No 58/1, Kamranghat Village, Saroor Nagar Mandal, Hasthinapuram",500074,-,9848228936,-,-,sribhavishyaaschool@gmail.com,http://www.bhavishyaaschool.com,2017,Mr. Srinivas Reddy,Secondary School,Shri Bhavisyaa Educational Society,-,Rangareddy
Birla Open Minds International School,3630147,"Survey No.192 & 193, Kollur,9th Km Off The Outer Ring Road From Gachibowli To Patancheru,kollur(v),ramachandrapuram(m),medak District.",502300,-,91 07337391976,-,-,openminds.hyd@gmail.com,http://www.openminds.in,2010,Mrs. Syamali Chowdhury,Senior Secondary,Dsr Educational Society,-,Medak
Birla Open Minds School,3630308,"H.no.33-7-187,thimmapoor Village,fort Warangal Mandal,",506005,-,08702577141,-,-,principal.warangal@openminds.in,-,2018,Mr. Sanjay Dewangan,Senior Secondary,Bhavitha Educational Society,-,Warangal
Birla Open Minds School,3630235,"Survey No. 23&24, Sriram Nagarsahara Road, Mansoorabadrangareddy Telangana-500068",500068,40,04024121235,-,-,Principal.lbnagar@birlaopenminds.com,www.shlokaschool.com,2016,Mr. M.j.thomas,Senior Secondary,Bodha Educational Society,-,Rangareddy
Blooming Minds Central School,3630115,"Kaikondaigudem Post, Rural Mandal, Near Trinity Pg College, Ballepalli, Khammam Dt, Andhra Pradesh",507002,-,09542518594,-,-,bloomingminds.khammam@gmail.com,http://www.bloomingminds.co.in,2011,Vajrala Kiran Kumar,Senior Secondary,B.m.educational Society,-,Khammam
Brahm Prakash D A V School,3630017,Midhani Township Kanchanbagh Hyderabad Andhra Pradesh,500058,40,24342036,4024344882,402434203,bpdavschool@yahoo.com,bpdav@indiatimes.com,1985,Mr. B. Prabhakar,Secondary School,Dav College Trust Management Societ,-,Hyderabad
C A L Public School,3630036,1-50  Kapra Main Road Kapra Hyderabad Andhra Pradesh,500762,40,"7120807, 7123672",7731583,-,chaos_ns@yahoo.com,-,2001,C Inna Reddy,Senior Secondary,"Ratlam Maruti Educational Society, Ratlam",-,Hyderabad
