Amarpur English Medium Higher Secondary School,2020018,"Town Sankarpalli,amarpur,gomati Tripura.pin:-799101,799101",-,-,-,-,-,-,-,-,-,Senior Secondary,-,-,Gomati
Assam Rifles High School,2080003,"Hrangkhapara, P.c, Teiamura, Dist, Khowal,tripura, C/o 99 Apo",799289,382,262320,9818430125,-,priyankachaitanya21@gmail.com,-,1987,Priyanka Thakyal,Secondary School,Directate Of Education,-,Dhalai
Ananda Marga School,2030036,Bishalgarh,799102,-,9862161549,-,-,synthesisns@gmail.com,-,1984,Mr.manik Debnath,Secondary School,Ananda Marga Pracaraka Samgha,-,West Tripura
Assam Rifles Public School,2080001,Udaipur South Tripura C/o 6 Assam Rifles 99 Apo,2430,3821,222470,9927600442,2602913,padmawatiacademy@rediffmail.com,-,1985,Shri Sebastian Mt,Senior Secondary,23 Assam Riffles,-,South Tripura
Army Public School,2080004,"C/o Station Head Quarter, Army Miletary Station, Onc Tilla, Lichu, Vagan, Agartala, Tripura",799010,1672,221172,9876577721,-,armyschool4684@yahoo.co.in,-,1991,-,Secondary School,A W E S,-,West Tripura
Assam Rifles Public School,2080002,11 Assam Rifles C/o 99 Apo Assam Rifles Complex Agartala Tripura,799006,381,2314473,0381-2313030,0381-23130,assamriflesschool@rediffmail.com,-,1961,Sanjay Kumar,Senior Secondary,Awes,-,West Tripura
Baidya Bari,2020152,"Karbook, Gomati",799104,-,03821295121,-,-,kbkemmschool2017@gmail.com,https://kbkemmschool2017.wixsite.com/website,-,Tarun Kumar Marak,Secondary School,Directorate Of Secondary Education,-,Gomati
Belonia Government English Medium H.S School,2020019,"Ward No. 12, Belonia, South Tripura -799155",-,-,-,-,-,-,-,-,-,Senior Secondary,-,-,South Tripura
Bhavans Tripura Vidyamandir,2030004,Narsingarh Po Bimangarh Agartala Tripura,799015,381,2342662,529967,0891-2759088,swapnashome@gmail.com,-,1996,Swapna Shome,Senior Secondary,Bhartiya Vidya Bhawan,-,West Tripura
Berean English Medium School,2030037,Po&ps- Mandwi,799004,-,9089602615,-,-,berean444@gmail.com,http://www.berean.org.in,2001,Mr.suman Debbarma,Secondary School,Berean Welfare Society,-,West Tripura
Bishalgarh English Medium H.S. School,2020015,Sepahijala Tripura,-,-,-,-,-,-,-,-,-,Secondary School,-,-,Sepahijala
