A K International School,2133252,"Vill-gareriya Ka Pura, Post- Mohammadabad, Ghazopur",233227,-,0548222476,-,548222476,akinternationalschool1@gmail.com,www.akinternationalschool.com,2016,Mrs. Poonam Rai,Senior Secondary,Afzal Khan Memorial Trust,-,Ghazipur
A M World School,2132921,Maulagarh,244412,120,05921250380,-,-,amworldschool@gmail.com,WWW.AMWORLDSCHOOL.COM,2015,Mr. Rakesh Kumar,Senior Secondary,A M Social Development Trust,-,Sambhal
A B S International School,2132068,Maharajganj Badlapur Jaunpur,222125,5453,241132,-,-,rautv8785@gmail.com,-,2011,Vishal Suryabhan Raut,Senior Secondary,Anirudhra Bahadur Singh Charitable Trust,-,Jaunpur
A N International School,2130858,Noor Pur Road Bijnor Uttar Pradesh,246701,1342,250303,4735262181,-,an_international_school@yahoo.com,-,1983,Dr Sarjeet Singh,Senior Secondary,Mundokottackal Edu Soc,-,Bijnour
A P Public School,2131955,"Kampil Road, Kaimganj",209502,5690,230077,9812809964,-,anjalipandey1977@gmail.com,-,2013,Anjali Pandey,Senior Secondary,A P Education And Development Society,-,Farrukhabad
A R K Convent School,2132803,"Raksarai,sarai Akil,kaushambi,u.p.",212216,-,9918892727,-,-,amitkush0532@gmail.com,http://www.arkconventschool.com/,2013,Mr. Maheshwar Prasad Tripathi,Senior Secondary,Mahatma Jyotibarao Phule Shiksha Evam Jan Kalyan Sansthan,-,Kaushambi
A S Public College,2130581,Rai Bareilly Road Uttaretia Lucknow Uttar Pradesh,226025,522,8176007478,-,-,principalaspubliccollege@gmail.com,-,2002,Alka Sinha,Senior Secondary,Amrit Sheel Prani Sewa Sansthan,-,Lucknow
A P S Academy,2130419,Senani Vihar Rae Bareli Road Lucknow Uttar Pradesh,226002,522,8176067393,0522-6567393,-,hemakalakoti@gmail.com,-,1998,Hema Kalakoti,Senior Secondary,Aps Academy,-,Lucknow
A T L School,2130067,P O Bhupiamau Pratapgarh Distt Uttar Pradesh,230001,5342,244071,-,-,skd9453296565@rediffmail.com,-,1980,Santosh Kumar Dass,Senior Secondary,Atl Education Society,-,Partapgarh
A. D. Academy,2132613,"Dharmupur, Dubaulia, Basti",272131,551,2980091,-,-,adacademybasti@gmail.com,http://www.adacademy.com,2012,Ajay Kumar Singh,Secondary School,Yaduraji Devi Ish Dutt Charitable Trust,-,Basti
A. J. J.  Academy,2132322,"Lashkarpur, Varanasi",221101,-,8115766074,6.69E+14,-,contact2basant@rediffmail.com,-,2002,Basant Lal,Senior Secondary,Amar Jyoti Jokhan Shiksha Samiti,-,Varanasi
A. P. G. R. Global Senior Secondary School,2132929,"Inamipur, Kuchai, Pargana Nathupur,",221603,-,9451975413,-,-,apgrglobalschool@gmail.com,https://apgrschool.com/,2010,Mr. Dukhi Yadav,Secondary School,Savitri Vishawnath Shiksha Prasar Trust,-,Mau
A.B. International School,2133516,"Parsauni  Khurd, Nautanwa, Maharajganj,(u.p.)-  273164",273164,-,7080291827,-,-,abinternational2021@gmail.com,www.abinternationalschool.com,2017,Mr. Bajrangi Lal Singh,Secondary School,A.b.charitable Trust,-,Maharajganj
A.K Children Academy,2131728,"Mti Road,raj Nagar Extension",201003,-,9818724927,-,-,tanusri.b@gmail.com,-,2012,Tanusri Bhattacharya,Senior Secondary,A.k. Children Academy Cheritable Society,-,Ghaziabad
A.D. International School,2133105,"Kakrari,kakua Deori Road Agra Up",282000,-,0562-2214467,-,0562-2214467,adinternationalschooll@gmail.com,http://www.adis.com,2016,Mrs.tapasi Das,Secondary School,Anguri Devi Shiksha Samiti,-,Agra
"A.S.M. Convent School ,Sukhpura",2132415,Vill+po Sukhpura,277304,-,09452746844,-,-,asmconventschool@gmail.com,http://wwwasmconventschool.com,2014,Mr. Prakash Kumar Singh,Senior Secondary,Awdhesh Singh Smarak Educational Society,-,Ballia
A.P.S. College,2132227,"Mulayam Nagar,kumhawar Road,etawah, Uttar Pradesh-206001",206001,-,9412503336,-,-,armypublicschool1121@gmail.com,http://www.apsetawah.com,2013,Mrs. Chanchal Singh,Senior Secondary,Baudh Gyan Siksha Prasar Avam Jan Kalyan Samiti,-,Etawah
A V P International School,2133543,"Vill- Sindholli  G. T.road,aligarh Up",202001,-,9193700222,-,571,avpinternationalschool22@gmail.com,http://www.avpinternationalschool.com,2018,Mrs. Shashi P.masih,Senior Secondary,Avp Educational Society,-,Aligarh
A.S.P.M. Public School,2133371,"Sumergarh, Maharajganj",273306,-,9415691474,-,-,aspmpschool@gmail.com,http://www.aspmps.com,2017,Mrs. Asha Singh,Senior Secondary,Swatantrata Sangram Senani Akshaybar Singh Charitable Trust,-,Maharajganj
Aadharshila  The School,2131561,"2 Km. Dattyana Road, Chandpur, Distt Bijnour, Uttar Pradesh",246725,1345,223331,-,-,Siddheshsharma01@gmail.com,-,2010,Siddhesh Sharma,Senior Secondary,Chaudhary Bishan Singh Karanwal Foundation,-,Bijnour
Aamrapali English School,2133730,"Vill. Kuri Khera, Bambawar, Greater Noida, Goutam Budh Nagar",203207,-,8447527854,-,-,amarrai0121@gmail.com,www.aamrapalischool.com,2017,Mrs. Heena Khurana,Secondary School,Aamrapali Modern Educational And Social Development Society,-,Gautam Budh Nagar
Aarti Memorial Public School,2131805,Vill+post - Rajpur Chhajpur Kandhala Muzaffarnagar,247775,1392,260270,-,-,aartimemorial@yahoo.co.in,http://www.aratimemorial.com,2009,Surndra Pal Singh,Senior Secondary,Aarti Memorial Educational Society,-,Muzaffarnagar
Aastha Elite Public School,2133408,"Ghiror Road, Kurawali, Mainpuri, Uttar Pradesh 205265",205265,-,05672206373,-,-,info@aasthaelite.com,http://www.aasthaelite.com,2012,Mrs. Ekta Singh,Secondary School,Aastha Elite Educational & Charitable Trust,-,Mainpuri
Aateya Academy,2131068,"Vill. Tenunga, Phulwari, Katra Road, Pratapgarh",230001,534,2224827,-,-,lalitkfi@gmail.com,http://www.xyz.com,2001,Lalit Narayan Sharma,Senior Secondary,Harikesh Bhadur Mansa Devi Shikshan Sansthan,-,Partapgarh
Aatman Public School,2131626,"Near Harra More, Rohta Road, Khivai, Meerut, Uttar Pradesh",250344,121,235977,-,-,kajal.tyagi0004@gmail.com,http://www.aatmanpublicschool.org,2011,Kajal Tyagi,Senior Secondary,Aparajita Educational Trust,-,Meerut
