5th Centenary School,3530239,"Lalpur Kicha, Udham Singh Nagar",263148,5944,280785,-,6553231577,rana.ranbir@yahoo.com,-,2009,Rana Ranbir Singh,Secondary School,Vallien Society Of Education & Welfare,-,Udham Singh Nagar
A B C Alma Mater,3530329,Guru Gorakhnath Marg Champawat,262523,5965,05965230844,-,5965230844,abcalma211211@gmail.com,http://www.abcalmamater.com,1999,Mrs. Sunita Negi,Secondary School,Abc Educational And Social Welfare Society,-,Champawat
A.N.D Public School,3530480,Haripur Kalan Near Hotel Godwin Motichur Tehsil Rishikesh,249205,91,01352485584,-,-,andps@yahoo.com,http://www.andps.in,2014,Miss Vijay Laxmi,Senior Secondary,Shri Ramanandacharya Swami Ayodhyacharya Shri Narayan Dass Charitable Trust,-,Dehradun
A B M Public School,3530057,P O Fatehpur Haldwani Distt Nainital Uttaranchal,236139,5496,260147,23602,-,sharmashashank6@gmail.com,-,1980,Ila Sharma,Senior Secondary,Bhandia Memo Trust,-,Nainital
A U Gic Barakot,3520242,"Post Barakot, Champawat",262527,-,05965237017,-,-,gicbarakotcbse@gmail.com,https://sites.google.com/view/gicbarakot/home?auth,-,Ramesh Ram,Senior Secondary,Government Of Uttarakhand,-,Champawat
Abc Alma Mater,3530608,Village-pachpakaria,262310,-,9627626206,-,962762620,81557@cbseshiksha.in,http://www.abcalmamater.com,2013,Mr. Deepak Kumar,Secondary School,Abc Educational And Social Welfare Society,-,Champawat
Acacia Public School,3530591,"Nathanpur, P.o .nehru Gram, Dehradun",248001,-,9412914136,-,9412914136,acaciaschool97@gmail.com,www.acaciapublicschool.in,2002,Mrs. Mamta Rawat,Senior Secondary,Acacia Foundation,-,Dehradun
Acharya Ravindra Public School,3530446,Acharya Ravindra Public School Halduchaur,263139,-,919927855100,-,-,arpschoolhalduchaur@gmail.com,http://arpschool.wordpress.com/,1997,Mr. Vinod Kumar Pandey,Senior Secondary,Acharya Ravindra Public School And Welfare Society,-,Nainital
Achivers Home Public School,3530360,Village Jagjeetpur Post Kankhal Distt Haridwar,249408,1334,7055111456,-,-,achievershome2008@gmail.com,-,2008,Shyamal Sarkar,Senior Secondary,Manmohan Singh Ahluwalia Educational Society,-,Haridwar
Adarsh Vidya Niketan,3530420,"Haldukhata Tala Kotdwara,",246149,1382,242156,-,-,avnschoolkotdwar@gmail.com,-,1994,Vandana Kukreti,Senior Secondary,Adarsh Vidya Nilketa Society Karnvaghati,-,Pauri Garhwal
"Adhya Shankarachary Shiksha Sansthan Dada Dhalumal Lokumal, Tanumal Junior High School.",3530297,"Nim, Road, Joshiyara, Uttarkashi",249193,137,4224081,-,01374-224086,diwakarsemwal.om@gmail.com,-,1997,Diwakar Prasad Semwal,Secondary School,"Asssddlt, Joshiyara, Uttarkashi",-,Uttarkashi
Adarsh Bal Niketan Senior Secondary School,3530022,Iit Campus Roorkee Uttaranchal,247667,1332,285787,7837276001,-,abniit.2008@gmail.com,-,1956,Kawaljit Kaur,Senior Secondary,Univ Managing Committee,-,Haridwar
Alakashya Public School,3530187,Tanakpur Road Amoun Khatima Distt Udham Singh Nagar Uttranchal,464002,5943,253619,2381,22523,bhuwancamaraderie@gmail.com,-,2000,Bhuwan Chandra Joshi,Senior Secondary,Holy Educational Society,-,Udham Singh Nagar
Amar Memorial Public School,3530284,"Haldwani Road Nayagaon,p.o.dhamola",263139,5947,287395,-,05947-287277,amps277.2009@gmail.com,http://www.amarmemorialpublicschool.com,2009,Sikandar Khan,Senior Secondary,Amar Memorial Educational Society,-,Nainital
