Aaloke Bharti Model School,2430178,"Rana Park Aatghara, Dalua, Sonarpur, Kolkata",700152,33,65655020,9831767467,326655868,abmschool2015@gmail.com,-,2003,Mrs. Anjana Sarkar,Senior Secondary,Aaloke Bharti Education & Welfare Society,-,Kolkata
Abhinav Bharati High School,2430036,11 Pretoria Street Calcutta,700071,33,"22823516, 22-3516",-,-,abhs@vsnl.net,-,1945,Sraboni Samanta,Senior Secondary,Abhinav Bharati Society.,-,Kolkata
Adamas World School,2430157,"Barasat - Barrackpore Road,post Office-jagannathpur, District:north 24 Parganas, West Bengal, Pin-700126",700126,33,03364500503,2762545,3325241817,principal.aws@adamas.co.in,http://www.adamas.co.in/worldschool,2011,Mrs. Suparna Bhattacherjee,Senior Secondary,Sachis Kiron Roy Memorial Trust,-,North 24-Pargana
Aditya Academy Secondary,2430079,Kadambagachi Ps Barasat Distt North 24 Parganas West Bengal,700124,91,"9051950059, 25624891","25393033, 08017053331",2532810,paramita.ghosal@adityaacademy.org,www.adityaacademy.org,1993,Paramita Ghosal,Senior Secondary,Dum Dum Aditya Educatonal Soc,-,North 24-Pargana
Aditya Academy Sr. Sec School,2430168,Dumdum 435 Jessore Road 24pgs(n),700055,91,65336887,-,-,mita.banerjee@adityaacademy.org,-,2011,Mita Banerjee,Senior Secondary,Dum Dum Aditya Educational Society,-,North 24-Pargana
Aditya Birla Vani Bharati,2430283,"Rishra, Po-probasnagar",712249,-,03326726190,-,-,susmita_banerjee2002@yahoo.co.in,-,1959,Miss Susmita Banerjee,Senior Secondary,Aditya Birla Vani Bharati,-,Hooghly
Air Fce School,2480003,No 16 Wing A F Hasimara Distt Jalpaiguri C/o 99 A P O West Bengal,734424,1482,350,-,-,stmary1983@gmail.com,-,1969,Anima Chaudhari,Senior Secondary,Air Officer Commanding,-,Jalpaiguri
Agarpara Swami Vivekananda Academy,2430216,"3 B.t.road, Kolkata - 700058",700058,33,25839590,-,3325926904,asva.cbse@gmail.com,http://www.barrackporerkvm.org,2014,Rashbehari Pal,Secondary School,Ramakrishna Vivekananda Mission,-,North 24-Pargana
Agpn Convent & Eklabya Residential School,2430143,"Chakda,p.s. Mafassal Po.& Dist. Purulia (w.b)",723102,3252,227845,-,3252227845,agpnconventschool2430143@yahoo.co.in,http://www.agpnpurulia.in,2000,Shankar Dey,Senior Secondary,Purulia Acharya Guru Pranaba Nanda Society,-,Purulia
Air Fce School Bagdogra,2480005,Bagdogra Distt. Darjeeling West Bengal,734421,5612,03532698093,-,-,princiafbgd@rediffmail.com,airfceschoolbagdogra.com,1963,Dr. Meeta Vijaya Benipuri,Senior Secondary,Indian Air Fce Educational & Cultural Society,-,Darjeeling
Air Fce School,2480008,A F S Barrackpe Bengal Enamel Palto 24 P & S (n),743122,5612,-,5612229463,5180222908,vktftp@rediffmail.com,-,-,Mrs Ranjeeta Magumda,Senior Secondary,-,-,South 24-Pargana
"Air Force School, Kalaikunda",2480013,"Air Force Station, Kalaikunda, Dist: Medinipore (west), West Bengal - 721303",721303,-,03222-232081,-,03222-232176,cadmo.kkd@gmail.com,-,1959,Reema Kohli,Middle Class,Indian Air Force Educational And Cultural Society,-,Midnapur
Amarpati Lions Citizens Public School,2430268,"Bholanathpara, Dabgram, Eastern Bypass, P.o. Ghogomali",734006,-,03532110590,-,-,slg.citizens@gmail.com,www.alcps.in,2014,Mr. Abhijit Banerjee,Secondary School,The Citizens Lions Sewa Trust,-,Jalpaiguri
Amrita Vidyalayam,2430100,"Bidhan Nagar, Durgapur (west Bengal)",713212,343,2533560,2533560,14283418,333gayatrih@gmail.com,http://www.rupys.edu.np,2003,Gayatri H Kumar,Senior Secondary,Mata Amritanandamayi Math,-,Durgapur
Amrita Vidyalayam - Kolkata,2430122,"Budge Budge Trunk Road, Near 13-a Bus Stand, Sarkarpool Po",700143,33,24012333,4884232581,033-24012777,nairpriya.g75@gmail.com,http://www.amritakolkata.org,2006,Priya Nair,Senior Secondary,Mata Amritanandamayi Math,-,Kolkata
Anandam H.S. Paul Memorial Institute,2430360,"Post Office - Fatesingpur, Police Station - Garhbeta",721121,-,6294221935,-,-,anandamhspmi@gmail.com,www.afect.in/anandam,-,Bakul De,Secondary School,Acoustical Foundation For Education And Charitable Trust,-,Paschim Medinipur
Anand Marga School,2430359,"Durlovpur, Bankura",722133,-,8101984862,-,-,satyanisthananda@gmail.com,www.amsaidurlovpur.in,-,Atanu Mohan Panda,Secondary School,Anandnagar Development Society,-,Bankura
Apeejay School,2430091,Bg-180 Sector Ii Kolkata West Bengal,700091,33,23215151,08472-247789,847247946,ritachatterjee@apeejaygroup.com,-,1970,Rita Chatterjee,Senior Secondary,Apeejay Education Trust,-,Kolkata
Apeejay School,2430019,115 Park Street Calcutta West Bengal,700016,33,"22298893, 29-1779",9434070233,250233,ritachatterjee@apeejaygroup.com,-,1975,Paromita Guha,Senior Secondary,Apeejay Education Trust,-,Kolkata
Arambagh Vivekananda Academy,2430125,"Basantapur Sports Complex, Ward No.-11, Po-arambagh, Dist-hooghly",712601,3211,258900,-,3211258900,avacademy01@gmail.com,http://www.arambaghvivekanandaacademy.com,2008,Anirudh Pandey,Senior Secondary,Arambagh Nivedita Trust,-,Hooghly
Army Public School,2480015,"Panagarh, Po Arjun Pur Distt- Burdwan, C/o 99 Apo, West Bengal",713402,343,2513216,1126278223,-,pn.pareek76@gmail.com,-,1992,Namrata Pareek,Senior Secondary,Army Welfare Education Society (awes),-,Burdwan
Army Public School,2480009,Binaguri P O Binaguri Distt Jalpaiguri West Bengal,735232,3563,259446,9910039455,-,shail.ch@rediffmail.com,-,1993,Dr Shailja Chhikara,Senior Secondary,Army Welfare Education Society (awes),-,Jalpaiguri
Army Public School,2480004,Sukna Distt. Darjeeling West Bengal,734424,1482,350,-,-,stmary1983@gmail.com,-,1991,Mrs Surender Kaur,Senior Secondary,Vidyalaya Mgt Committee,-,Darjeeling
Army Public School,2480006,Ballygung Maindan Camp Calcutta West Bengal,700019,33,24866629,-,24865968,apskolkata@gmail.com,-,1994,Mrs. Anita Bhattacharya,Senior Secondary,Army Welfare Education Society,-,Kolkata
Army Public School,2480011,P.o. Barrackpe Nth Gate Barrackpe Cantt Distt 24 Paragna West Bengal,743101,33,25932317,9831758696,25932317,army_sch@rediffmail.com,-,1998,Mr. Mrs Neelie Paul Verghese,Senior Secondary,Army Welfare Edu. Society,-,North 24-Pargana
Army Public School,2480007,Kata Pahar P.o. Ghoom Distt. Darjeeling West Bengal,734102,354,2005692,-,-,zingtenx@gmail.com,-,1990,Tenzing Sherpa,Senior Secondary,Army Welfare Education Society,-,Siliguri
Army Public School,2480010,Bagrakot P.o Bagrakot Distt Jalpaiguri West Bengal,734501,5612,AF/4371,-,5180222908,vktftp@rediffmail.com,-,1994,Judha Babu,Secondary School,Army Welfare Edu. Society,-,Jalpaiguri
Army Public School,2480012,Kalimpong Durbin Dara Po Kalimpong Darjeeling West Bengal,768028,355,283647,1126278223,2607802,shovapradhan33@gmail.com,-,1992,Shova Pradhan,Secondary School,Army Welfare Education Society (awes),-,Darjeeling
Army Public School,2480002,P.o. Bengdubi Distt Darjeeling West Bengal,734424,353,2480238,-,-,m.nabi35@yahoo.com,-,1981,Mushahidun Nabi,Senior Secondary,Army Welfare Education Society,-,Darjeeling
Asansol North Point School,2430153,"Nh-2, Chanda More, Kalipahari, Jamuria, Asansol",713339,341,2343794,-,-,rajiv.skv@gmail.com,-,2005,Rajiv Shaw,Senior Secondary,Parbati Educational Society,-,Burdwan
Ashok Hall Girls Higher Sec School,2430002,5 A Sarat Bose Road Calcutta West Bengal-700020,700020,33,22871271,0761-2663044,2370807,p.ahghss@ashokhall.net,-,1950,Mrs Sarita Sharma,Senior Secondary,Birla Sankfriti Trust,-,Kolkata
Asian International School,2430166,"New Kolorah, Nh-6, Alampur, Domjur, Howrah, West Bengal.",711302,33,26690097,-,033-24746499,principal@aisedu.org,-,2010,Joyita Majumder,Senior Secondary,Sri Laxmi Narayan Educational Trust,-,Howrah
B D M International,2430004,Pratapgarh Po Narendrapur Kolkata West Bengal,700103,33,"24351645, 724661",033-24634697,24357835,bdmi.vc@gmail.com,http://www.bdmi.org,1966,Vijaya Chaudhuri,Senior Secondary,B D Memorial Trust,-,Kolkata
Auxilium Convent School,2430034,New Chumta P.o. Via Sukna Siliguri Distt. Darjeeling West Bengal,734701,353,2575397,-,-,auxnewschool@yahoo.in,-,1984,Innocentia Jojo,Secondary School,The Salesian Sisters,-,Darjeeling
B.B.I.T Public School,2430193,"Nischintapur, Budge Budge,",700137,33,9748493158,-,3324820044,executivedirector@bbit.edu.in,http://bbitpublicschool.com/,2014,Mr. Sandip Kumar Sinha,Senior Secondary,Jagannath Gupta Family Trust,-,South 24-Pargana
B.N.R. Excellence Academy,2480021,"Kharagur, Distt. Paschim Medinipur, West Bangal Pin-721301",721301,322,2228406,9.80E+20,-,scrana81@gmail.com,-,1992,Subodh Chandra Rana,Senior Secondary,Shiv Lal Mem Educaitonal Society,-,Midnapur
B.S.F. Residential School,2430025,Kadamtala Darjeeling West Bengal,734433,353,2580820,2580290,2580820,dsahanbu@gmail.com,-,1990,Debyani Saha,Senior Secondary,B S F,-,Siliguri
B.S.S. Central Public School,2430147,"Will Cox Rd, Belguma, Chakdah, Purulia, West Bengal 723101",723102,3252,03252226268,-,03252-222154,bsscps_38@yahoo.com,http://www.bsscps.org/,1998,Mr. Prosenjit Roy,Senior Secondary,Shree Bhajanashram Shiksha Samity,-,Purulia
Banimandir Railway H.S. School,2480024,"P.o. & P.s. Pradhan Nagar, Sub. Div: Siliguri, Distt. Darjeeling, West Bengal-734003",-,-,-,-,-,-,-,1994,-,Senior Secondary,Kendriya Vidyalaya Sangathan,-,Darjeeling
Banimandir Rural Public School,2430289,"At Banimandir Bus Stop, Vill+ P.o-jukhia Bazar. P.s-bhupatinagar.",721430,-,03220270186,-,3220270186,banimandircbseschool@gmail.com,www.banimandirruralpublicschool.org,2017,Dr. Supratim Bera,Middle Class,Jukhia Netaji Academic Society,-,Purba Medinipur
